Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
37.000000000000007E+0	906.277115197803850E-3	185.103886538198310E-3	797.500125125680470E-3	5.577816492482626E-3	977.677227927082230E-3	-22.130773414667380E-3
38.000000000000007E+0	903.986841029463360E-3	181.759696207483420E-3	799.361250317069620E-3	-7.237025999612635E-6	968.809894936954680E-3	-38.864133552960561E-3
39.000000000000007E+0	926.440032040895530E-3	210.568271888899120E-3	806.286445636697930E-3	5.546117482609936E-3	1.005267734621569E+0	-51.196902449845601E-3
40.000000000000007E+0	894.017856844254500E-3	220.057019367044780E-3	776.206241581671060E-3	-1.355351394172189E-3	1.006862518865037E+0	18.576599731452103E-3
41.000000000000007E+0	906.537854718502230E-3	191.083989016829580E-3	793.478040334654080E-3	1.996959789792504E-3	981.604488854789130E-3	-6.584482477418723E-3
42.000000000000007E+0	908.890047344124370E-3	184.466962777536490E-3	796.037243302455730E-3	-13.863328014829856E-3	976.414924071906780E-3	-34.708439368573950E-3
43.000000000000007E+0	891.813225784372610E-3	181.789653177060560E-3	783.104055226337640E-3	-5.539599815249725E-3	970.914630554143510E-3	-39.701027009851751E-3
44.000000000000007E+0	888.735853663842670E-3	188.691173425642340E-3	761.171624149000640E-3	16.104095116181247E-3	965.593812149703970E-3	-29.323853113602145E-3
45.000000000000007E+0	905.407113182887910E-3	190.719576965467210E-3	789.956778777734620E-3	37.795304677815757E-3	964.055695955451600E-3	8.871081938634008E-3
46.000000000000007E+0	916.620271905710270E-3	180.810165887862450E-3	781.581993720525610E-3	23.385416917421874E-3	961.831444171512560E-3	-990.623811488893160E-6
47.000000000000007E+0	934.172950069642400E-3	171.994191310248100E-3	759.648108716734270E-3	13.758446552266325E-3	973.330383767587510E-3	-33.442002837470397E-3
48.000000000000007E+0	955.697543974758370E-3	165.152593675929580E-3	793.244656728009480E-3	13.722124806600051E-3	984.155127876794490E-3	-24.367182060250799E-3
49.000000000000007E+0	918.276167362982900E-3	157.592645115931770E-3	775.295008046943510E-3	2.383548298768318E-3	932.460856469429220E-3	-20.685071506797846E-3
50.000000000000007E+0	919.666311060412740E-3	156.805573838542880E-3	773.631989449026340E-3	8.280769907531569E-3	928.523685358367820E-3	-23.624062468289360E-3
51.000000000000007E+0	911.501092818094550E-3	143.023768219190240E-3	769.647398454509020E-3	3.979672883810939E-3	930.056597819331360E-3	-26.418618334452821E-3
52.000000000000007E+0	914.987355656570520E-3	133.209114751531720E-3	771.611139282893270E-3	-3.052820431900760E-3	922.346410852309280E-3	-6.281536888779907E-3
53.000000000000007E+0	936.026391091870580E-3	103.495181021385470E-3	811.859640553496130E-3	-41.836963313084521E-3	980.338764907396800E-3	-72.835772725895045E-3
54.000000000000007E+0	946.463576965751230E-3	114.846619289388090E-3	823.596302058881680E-3	-19.849865281904883E-3	1.000033769237105E+0	-74.383990177999210E-3
55.000000000000007E+0	956.783974715484260E-3	127.200028306054480E-3	823.139105886503070E-3	8.351928844636806E-3	995.026777040609270E-3	-48.910348763797538E-3
56.000000000000007E+0	941.230997479041930E-3	126.387938289740130E-3	797.544080855899340E-3	466.395716459969680E-6	978.220102178943280E-3	-28.820981955340615E-3
57.000000000000007E+0	943.176387098664800E-3	112.497247274002470E-3	797.221955822053680E-3	-7.367484706705002E-3	974.189654605587820E-3	-35.019959740864873E-3
58.000000000000007E+0	939.286851045302630E-3	111.758276287267100E-3	786.972452555977250E-3	-4.956366017190240E-3	964.517059522090440E-3	-40.580535952868486E-3
59.000000000000007E+0	951.499011972027690E-3	106.950062440868840E-3	788.418953205642700E-3	-3.661729726289492E-3	987.792846327709690E-3	-38.143991004018725E-3
60.000000000000007E+0	938.034559310714670E-3	122.376426245072350E-3	773.015080904870700E-3	8.117662086447985E-3	972.463699784470110E-3	-11.102707367702976E-3
61.000000000000007E+0	935.755648017599030E-3	125.177628583776460E-3	783.518742986932470E-3	-10.258315461356983E-3	958.376651198683870E-3	-46.078114768289338E-3
62.000000000000007E+0	937.764860341809610E-3	107.637749051166210E-3	770.336634199690780E-3	-20.311772002727234E-3	945.377155065416860E-3	-49.561939534877121E-3
63.000000000000007E+0	920.418717710412730E-3	108.252359913223700E-3	771.892967113709140E-3	636.820997204519230E-6	925.636994319742110E-3	-28.668498329284448E-3
64.000000000000014E+0	959.305254024245160E-3	119.848572190205130E-3	821.709519473044820E-3	-13.646785310183563E-3	958.333605746392700E-3	-47.742106151382746E-3
65.000000000000014E+0	953.216098811518250E-3	133.129486280249230E-3	789.578153435844140E-3	-45.283005540265736E-3	961.492804460126190E-3	-73.254427301849223E-3
66.000000000000014E+0	913.707771302487700E-3	121.775586664636770E-3	788.042190630834140E-3	-4.017613324060159E-3	955.372243796833720E-3	-44.456789302878948E-3
67.000000000000014E+0	945.783018138109170E-3	89.878548972018732E-3	819.010541685292410E-3	-2.975925623267562E-3	991.017973609174320E-3	-51.282205007014699E-3
68.000000000000014E+0	930.335792819803610E-3	100.233783701407950E-3	778.134203939204290E-3	14.239668664064630E-3	968.005344506639330E-3	-27.752389721529061E-3
69.000000000000014E+0	919.837030809529610E-3	105.612481562443780E-3	785.740877451333030E-3	9.996375875459800E-3	989.795566371856840E-3	-12.126687582067756E-3
70.000000000000014E+0	954.831992623102700E-3	94.752150732175952E-3	827.350777561269510E-3	-72.428848206129520E-3	973.173731546782550E-3	-102.831208203808870E-3
71.000000000000014E+0	1.029163345990290E+0	93.263805850245643E-3	889.388826376909300E-3	-52.692943675772472E-3	995.251102097909680E-3	-185.433479465274660E-3
72.000000000000014E+0	999.065468630405240E-3	92.000201112493338E-3	859.282149639245320E-3	-50.319488115028489E-3	1.037263774689511E+0	-152.625193180103870E-3
73.000000000000014E+0	1.016649742526771E+0	62.135950578039049E-3	897.308323821002780E-3	-27.549728802069046E-3	1.072269034845663E+0	-104.906090866216950E-3
