Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
58.000000000000007E+0	945.912099967698760E-3	118.425307165872070E-3	786.988060040345380E-3	-6.297933899972721E-3	965.370363128764120E-3	-42.048625366394927E-3
59.000000000000007E+0	957.490827966435700E-3	111.931844205624520E-3	788.427456420988550E-3	-4.644362471756033E-3	988.529044239931710E-3	-38.596198237026334E-3
60.000000000000007E+0	945.983522140720120E-3	129.727791354258330E-3	773.057702726073100E-3	10.500912477436191E-3	972.527078034022050E-3	-11.416595802297067E-3
61.000000000000007E+0	944.091135163705800E-3	132.982222145107270E-3	783.585894237464830E-3	-13.091874909605892E-3	959.483714412810330E-3	-48.042342018381451E-3
62.000000000000007E+0	943.922040378703860E-3	114.281048918394470E-3	770.604371952300140E-3	-26.361289182930944E-3	946.675420178447410E-3	-52.377623028138330E-3
63.000000000000007E+0	926.762747060142940E-3	117.074243186030020E-3	771.893229806161820E-3	825.011860261946700E-6	926.080843150176910E-3	-30.961745365865070E-3
64.000000000000014E+0	966.762768550047280E-3	124.288705447718000E-3	821.822833183603160E-3	-16.606270846078793E-3	959.522073014817290E-3	-49.776684083995514E-3
65.000000000000014E+0	962.467864996381710E-3	138.765884223647250E-3	790.875597659908340E-3	-57.288130315749919E-3	964.279328902118650E-3	-76.041318164710964E-3
66.000000000000014E+0	921.786951982981550E-3	132.495490054655300E-3	788.052431904797570E-3	-5.098176930063474E-3	956.406048879092640E-3	-46.499930092138125E-3
67.000000000000014E+0	950.044036328709600E-3	94.746304086026314E-3	819.015948272652010E-3	-3.633546059644189E-3	992.343936630247000E-3	-51.700883436290854E-3
68.000000000000014E+0	935.719775785866960E-3	107.325369131707540E-3	778.264484287804040E-3	18.297716999057714E-3	968.403088661262570E-3	-28.661814665462672E-3
69.000000000000014E+0	925.880207969837280E-3	114.315932181521710E-3	785.804462973222260E-3	12.721543314241343E-3	989.869849910127270E-3	-12.251096380278752E-3
70.000000000000014E+0	959.521810176807710E-3	98.910545132585195E-3	830.515049342095750E-3	-87.320480935314915E-3	978.591523135850740E-3	-105.275179369640000E-3
71.000000000000014E+0	1.033380535045828E+0	90.374144759052838E-3	890.948388402669660E-3	-59.177065010747223E-3	1.012378551498254E+0	-184.206125754848430E-3
72.000000000000014E+0	1.003292503517509E+0	91.827281550593429E-3	860.754241100676110E-3	-58.493111492345332E-3	1.048432443162838E+0	-146.093792182003410E-3
73.000000000000014E+0	1.018546795848863E+0	61.042414413161390E-3	897.731148816573680E-3	-30.692991878051711E-3	1.077388588666912E+0	-97.525232132616005E-3
74.000000000000014E+0	1.047017961604889E+0	90.852980985526896E-3	869.141214561684030E-3	17.770153089411884E-3	1.074057644548850E+0	-98.502632617984601E-3
75.000000000000014E+0	979.498369701712890E-3	102.740876124128440E-3	802.188674465775130E-3	-46.119010517374173E-3	1.030735243548471E+0	-92.462612717528564E-3
76.000000000000014E+0	988.086611095878810E-3	82.743227111372913E-3	866.158948054815520E-3	-100.712822910159390E-3	1.043259532863127E+0	-88.778246930403232E-3
77.000000000000014E+0	995.159622238003920E-3	72.632361299211926E-3	918.438979709733870E-3	-44.647105507055217E-3	1.080421528503019E+0	-139.174842593073860E-3
78.000000000000014E+0	987.184944112007190E-3	65.596145588706967E-3	889.819954289864930E-3	-9.660327728656326E-3	1.095251312467297E+0	-100.793257719950940E-3
79.000000000000014E+0	974.153581361318240E-3	84.265313372742401E-3	820.366698703931860E-3	88.332635203778528E-3	1.004842944737668E+0	-222.821627341152020E-3
80.000000000000014E+0	935.664629755305730E-3	119.130549638038180E-3	793.943942251387310E-3	40.978181999641754E-3	1.007184544712930E+0	-102.673568488372500E-3
81.000000000000014E+0	939.004377445007310E-3	79.356097365822609E-3	817.142763366476510E-3	-31.063810868912415E-3	963.289731253413330E-3	-108.641561693442860E-3
82.000000000000014E+0	941.572931916318520E-3	52.430924553974363E-3	836.699805553767880E-3	-61.231425107503373E-3	995.118365480461400E-3	-103.380079245803460E-3
83.000000000000014E+0	976.361371735479430E-3	36.849444189081142E-3	868.600613266480530E-3	-61.584627685108889E-3	1.026004366378775E+0	-95.801284553028304E-3
84.000000000000014E+0	971.516072428079140E-3	62.060391883737957E-3	873.970616772247740E-3	-69.116859443041842E-3	998.894384111380760E-3	-77.835632879784775E-3
85.000000000000014E+0	961.074445995437560E-3	57.168240459556936E-3	879.747786382759860E-3	-61.901488122895240E-3	1.001111369253054E+0	-92.031920325521155E-3
86.000000000000014E+0	951.178164409815060E-3	78.796929062958737E-3	821.680463392054250E-3	2.931834780071870E-3	996.579464316321830E-3	-62.206965352813483E-3
87.000000000000014E+0	953.132717640557400E-3	79.911600035713307E-3	863.520915202939830E-3	-19.612710805011185E-3	986.822394589591310E-3	-54.720372588458216E-3
88.000000000000014E+0	947.476126646718650E-3	79.482365672756891E-3	885.497170388423900E-3	-30.514575119732368E-3	964.872984715508310E-3	-73.730326429622905E-3
