Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
79.000000000000014E+0	52.690580194026327E-9	49.992402426284846E-9	35.428661030484392E-9	53.134745663482575E-9
80.000000000000014E+0	190.328979730978140E-9	166.624718853168780E-9	119.969144435544390E-9	193.056039111045580E-9
81.000000000000014E+0	289.148449066629840E-9	254.949867281893980E-9	193.062751725257120E-9	268.301158095000520E-9
82.000000000000014E+0	125.582553751055420E-9	111.335953994145370E-9	87.903017654240888E-9	124.355200991698010E-9
83.000000000000014E+0	141.554787984919770E-9	134.939603834514650E-9	106.790426239574670E-9	149.010738711583970E-9
84.000000000000014E+0	170.431366433444230E-9	160.858533769142230E-9	130.175762733430840E-9	170.053595683758700E-9
85.000000000000014E+0	161.844702655843220E-9	149.489168289950840E-9	125.250838607310350E-9	162.204524059983260E-9
86.000000000000014E+0	320.950889510829500E-9	290.375585529595340E-9	216.683455275581680E-9	318.758418554535220E-9
87.000000000000014E+0	219.833283306994230E-9	199.708971917804250E-9	163.917389159975150E-9	214.077182076948380E-9
88.000000000000014E+0	152.522076836477280E-9	136.919351317309220E-9	119.581681041132930E-9	141.993467805749670E-9
89.000000000000014E+0	149.304137901977640E-9	133.025432541502250E-9	101.642356056239650E-9	138.411193426956820E-9
90.000000000000014E+0	113.499807142111080E-9	95.317346565523827E-9	75.423261806572731E-9	106.584394213736510E-9
91.000000000000014E+0	159.275614514199830E-9	139.007616526712380E-9	110.807634928444880E-9	149.007772738163750E-9
92.000000000000014E+0	95.596207436506664E-9	90.283201273796071E-9	76.536913427383054E-9	93.756266244939794E-9
93.000000000000014E+0	92.955830468416784E-9	87.642334225810863E-9	79.516919189980431E-9	97.080178884423738E-9
94.000000000000014E+0	36.458251436353131E-9	35.986268918527665E-9	28.933271625232058E-9	39.853491844587808E-9
95.000000000000014E+0	29.949307757228047E-9	33.669535358773759E-9	27.379958961013020E-9	33.930529274943076E-9
96.000000000000014E+0	30.168678649058379E-9	33.315809582442824E-9	33.844631484107461E-9	31.514210521727390E-9
97.000000000000014E+0	59.913455328573475E-9	58.244811745157157E-9	48.673360857252926E-9	59.741816020490125E-9
98.000000000000014E+0	120.902713648163930E-9	121.910489665609800E-9	86.238548578074533E-9	128.399329726953680E-9
99.000000000000014E+0	826.711906749692860E-3	860.882045890188350E-3	529.629241252832170E-3	864.604904521258150E-3
