Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
89.000000000000014E+0	992.673407832333600E-3	975.131580614856610E-3	992.738362144369950E-3
90.000000000000014E+0	991.451094143896090E-3	966.747611163249250E-3	988.340763190589940E-3
91.000000000000014E+0	992.887642407624950E-3	970.390046262148530E-3	993.626125659607510E-3
92.000000000000014E+0	991.175503510097090E-3	955.503318360504390E-3	994.322665902992900E-3
93.000000000000014E+0	990.117929775899300E-3	968.123895321224340E-3	988.709011270102020E-3
94.000000000000014E+0	984.945879554329220E-3	969.760265096254010E-3	975.883757808569620E-3
95.000000000000014E+0	982.499657276331150E-3	922.215709026851130E-3	950.920822764168340E-3
96.000000000000014E+0	986.798955031939260E-3	915.695484471023340E-3	914.920006788355280E-3
97.000000000000014E+0	994.430962969285240E-3	967.932399874315670E-3	977.165536243666530E-3
98.000000000000014E+0	997.020868277852080E-3	918.888013621146360E-3	967.740963521101620E-3
99.000000000000014E+0	999.999998694481860E-3	999.999965610517290E-3	999.999986744449680E-3
100.000000000000010E+0	999.999999440066900E-3	999.999986352463570E-3	999.999996771062660E-3
101.000000000000010E+0	999.999998501359120E-3	999.999965727545130E-3	999.999986479512710E-3
102.000000000000010E+0	989.992985596334310E-3	950.677052747995520E-3	969.564748589375910E-3
103.000000000000010E+0	988.784180728676580E-3	959.363530035601490E-3	982.988256749949500E-3
104.000000000000010E+0	972.454088104508280E-3	902.941852922858890E-3	954.478396517673410E-3
105.000000000000010E+0	976.556562431226020E-3	942.724192905269760E-3	955.017392947907660E-3
106.000000000000010E+0	978.139733032647900E-3	927.510874552814110E-3	960.082893884950940E-3
107.000000000000010E+0	967.290885847338130E-3	939.222542147545860E-3	971.273071155929650E-3
108.000000000000010E+0	973.423359808501810E-3	943.100687996899500E-3	977.086909035676300E-3
109.000000000000010E+0	969.335617668089400E-3	961.840896568320060E-3	974.862981425274940E-3
110.000000000000010E+0	961.976107132895610E-3	977.905896380986680E-3	964.734855072264860E-3
111.000000000000010E+0	977.585329878480240E-3	978.057700872866480E-3	968.835651823811700E-3
112.000000000000010E+0	985.313684015021060E-3	958.410546351739170E-3	985.606608525219860E-3
113.000000000000010E+0	985.370442826863150E-3	933.050018049404130E-3	977.580202794198550E-3
114.000000000000010E+0	952.953376797038620E-3	919.861108716113930E-3	955.006016044022240E-3
115.000000000000010E+0	914.063598620561630E-3	955.071668574355440E-3	917.721495632752510E-3
116.000000000000010E+0	957.545203916555070E-3	890.769712036224130E-3	972.910639535973560E-3
117.000000000000010E+0	945.463101307034480E-3	923.368218120011240E-3	928.968982687228160E-3
118.000000000000010E+0	969.458204303487720E-3	943.760072249224650E-3	958.433103650909170E-3
119.000000000000010E+0	737.810161386308170E-3	966.635848138696960E-3	977.441495869573850E-3
120.000000000000010E+0	675.156292344464500E-3	983.029735045975240E-3	981.301417899085310E-3
121.000000000000010E+0	644.517808608228940E-3	955.719023388331920E-3	938.961316595997690E-3
122.000000000000010E+0	972.433377932525160E-3	871.508688251063530E-3	825.916677644406130E-3
123.000000000000010E+0	946.586106449962440E-3	818.787381212864760E-3	848.799391909217380E-3
124.000000000000010E+0	966.218780227039890E-3	928.137609911408810E-3	948.792461095640190E-3
125.000000000000010E+0	976.012912188085390E-3	957.385377791443840E-3	953.824654705531350E-3
126.000000000000010E+0	969.798069488411410E-3	950.171291576927370E-3	939.116698259044980E-3
127.000000000000010E+0	947.847222164617480E-3	966.839824825120870E-3	965.055835777177350E-3
128.000000000000030E+0	947.174608089049190E-3	973.294322001435060E-3	946.150203009179400E-3
129.000000000000030E+0	956.711415354516760E-3	960.304466300408670E-3	938.028559412110610E-3
130.000000000000030E+0	964.227959935966770E-3	910.454893274516790E-3	958.614281217127880E-3
131.000000000000030E+0	953.473838427248200E-3	914.505855433967900E-3	946.798488929881940E-3
132.000000000000030E+0	953.387298795904560E-3	963.293761266021510E-3	964.320858147882150E-3
133.000000000000030E+0	926.882802837764360E-3	924.119894027953030E-3	965.356532902860720E-3
134.000000000000030E+0	793.799753067007450E-3	806.549046628450950E-3	867.631042791453640E-3
135.000000000000030E+0	925.007275954018440E-3	872.814186624955470E-3	917.061992460271310E-3
136.000000000000030E+0	911.511312295236520E-3	885.969568273502370E-3	888.249762029346800E-3
137.000000000000030E+0	933.932175967077560E-3	934.660161625671340E-3	921.204669574407830E-3
138.000000000000030E+0	958.018011636575960E-3	906.542209533009240E-3	917.050719826875580E-3
139.000000000000030E+0	957.043606298004560E-3	920.234652117942200E-3	946.714182951974620E-3
140.000000000000030E+0	979.739836905232700E-3	927.249356318962440E-3	966.906498504118920E-3
141.000000000000030E+0	994.948793157444440E-3	971.595795218801460E-3	988.821299629259460E-3
142.000000000000030E+0	988.112632950210010E-3	974.529233437435140E-3	980.597567890948870E-3
143.000000000000030E+0	958.235800032279370E-3	955.101796868838000E-3	967.100911693352660E-3
144.000000000000030E+0	973.469235109367780E-3	954.440563123819640E-3	974.482157923215910E-3
145.000000000000030E+0	915.074657150202420E-3	843.027633380993850E-3	913.956919142330570E-3
146.000000000000030E+0	972.375231656307460E-3	953.215886503424810E-3	969.607243791657190E-3
147.000000000000030E+0	979.524905224140820E-3	965.967056234218410E-3	969.903549777174970E-3
148.000000000000030E+0	987.674338001297780E-3	973.761512688621990E-3	976.963620241190430E-3
149.000000000000030E+0	993.448162911880540E-3	987.232237647270970E-3	990.628027085762360E-3
150.000000000000030E+0	997.709468182798150E-3	992.625779714574330E-3	995.880353584076010E-3
151.000000000000030E+0	995.469821047876850E-3	981.243172549828180E-3	986.451690862528260E-3
152.000000000000030E+0	986.875991379799420E-3	969.783130066319440E-3	976.008258401368840E-3
153.000000000000030E+0	987.891183403049930E-3	975.927272268730990E-3	987.168965277570140E-3
154.000000000000030E+0	990.591971453179230E-3	988.417693100299480E-3	989.601432181729910E-3
155.000000000000030E+0	989.128406599989680E-3	991.628550366128290E-3	990.902614588124900E-3
156.000000000000030E+0	989.826754265753730E-3	981.079477737860970E-3	990.685655866699320E-3
157.000000000000030E+0	983.126102493564800E-3	967.087625667718550E-3	975.678600548719130E-3
158.000000000000030E+0	976.164533921276780E-3	954.401340193483990E-3	978.509654083057790E-3
159.000000000000030E+0	982.907516281847800E-3	965.986954842214080E-3	992.921729733543980E-3
160.000000000000030E+0	985.277901878793160E-3	976.503656745561720E-3	984.833192593276060E-3
161.000000000000030E+0	991.353685315744300E-3	987.194596616524760E-3	993.378995521542300E-3
162.000000000000030E+0	992.007218282111910E-3	981.086463099882900E-3	993.882177338546670E-3
163.000000000000030E+0	987.652464848577050E-3	984.747475969239060E-3	994.181204812858990E-3
164.000000000000030E+0	987.716603172729580E-3	973.549540409273660E-3	990.524812751153120E-3
165.000000000000030E+0	973.388669265941140E-3	935.145834364580870E-3	982.498088815187410E-3
166.000000000000030E+0	968.767291142831220E-3	930.832525926039930E-3	977.002944680683490E-3
167.000000000000030E+0	960.276659359060920E-3	937.240898416749620E-3	962.045035047792260E-3
168.000000000000030E+0	951.251422123737810E-3	911.174214424536050E-3	940.789043796532500E-3
169.000000000000030E+0	943.211498222410570E-3	910.908808926388590E-3	931.654612252001300E-3
170.000000000000030E+0	963.504680220693910E-3	957.217500902137750E-3	965.203786760476580E-3
171.000000000000030E+0	950.936797218304260E-3	939.329952933536600E-3	957.262630351087050E-3
172.000000000000030E+0	966.822816515774510E-3	939.002839701172380E-3	978.992170183279440E-3
173.000000000000030E+0	899.200568704982880E-3	896.241759195281040E-3	943.096951713452420E-3
174.000000000000030E+0	961.064716578158510E-3	918.107385845244870E-3	939.091677509405700E-3
175.000000000000030E+0	962.131756568744830E-3	943.041958294426160E-3	956.877555800779490E-3
176.000000000000030E+0	988.926724777375750E-3	978.231439157438600E-3	978.704434930561250E-3
177.000000000000030E+0	974.155660706155780E-3	959.339701406363710E-3	946.656039057366840E-3
178.000000000000030E+0	949.588095455508040E-3	878.589085284827260E-3	885.737046134199460E-3
179.000000000000030E+0	957.816335178366280E-3	931.671443961064160E-3	918.742390283692870E-3
180.000000000000030E+0	943.690951796683500E-3	928.166758953150590E-3	934.330752284197040E-3
181.000000000000030E+0	969.278774837621700E-3	964.190019119785080E-3	974.689596120179250E-3
182.000000000000030E+0	970.616920852276240E-3	949.507370120948210E-3	972.001848106671560E-3
183.000000000000030E+0	985.783785370508480E-3	957.238257432077910E-3	987.117383103581660E-3
184.000000000000030E+0	967.354743808648720E-3	930.188878290450050E-3	948.208122733220300E-3
185.000000000000030E+0	969.637194991847530E-3	962.429419335727900E-3	975.901119746261260E-3
186.000000000000030E+0	963.363310517768580E-3	976.627191250306280E-3	985.159772266343660E-3
187.000000000000030E+0	931.266931979360950E-3	962.238701051269070E-3	982.817772572923690E-3
188.000000000000030E+0	970.929834269708250E-3	946.160425121299830E-3	967.285557564355520E-3
189.000000000000030E+0	983.770509495546560E-3	985.113994309476550E-3	973.274052370597390E-3
190.000000000000030E+0	982.691465913623440E-3	979.687300445753250E-3	985.122515267728320E-3
191.000000000000030E+0	986.672395540122320E-3	979.118372411950320E-3	985.846506318741040E-3
192.000000000000030E+0	974.148433133079860E-3	941.410449568208070E-3	943.054024386275390E-3
193.000000000000030E+0	822.385484798546670E-3	861.812107346770940E-3	886.388341444979690E-3
194.000000000000030E+0	910.189923874611620E-3	877.571214870631280E-3	909.096811898377320E-3
195.000000000000030E+0	938.026783277716380E-3	881.694240739792300E-3	935.321271902053610E-3
196.000000000000030E+0	954.755840436515850E-3	852.372812674938470E-3	942.790535183518190E-3
197.000000000000030E+0	910.628019470409170E-3	863.801537376060360E-3	895.284111480320940E-3
198.000000000000030E+0	966.233965879757630E-3	937.365450461127620E-3	969.303159373068430E-3
