Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
196.000000000000030E+0	8.091856124912684E-9	-1.358297036706226E-9	5.545244386742337E-9	-2.326734959989050E-9	6.347370498779624E-9	-2.361763115948137E-9
197.000000000000030E+0	10.358440704739509E-9	-1.306931535173706E-9	7.820810630214905E-9	-3.359477500366141E-9	8.972382246589669E-9	-4.769538643225482E-9
198.000000000000030E+0	36.083801745923637E-9	3.713412285179181E-9	27.336110402538240E-9	-5.581763360449620E-9	34.933373935327260E-9	-15.966981542773184E-9
199.000000000000030E+0	3.699458062010032E-6	248.470891812950040E-9	2.683334268904571E-6	-517.956880195151760E-9	4.061906188570738E-6	538.252358942489720E-9
200.000000000000030E+0	16.237646662117270E-6	1.059896670486456E-6	12.015110654859014E-6	-2.008392637627810E-6	17.493508490817618E-6	2.266261417600426E-6
201.000000000000030E+0	4.753271818181273E-6	323.450422325761300E-9	3.559923157551996E-6	-487.539861170257280E-9	5.031077258933290E-6	545.082671315363820E-9
202.000000000000030E+0	57.698021289831945E-9	1.542019270221502E-9	44.867180748051044E-9	-9.916527952474317E-9	61.870403736779556E-9	-26.154907777537982E-9
203.000000000000030E+0	90.339926332821688E-9	8.135919643945798E-9	69.891839962514692E-9	-10.353328993016891E-9	98.436685251755905E-9	-35.047768700513270E-9
204.000000000000030E+0	71.580727789161260E-9	12.579490998417869E-9	58.604182666178904E-9	-4.813055884900726E-9	83.482202962443698E-9	-25.413126352546879E-9
205.000000000000030E+0	47.046351903684833E-9	9.778008474560442E-9	40.977906754480782E-9	1.083644073440660E-9	54.881410387467021E-9	-12.470167413751637E-9
206.000000000000030E+0	30.616411056090472E-9	3.636504100453049E-9	24.212536552542551E-9	1.572187972339839E-9	31.562612026867711E-9	-6.293125920163812E-9
207.000000000000030E+0	25.867188772563236E-9	1.277984931159354E-9	21.049592883299724E-9	-657.930593876271190E-12	26.609662529942216E-9	-6.380415834279005E-9
208.000000000000030E+0	22.245334708195008E-9	731.825549623206790E-12	19.305547688229588E-9	-2.008188164768176E-9	25.066869047284387E-9	-6.212017913509346E-9
209.000000000000030E+0	16.713780958404084E-9	839.487736172915120E-12	14.529921132526914E-9	-1.077298672378172E-9	19.823555241357201E-9	-3.515337456520413E-9
210.000000000000030E+0	12.462548919217477E-9	857.244659090501060E-12	10.307304716400036E-9	-480.291962438987990E-12	11.912735775933609E-9	-2.453449809539081E-9
211.000000000000030E+0	7.082505558493199E-9	1.182090308408270E-9	5.688560847858314E-9	-90.474623772289448E-12	6.844697443556079E-9	-2.271502651674127E-9
212.000000000000030E+0	9.970009321406470E-9	1.608306358590355E-9	8.840265899806065E-9	567.344971690557960E-12	10.074477979450137E-9	-934.209050558793930E-12
213.000000000000030E+0	9.856242363076004E-9	947.821640009857720E-12	7.357396866218975E-9	28.330549980723552E-12	8.335025283943132E-9	-1.547767857975487E-9
214.000000000000030E+0	12.494065914088666E-9	889.201888298565510E-12	10.400322831654535E-9	-730.100632687589840E-12	12.500313140246339E-9	-1.441884751293641E-9
215.000000000000030E+0	11.375449296503888E-9	1.123246176379673E-9	9.609413802934502E-9	1.208155463215338E-9	10.876643975173991E-9	208.112924407981500E-12
216.000000000000030E+0	10.855560569938060E-9	628.606643651578560E-12	7.781415751921676E-9	325.869174055715560E-12	9.785093470487468E-9	10.227012102348631E-12
217.000000000000030E+0	6.254638249301036E-9	-312.676411831108300E-12	5.337119124809806E-9	-1.089207590836995E-9	6.178770303863565E-9	-1.330451576403422E-9
218.000000000000030E+0	8.683255326224095E-9	195.738363178074520E-12	6.923091494314977E-9	18.884218051913043E-12	8.586838653760651E-9	-268.081233542729120E-12
