Freq (Hz)	micro(Pa^2 )	hp(V^2 )
149.000000000000030E+0	182.112622894605300E-12	389.647281570009620E-6
150.000000000000030E+0	760.209799402221530E-12	434.267906488228240E-6
151.000000000000030E+0	342.821484724111490E-12	472.012650872159070E-6
152.000000000000030E+0	16.364268488021379E-12	504.488230840672190E-6
153.000000000000030E+0	70.022487506674584E-12	540.659257016146300E-6
154.000000000000030E+0	20.509483862540410E-12	586.130485688226750E-6
155.000000000000030E+0	237.401798654357760E-12	630.070682960309990E-6
156.000000000000030E+0	297.240823526269790E-12	676.078468074368750E-6
157.000000000000030E+0	93.989426556538239E-12	725.189882713908480E-6
158.000000000000030E+0	78.889938489101661E-12	777.036886999476840E-6
159.000000000000030E+0	226.800211904252970E-12	839.838802439493950E-6
160.000000000000030E+0	23.125948335579990E-12	900.387032351271830E-6
161.000000000000030E+0	78.645030779161067E-12	938.890378837681230E-6
162.000000000000030E+0	2.394160453819467E-15	981.076923024141060E-6
163.000000000000030E+0	99.222639535072441E-12	1.053573324009340E-3
164.000000000000030E+0	107.165007242160990E-12	1.134181701642028E-3
165.000000000000030E+0	20.629747915475193E-12	1.205001617374804E-3
166.000000000000030E+0	7.118411854771075E-12	1.263677321499075E-3
167.000000000000030E+0	45.234783850195921E-12	1.308756031076401E-3
168.000000000000030E+0	56.425439769294620E-12	1.371143703636688E-3
169.000000000000030E+0	56.636966926528071E-12	1.458041457470524E-3
170.000000000000030E+0	43.601237385906103E-12	1.531551530223928E-3
171.000000000000030E+0	41.111856565129619E-12	1.608017925774987E-3
172.000000000000030E+0	99.867133600494821E-12	1.694292243087000E-3
173.000000000000030E+0	178.748058451415520E-12	1.744154502349184E-3
174.000000000000030E+0	117.200640397431820E-12	1.789288546009120E-3
175.000000000000030E+0	10.951959651202823E-12	1.873661222460829E-3
176.000000000000030E+0	21.421644315883152E-12	1.975867327595274E-3
177.000000000000030E+0	34.571148829121553E-12	2.076819003827492E-3
178.000000000000030E+0	19.166946871730681E-12	2.136263755164716E-3
179.000000000000030E+0	54.058816583141097E-12	2.163948205666021E-3
180.000000000000030E+0	2.739063739889304E-12	2.240928797013211E-3
181.000000000000030E+0	96.821030533841372E-12	2.332332487778986E-3
182.000000000000030E+0	73.575587565433962E-12	2.409317199353652E-3
183.000000000000030E+0	27.757929427206645E-12	2.512256245887530E-3
184.000000000000030E+0	26.192434244762095E-12	2.572721773359976E-3
185.000000000000030E+0	26.351700674616578E-12	2.585953020532279E-3
186.000000000000030E+0	29.052430810743713E-12	2.633359865936344E-3
187.000000000000030E+0	149.569700773780150E-12	2.731355718121353E-3
188.000000000000030E+0	193.937795868521190E-12	2.857441582805803E-3
189.000000000000030E+0	13.943417593364253E-12	2.902534116313225E-3
190.000000000000030E+0	201.644972342303740E-12	2.881669075816350E-3
191.000000000000030E+0	192.469478038943200E-12	2.941217436151639E-3
192.000000000000030E+0	40.179993167370264E-12	3.023994260890558E-3
193.000000000000030E+0	4.964772336994031E-12	3.096313232706441E-3
194.000000000000030E+0	20.440577388467932E-12	3.172137329553989E-3
195.000000000000030E+0	65.863939417221847E-12	3.186418021755017E-3
196.000000000000030E+0	242.518688781023440E-12	3.176112638959790E-3
197.000000000000030E+0	365.056235421157520E-12	3.189217084139569E-3
198.000000000000030E+0	344.239676442798140E-12	3.288291029092756E-3
199.000000000000030E+0	248.936988481966670E-12	3.393566049660424E-3
200.000000000000030E+0	279.700570109498790E-12	3.347556294613397E-3
201.000000000000030E+0	165.166369082006140E-12	3.303568176448686E-3
202.000000000000030E+0	1.646788603314836E-12	3.331262258308458E-3
203.000000000000030E+0	38.873393571052418E-12	3.402097827539482E-3
204.000000000000030E+0	100.515677064552690E-12	3.475649544975514E-3
205.000000000000030E+0	40.145988593721353E-12	3.439946734882374E-3
206.000000000000030E+0	186.004307371129590E-12	3.382210941618292E-3
207.000000000000030E+0	349.831141170121040E-12	3.367745199293470E-3
208.000000000000030E+0	75.037662994969522E-12	3.436668963862414E-3
209.000000000000030E+0	157.662174831182930E-12	3.487734091012909E-3
210.000000000000030E+0	420.192779616011080E-12	3.427361622355731E-3
211.000000000000030E+0	251.781283733676200E-12	3.372008161429088E-3
212.000000000000030E+0	92.367048586308024E-12	3.319413339205644E-3
213.000000000000030E+0	116.104624159670610E-12	3.374818799890350E-3
214.000000000000030E+0	264.478127406647480E-12	3.437087495346652E-3
215.000000000000030E+0	101.720254241548800E-12	3.337230579827119E-3
216.000000000000030E+0	107.884077631607810E-12	3.206151126268072E-3
217.000000000000030E+0	121.124707631885470E-12	3.204859788431644E-3
218.000000000000030E+0	43.829580165825752E-12	3.288743214869330E-3
219.000000000000030E+0	211.276220443017830E-12	3.221452586754733E-3
220.000000000000030E+0	14.687493213550847E-12	3.120241938787649E-3
221.000000000000030E+0	59.431919186742496E-12	3.036328472929295E-3
222.000000000000030E+0	706.633987333650980E-12	3.014444277265791E-3
223.000000000000030E+0	387.262097549655080E-12	3.058070309764131E-3
224.000000000000030E+0	8.468424688436837E-12	3.003803130249421E-3
225.000000000000030E+0	71.453574822994010E-12	2.866898698582953E-3
226.000000000000030E+0	146.311269105365890E-12	2.766163857318011E-3
227.000000000000030E+0	21.099663063445457E-12	2.817894568650474E-3
228.000000000000030E+0	79.690871652645571E-12	2.818250619715640E-3
229.000000000000030E+0	292.878679362391030E-12	2.692806305645665E-3
230.000000000000030E+0	200.914271860292390E-12	2.529978744048950E-3
231.000000000000030E+0	171.308037244670690E-12	2.544498685781225E-3
232.000000000000030E+0	130.186148883593960E-12	2.575282732164865E-3
233.000000000000030E+0	19.472496001981726E-12	2.456952912248465E-3
234.000000000000030E+0	100.981616842145680E-12	2.335198411328362E-3
235.000000000000030E+0	74.922344203046817E-12	2.269205118305622E-3
236.000000000000030E+0	78.096988636099280E-12	2.266495960938735E-3
237.000000000000030E+0	21.852489717583491E-12	2.252296221538155E-3
238.000000000000030E+0	30.560394111247046E-12	2.135923346839917E-3
239.000000000000030E+0	32.325196710540242E-12	1.975484884238844E-3
