Freq (Hz)	Coh_micro/hp
203.000000000000030E+0	998.528420307878580E-3
204.000000000000030E+0	999.104165543849510E-3
205.000000000000030E+0	989.311482171528980E-3
206.000000000000030E+0	997.165046757141240E-3
207.000000000000030E+0	998.270066341474750E-3
208.000000000000030E+0	997.854244089972810E-3
209.000000000000030E+0	999.066315624702720E-3
210.000000000000030E+0	997.923047445895110E-3
211.000000000000030E+0	999.071509980876020E-3
212.000000000000030E+0	998.667288586763010E-3
213.000000000000030E+0	998.531905739150290E-3
214.000000000000030E+0	997.683970867890400E-3
215.000000000000030E+0	997.870685208452230E-3
216.000000000000030E+0	995.628727980565450E-3
217.000000000000030E+0	998.347740108066590E-3
218.000000000000030E+0	992.646964366909250E-3
219.000000000000030E+0	995.426755155763400E-3
220.000000000000030E+0	995.361545789329000E-3
221.000000000000030E+0	998.368339358570280E-3
222.000000000000030E+0	998.903374168706230E-3
223.000000000000030E+0	995.422269770980360E-3
224.000000000000030E+0	993.480109127025330E-3
225.000000000000030E+0	993.002845179828950E-3
226.000000000000030E+0	994.757546131867400E-3
227.000000000000030E+0	983.054319882606830E-3
228.000000000000030E+0	993.729423870981070E-3
229.000000000000030E+0	993.320212218258280E-3
230.000000000000030E+0	993.400006185780390E-3
231.000000000000030E+0	983.715398703485010E-3
232.000000000000030E+0	991.780643629868730E-3
233.000000000000030E+0	992.808479028288390E-3
234.000000000000030E+0	990.569794154872340E-3
235.000000000000030E+0	987.102589107838990E-3
236.000000000000030E+0	996.170017618834390E-3
237.000000000000030E+0	995.812157834423450E-3
238.000000000000030E+0	976.279558109133250E-3
239.000000000000030E+0	964.165232414311070E-3
240.000000000000030E+0	988.734891483752710E-3
241.000000000000030E+0	996.366064715010660E-3
242.000000000000030E+0	991.322542720711300E-3
243.000000000000030E+0	983.963614798232240E-3
244.000000000000030E+0	994.684668892918620E-3
245.000000000000030E+0	996.999561488271730E-3
246.000000000000030E+0	969.451632243792160E-3
247.000000000000030E+0	990.765274046617180E-3
248.000000000000030E+0	996.323004767306730E-3
249.000000000000030E+0	985.657909579700790E-3
250.000000000000030E+0	997.877805232072370E-3
251.000000000000030E+0	997.004260032711920E-3
252.000000000000030E+0	998.745425585583880E-3
253.000000000000030E+0	998.741461631148410E-3
254.000000000000030E+0	999.236171963993170E-3
255.000000000000030E+0	999.226978716394430E-3
256.000000000000060E+0	998.687662927910670E-3
257.000000000000060E+0	997.972871574697270E-3
258.000000000000060E+0	999.141036626143950E-3
259.000000000000060E+0	999.167773064415510E-3
260.000000000000060E+0	998.335930177362110E-3
261.000000000000060E+0	999.522883020096840E-3
262.000000000000060E+0	999.426359520799500E-3
263.000000000000060E+0	999.695275049832350E-3
264.000000000000060E+0	997.139851607037890E-3
265.000000000000060E+0	999.313096078208400E-3
266.000000000000060E+0	999.387689275874510E-3
267.000000000000060E+0	998.961641091677180E-3
268.000000000000060E+0	999.269885597198980E-3
269.000000000000060E+0	997.384527447614970E-3
270.000000000000060E+0	998.057691773042930E-3
271.000000000000060E+0	995.218760344547810E-3
272.000000000000060E+0	996.558867110621030E-3
273.000000000000060E+0	992.179627678322680E-3
274.000000000000060E+0	997.041226279626990E-3
275.000000000000060E+0	974.729448796422310E-3
276.000000000000060E+0	996.568313298968330E-3
277.000000000000060E+0	996.548729422938710E-3
278.000000000000060E+0	993.495107949034390E-3
279.000000000000060E+0	990.857804454835840E-3
280.000000000000060E+0	994.953927513844930E-3
281.000000000000060E+0	996.569268676494760E-3
282.000000000000060E+0	988.204074639008170E-3
283.000000000000060E+0	994.455782647385770E-3
284.000000000000060E+0	966.775385572051560E-3
285.000000000000060E+0	997.133040881670540E-3
286.000000000000060E+0	996.686132760430390E-3
287.000000000000060E+0	995.573153357290680E-3
288.000000000000060E+0	998.441815977943570E-3
289.000000000000060E+0	998.804207563028230E-3
290.000000000000060E+0	998.793345240187040E-3
291.000000000000060E+0	999.319120589100220E-3
292.000000000000060E+0	997.407152635737200E-3
293.000000000000060E+0	998.746370855679970E-3
294.000000000000060E+0	999.283372131489880E-3
295.000000000000060E+0	999.642865812739310E-3
296.000000000000060E+0	998.832117924299820E-3
297.000000000000060E+0	999.416952350510870E-3
298.000000000000060E+0	998.463124012527240E-3
299.000000000000060E+0	999.400323172971230E-3
300.000000000000060E+0	995.145739853988580E-3
301.000000000000060E+0	998.918062391270230E-3
302.000000000000060E+0	996.880193253433470E-3
303.000000000000060E+0	997.976986195931890E-3
304.000000000000060E+0	997.740216163859550E-3
305.000000000000060E+0	996.044577540548980E-3
306.000000000000060E+0	997.595856362610610E-3
307.000000000000060E+0	999.030161953316950E-3
308.000000000000060E+0	997.831678502277610E-3
309.000000000000060E+0	998.224060008915730E-3
310.000000000000060E+0	998.330183788135650E-3
311.000000000000060E+0	999.351043733098800E-3
312.000000000000060E+0	999.357548739936540E-3
313.000000000000060E+0	999.032005443587060E-3
314.000000000000060E+0	999.340063311000560E-3
315.000000000000060E+0	999.610865867072040E-3
316.000000000000060E+0	999.595010558809950E-3
317.000000000000060E+0	999.425234620092810E-3
318.000000000000060E+0	999.252146668147100E-3
319.000000000000060E+0	998.990464350916430E-3
320.000000000000060E+0	999.647386126586550E-3
321.000000000000060E+0	999.653489127720010E-3
322.000000000000060E+0	999.649505334118560E-3
323.000000000000060E+0	999.639196571230900E-3
324.000000000000060E+0	999.744204572099000E-3
325.000000000000060E+0	999.258397408599790E-3
326.000000000000060E+0	999.163182103849250E-3
327.000000000000060E+0	998.141481213451140E-3
328.000000000000060E+0	998.135531636536570E-3
329.000000000000060E+0	998.829785963981200E-3
330.000000000000060E+0	999.327248324715200E-3
331.000000000000060E+0	999.057544329102990E-3
332.000000000000060E+0	999.511175322876590E-3
333.000000000000060E+0	999.101907724801560E-3
334.000000000000060E+0	999.276136118572130E-3
335.000000000000060E+0	996.668613069876310E-3
336.000000000000060E+0	997.449183914986830E-3
337.000000000000060E+0	996.909290644334980E-3
338.000000000000060E+0	995.654382574336140E-3
339.000000000000060E+0	998.186886075657530E-3
340.000000000000060E+0	997.654932850995930E-3
341.000000000000060E+0	998.303738420617370E-3
342.000000000000060E+0	999.136757079610920E-3
343.000000000000060E+0	999.386293762208550E-3
344.000000000000060E+0	999.659293488326720E-3
345.000000000000060E+0	999.540902393265760E-3
346.000000000000060E+0	999.486414380441720E-3
347.000000000000060E+0	999.124898899714120E-3
348.000000000000060E+0	999.409446494076480E-3
349.000000000000060E+0	999.718410155259640E-3
350.000000000000060E+0	999.759131586006160E-3
351.000000000000060E+0	999.142591978271380E-3
352.000000000000060E+0	999.672919965501120E-3
353.000000000000060E+0	999.634167559976920E-3
354.000000000000060E+0	999.323656400307510E-3
355.000000000000060E+0	999.226223639622550E-3
356.000000000000060E+0	999.145800459157130E-3
357.000000000000060E+0	999.389336593680900E-3
358.000000000000060E+0	999.391134385736570E-3
359.000000000000060E+0	999.294252741302460E-3
360.000000000000060E+0	993.915412915471920E-3
