Freq (Hz)	micro(Pa^2 )
434.000000000000060E+0	337.960478644652270E-12
435.000000000000060E+0	130.858869103810710E-12
436.000000000000060E+0	75.939744580327357E-12
437.000000000000060E+0	130.688153719170290E-12
438.000000000000060E+0	146.507981647578130E-12
439.000000000000060E+0	104.404090750511510E-12
440.000000000000060E+0	123.835531589774510E-15
441.000000000000060E+0	29.617412764185273E-12
442.000000000000060E+0	164.870462621010620E-12
443.000000000000060E+0	352.535072445538560E-12
444.000000000000060E+0	42.799597072188611E-12
445.000000000000060E+0	128.698148376655270E-12
446.000000000000060E+0	357.548711739252300E-12
447.000000000000060E+0	140.721325327676650E-12
448.000000000000060E+0	921.832232170032240E-15
449.000000000000060E+0	129.504481820274060E-12
450.000000000000060E+0	481.096359723892530E-12
451.000000000000060E+0	222.951789131642570E-12
452.000000000000060E+0	26.070655827281622E-12
453.000000000000060E+0	10.003398055086151E-12
454.000000000000060E+0	18.592970023043254E-12
455.000000000000060E+0	219.774842062662160E-12
456.000000000000060E+0	132.768279862908860E-12
457.000000000000060E+0	11.528891367585024E-12
458.000000000000060E+0	34.745483163889508E-12
459.000000000000060E+0	14.218341545157796E-12
460.000000000000060E+0	635.855674900467010E-15
461.000000000000060E+0	76.865949860095689E-12
462.000000000000060E+0	265.755837910709530E-12
463.000000000000060E+0	285.288657973546810E-12
464.000000000000060E+0	133.660065383565990E-12
465.000000000000060E+0	221.964256822313380E-12
466.000000000000060E+0	403.736188280940920E-12
467.000000000000060E+0	233.035568195454900E-12
468.000000000000060E+0	145.988647572764290E-12
469.000000000000060E+0	193.908057629781940E-12
470.000000000000060E+0	263.506776963249400E-12
471.000000000000060E+0	331.202045986302410E-12
472.000000000000060E+0	77.481282741819661E-12
473.000000000000060E+0	25.599175709625578E-12
474.000000000000060E+0	21.230534308023454E-12
475.000000000000060E+0	94.447403982976928E-12
476.000000000000060E+0	66.237801912404707E-12
477.000000000000060E+0	146.518635556956960E-12
478.000000000000060E+0	489.477941045933050E-12
479.000000000000060E+0	212.580215211100060E-12
480.000000000000060E+0	136.515967803987620E-12
481.000000000000060E+0	237.695601750011850E-12
482.000000000000060E+0	134.101009465313460E-12
483.000000000000060E+0	113.560790683144150E-12
484.000000000000060E+0	333.314432911890660E-12
485.000000000000060E+0	914.696062758021140E-12
486.000000000000060E+0	879.468564733352410E-12
487.000000000000060E+0	348.282452765748190E-12
488.000000000000060E+0	152.586500606177240E-12
489.000000000000060E+0	92.464423898222939E-12
490.000000000000060E+0	134.400084284472680E-12
491.000000000000060E+0	49.300751369349205E-12
492.000000000000060E+0	204.983902581660140E-12
493.000000000000060E+0	114.308812264615870E-12
494.000000000000060E+0	36.780712692305381E-12
495.000000000000060E+0	196.989981014680740E-12
496.000000000000060E+0	113.120856628217510E-12
497.000000000000060E+0	265.894492887323190E-12
498.000000000000060E+0	404.198440296057290E-12
499.000000000000060E+0	248.090956843675190E-12
500.000000000000060E+0	345.604542931687050E-12
