Freq (Hz)	Coh_micro/hp
130.000000000000030E+0	647.396501446597440E-3
131.000000000000030E+0	685.922934108496580E-3
132.000000000000030E+0	225.305418879500010E-3
133.000000000000030E+0	345.132512597254690E-3
134.000000000000030E+0	533.673700756579830E-3
135.000000000000030E+0	649.685748652847670E-3
136.000000000000030E+0	599.104306689288600E-3
137.000000000000030E+0	825.627202020743240E-3
138.000000000000030E+0	651.194320802309320E-3
139.000000000000030E+0	697.712568598066300E-3
140.000000000000030E+0	516.425741580302520E-3
141.000000000000030E+0	491.824096319646910E-3
142.000000000000030E+0	473.154506379133980E-3
143.000000000000030E+0	521.635560406300990E-3
144.000000000000030E+0	292.985896880360920E-3
145.000000000000030E+0	115.524341595970970E-3
146.000000000000030E+0	103.512450929155300E-3
147.000000000000030E+0	734.182976298542570E-3
148.000000000000030E+0	759.963041220326430E-3
149.000000000000030E+0	793.940488044459160E-3
150.000000000000030E+0	945.033528879819170E-3
151.000000000000030E+0	964.922290459400590E-3
152.000000000000030E+0	957.891646452743940E-3
153.000000000000030E+0	980.221906026529030E-3
154.000000000000030E+0	987.777740609015130E-3
155.000000000000030E+0	987.225612449370570E-3
156.000000000000030E+0	987.646560350617490E-3
157.000000000000030E+0	990.564916816077500E-3
158.000000000000030E+0	992.502190656679770E-3
159.000000000000030E+0	987.752001864689590E-3
160.000000000000030E+0	976.865176845318040E-3
161.000000000000030E+0	989.285063404424350E-3
162.000000000000030E+0	980.951515156113560E-3
163.000000000000030E+0	985.373001240831490E-3
164.000000000000030E+0	988.283326314324250E-3
165.000000000000030E+0	982.380683068580400E-3
166.000000000000030E+0	984.781204068771450E-3
167.000000000000030E+0	982.861866063460040E-3
168.000000000000030E+0	965.724323905248870E-3
169.000000000000030E+0	932.420761246843370E-3
170.000000000000030E+0	987.226124264189540E-3
171.000000000000030E+0	984.033309952359490E-3
172.000000000000030E+0	957.257800325261420E-3
173.000000000000030E+0	959.346907759798580E-3
174.000000000000030E+0	959.596014208318530E-3
175.000000000000030E+0	937.678749601452370E-3
176.000000000000030E+0	875.696775968167970E-3
177.000000000000030E+0	934.979176733832570E-3
178.000000000000030E+0	249.803807178890200E-3
179.000000000000030E+0	416.373667817493350E-3
180.000000000000030E+0	217.972213703316790E-3
181.000000000000030E+0	644.224097363993000E-3
182.000000000000030E+0	927.710521253512050E-3
183.000000000000030E+0	938.771421326406230E-3
184.000000000000030E+0	983.606959635741180E-3
185.000000000000030E+0	920.235699763579990E-3
186.000000000000030E+0	972.554122672121600E-3
187.000000000000030E+0	966.062005312063100E-3
188.000000000000030E+0	970.966230827124520E-3
189.000000000000030E+0	983.093670286232070E-3
190.000000000000030E+0	971.835506505383190E-3
191.000000000000030E+0	968.090350490975140E-3
192.000000000000030E+0	961.402312461106190E-3
193.000000000000030E+0	991.857441597517430E-3
194.000000000000030E+0	985.153125031260730E-3
195.000000000000030E+0	990.143449471417080E-3
196.000000000000030E+0	991.865976493901730E-3
197.000000000000030E+0	993.400106215122870E-3
198.000000000000030E+0	981.564327706438750E-3
199.000000000000030E+0	993.498648380871430E-3
200.000000000000030E+0	984.632234137453820E-3
201.000000000000030E+0	983.172435390825990E-3
202.000000000000030E+0	988.070164412192750E-3
203.000000000000030E+0	993.158478452947910E-3
204.000000000000030E+0	985.024845838200050E-3
205.000000000000030E+0	993.786610628612070E-3
206.000000000000030E+0	969.258878246089810E-3
207.000000000000030E+0	990.459066733794250E-3
208.000000000000030E+0	993.120740165034150E-3
209.000000000000030E+0	998.713822915747950E-3
210.000000000000030E+0	989.947513831211270E-3
211.000000000000030E+0	998.693129621996300E-3
212.000000000000030E+0	995.728663270883160E-3
213.000000000000030E+0	991.655350204386220E-3
214.000000000000030E+0	991.061088097437200E-3
215.000000000000030E+0	993.965407471499420E-3
216.000000000000030E+0	983.544317027111650E-3
217.000000000000030E+0	992.697170799478940E-3
218.000000000000030E+0	993.584190919584500E-3
219.000000000000030E+0	990.893239800927030E-3
220.000000000000030E+0	997.693251593100960E-3
221.000000000000030E+0	993.325231621276950E-3
222.000000000000030E+0	994.405666424535540E-3
223.000000000000030E+0	990.635410874061150E-3
224.000000000000030E+0	991.298938174139500E-3
225.000000000000030E+0	994.793466629994240E-3
226.000000000000030E+0	993.804825530575030E-3
227.000000000000030E+0	987.764529175494180E-3
228.000000000000030E+0	966.455511453942260E-3
229.000000000000030E+0	963.362801267843350E-3
230.000000000000030E+0	972.423575457415530E-3
231.000000000000030E+0	991.770457664710610E-3
232.000000000000030E+0	979.833673587652940E-3
233.000000000000030E+0	981.300863934466690E-3
234.000000000000030E+0	989.658344348943510E-3
235.000000000000030E+0	972.472868341579870E-3
236.000000000000030E+0	926.868567758813880E-3
237.000000000000030E+0	926.131054367553270E-3
238.000000000000030E+0	911.439142523784550E-3
239.000000000000030E+0	567.656510030020380E-3
240.000000000000030E+0	856.740811972533930E-3
241.000000000000030E+0	908.482694903544720E-3
242.000000000000030E+0	931.189440818827480E-3
243.000000000000030E+0	872.306762670217560E-3
244.000000000000030E+0	970.308235096734580E-3
245.000000000000030E+0	968.719023492601190E-3
246.000000000000030E+0	681.107281475706320E-3
247.000000000000030E+0	940.188136438530050E-3
248.000000000000030E+0	966.535859511827520E-3
249.000000000000030E+0	951.200031225213130E-3
250.000000000000030E+0	988.146888912382110E-3
251.000000000000030E+0	994.916242158151890E-3
252.000000000000030E+0	998.087173054427730E-3
253.000000000000030E+0	998.295388520730520E-3
254.000000000000030E+0	998.832841355337010E-3
255.000000000000030E+0	998.954069211950850E-3
256.000000000000060E+0	998.066151055061690E-3
257.000000000000060E+0	995.370837388257380E-3
258.000000000000060E+0	996.371547023331300E-3
259.000000000000060E+0	999.179396189761040E-3
260.000000000000060E+0	998.532300004937980E-3
261.000000000000060E+0	998.278117702581790E-3
262.000000000000060E+0	997.152874389210740E-3
263.000000000000060E+0	998.068512860362690E-3
264.000000000000060E+0	994.598683243994250E-3
265.000000000000060E+0	998.465504408503230E-3
266.000000000000060E+0	997.991376432110780E-3
267.000000000000060E+0	998.981686756304610E-3
268.000000000000060E+0	999.014329467228790E-3
269.000000000000060E+0	997.290076629214430E-3
270.000000000000060E+0	994.876525219237310E-3
271.000000000000060E+0	989.277985405758620E-3
272.000000000000060E+0	997.042704948144180E-3
273.000000000000060E+0	979.457235309539540E-3
274.000000000000060E+0	992.558290329185520E-3
275.000000000000060E+0	970.695282020374580E-3
276.000000000000060E+0	992.117337035359540E-3
277.000000000000060E+0	986.721133308581020E-3
278.000000000000060E+0	983.167106142308840E-3
279.000000000000060E+0	984.950254599201490E-3
280.000000000000060E+0	983.325427541912430E-3
281.000000000000060E+0	994.360441683081240E-3
282.000000000000060E+0	983.739635324816670E-3
283.000000000000060E+0	983.008974935105750E-3
284.000000000000060E+0	965.293428617888690E-3
285.000000000000060E+0	987.123475109947470E-3
286.000000000000060E+0	995.645756199420420E-3
287.000000000000060E+0	997.915726040999430E-3
288.000000000000060E+0	993.148849967852240E-3
289.000000000000060E+0	991.453200539715200E-3
290.000000000000060E+0	995.831031006116360E-3
291.000000000000060E+0	996.267889369626740E-3
292.000000000000060E+0	998.490670082127220E-3
293.000000000000060E+0	995.699440329559930E-3
294.000000000000060E+0	993.759187470371290E-3
295.000000000000060E+0	996.454375470460560E-3
296.000000000000060E+0	998.703546408935990E-3
297.000000000000060E+0	997.695232075983980E-3
298.000000000000060E+0	999.079366771155940E-3
299.000000000000060E+0	997.509053454175400E-3
300.000000000000060E+0	994.700778303089670E-3
301.000000000000060E+0	993.827191756919250E-3
302.000000000000060E+0	991.314301584249930E-3
303.000000000000060E+0	998.402331937779610E-3
304.000000000000060E+0	989.481453218694520E-3
305.000000000000060E+0	975.652252852855730E-3
306.000000000000060E+0	993.969536758890990E-3
307.000000000000060E+0	994.932490790042090E-3
308.000000000000060E+0	996.868023438938320E-3
309.000000000000060E+0	997.223528978261050E-3
310.000000000000060E+0	997.037003642707090E-3
311.000000000000060E+0	998.117260710930540E-3
312.000000000000060E+0	995.552692786272230E-3
313.000000000000060E+0	985.179968671554220E-3
314.000000000000060E+0	994.233547595116620E-3
315.000000000000060E+0	997.414322756607130E-3
316.000000000000060E+0	998.587085945185640E-3
317.000000000000060E+0	998.305818802663560E-3
318.000000000000060E+0	999.118468948692830E-3
319.000000000000060E+0	996.340445420307310E-3
320.000000000000060E+0	998.996160945807450E-3
321.000000000000060E+0	998.930583485473700E-3
322.000000000000060E+0	999.222711003381220E-3
323.000000000000060E+0	999.262116081298890E-3
324.000000000000060E+0	999.298593788185090E-3
325.000000000000060E+0	999.520255055524550E-3
326.000000000000060E+0	999.773334088918110E-3
327.000000000000060E+0	999.720710204142440E-3
328.000000000000060E+0	999.109500428163930E-3
329.000000000000060E+0	998.315236729373280E-3
330.000000000000060E+0	999.425336145335680E-3
331.000000000000060E+0	999.537213026833850E-3
332.000000000000060E+0	999.078093331534080E-3
333.000000000000060E+0	999.566113963102350E-3
334.000000000000060E+0	998.702171961477920E-3
335.000000000000060E+0	997.731186504341120E-3
336.000000000000060E+0	997.976036085649660E-3
337.000000000000060E+0	998.141854071588510E-3
338.000000000000060E+0	997.253423190872180E-3
339.000000000000060E+0	999.495446716434530E-3
340.000000000000060E+0	999.116641462739150E-3
341.000000000000060E+0	998.878373726576170E-3
342.000000000000060E+0	997.321964442238640E-3
343.000000000000060E+0	995.316143975600090E-3
344.000000000000060E+0	993.112149619104770E-3
345.000000000000060E+0	999.503133173617500E-3
346.000000000000060E+0	996.323091118480500E-3
347.000000000000060E+0	997.413020848997410E-3
348.000000000000060E+0	998.370692905534370E-3
349.000000000000060E+0	995.318967039932720E-3
350.000000000000060E+0	997.813539528948690E-3
351.000000000000060E+0	993.775872642309490E-3
352.000000000000060E+0	995.970846917822890E-3
353.000000000000060E+0	997.468636694239130E-3
354.000000000000060E+0	999.072043488237530E-3
355.000000000000060E+0	998.800399324939800E-3
356.000000000000060E+0	999.031263460560590E-3
357.000000000000060E+0	997.914673952816970E-3
358.000000000000060E+0	998.359857108074950E-3
359.000000000000060E+0	999.329150953434330E-3
360.000000000000060E+0	985.576953816094230E-3
361.000000000000060E+0	998.454576609957180E-3
362.000000000000060E+0	998.061232089765050E-3
363.000000000000060E+0	998.284483853446700E-3
364.000000000000060E+0	999.351743137829710E-3
365.000000000000060E+0	999.639642340484410E-3
366.000000000000060E+0	999.622288267319250E-3
367.000000000000060E+0	999.489427399854250E-3
368.000000000000060E+0	998.546696005042750E-3
369.000000000000060E+0	998.578989604341220E-3
370.000000000000060E+0	998.029616210000640E-3
371.000000000000060E+0	998.197189764977510E-3
372.000000000000060E+0	998.645584283888170E-3
373.000000000000060E+0	999.217308596435870E-3
374.000000000000060E+0	998.706894608069940E-3
375.000000000000060E+0	998.102216845255240E-3
376.000000000000060E+0	996.731547185499060E-3
377.000000000000060E+0	999.213331477831420E-3
378.000000000000060E+0	997.814541441143120E-3
379.000000000000060E+0	998.406382527603610E-3
380.000000000000060E+0	995.537117305608120E-3
381.000000000000060E+0	994.580022880509060E-3
382.000000000000060E+0	991.145365128943580E-3
383.000000000000060E+0	990.825164921651400E-3
384.000000000000060E+0	995.341339309532170E-3
385.000000000000060E+0	997.375488963647030E-3
386.000000000000060E+0	990.731939790721160E-3
387.000000000000060E+0	996.060516887735340E-3
388.000000000000060E+0	993.811744328291780E-3
389.000000000000060E+0	997.738953031747750E-3
390.000000000000060E+0	999.153597878909670E-3
391.000000000000060E+0	998.909782414418740E-3
392.000000000000060E+0	995.845320834169880E-3
393.000000000000060E+0	996.303532427310730E-3
394.000000000000060E+0	997.923575486289400E-3
395.000000000000060E+0	999.164100602504930E-3
396.000000000000060E+0	998.415605857164380E-3
397.000000000000060E+0	999.175023272209750E-3
398.000000000000060E+0	999.418261878726510E-3
399.000000000000060E+0	999.295271284293960E-3
400.000000000000060E+0	998.664307637679220E-3
401.000000000000060E+0	998.205498696279610E-3
402.000000000000060E+0	998.632118771837330E-3
403.000000000000060E+0	998.858131956127940E-3
404.000000000000060E+0	999.118079128301080E-3
405.000000000000060E+0	998.705796104619510E-3
406.000000000000060E+0	999.558525257534750E-3
407.000000000000060E+0	999.031648451873870E-3
408.000000000000060E+0	998.080489458623930E-3
409.000000000000060E+0	997.731771361491160E-3
410.000000000000060E+0	998.999061023908230E-3
411.000000000000060E+0	999.497821611784910E-3
412.000000000000060E+0	999.380388344251360E-3
413.000000000000060E+0	999.019346318824500E-3
414.000000000000060E+0	999.195917972787840E-3
415.000000000000060E+0	998.115162972787350E-3
416.000000000000060E+0	998.178462898271390E-3
417.000000000000060E+0	998.694488763398950E-3
418.000000000000060E+0	998.822626216867900E-3
419.000000000000060E+0	998.946150223109840E-3
420.000000000000060E+0	999.551076205977380E-3
421.000000000000060E+0	999.355104909175230E-3
422.000000000000060E+0	999.168351198937540E-3
423.000000000000060E+0	998.736640109657460E-3
424.000000000000060E+0	999.287464554460160E-3
425.000000000000060E+0	999.372254604264820E-3
426.000000000000060E+0	998.892602916203520E-3
427.000000000000060E+0	997.709338258464310E-3
428.000000000000060E+0	999.387282320006730E-3
429.000000000000060E+0	999.019573828313080E-3
430.000000000000060E+0	999.133274291501450E-3
431.000000000000060E+0	997.577200939754440E-3
432.000000000000060E+0	998.857681223062400E-3
433.000000000000060E+0	995.926468402751450E-3
434.000000000000060E+0	999.659778364926250E-3
435.000000000000060E+0	999.097787064811560E-3
436.000000000000060E+0	998.722951540403580E-3
437.000000000000060E+0	999.380897038627540E-3
438.000000000000060E+0	999.200651573126870E-3
439.000000000000060E+0	997.703022570801460E-3
440.000000000000060E+0	997.409867752564900E-3
441.000000000000060E+0	996.962726189141390E-3
442.000000000000060E+0	998.364201878358060E-3
443.000000000000060E+0	997.486705907238650E-3
444.000000000000060E+0	997.009551616296010E-3
445.000000000000060E+0	997.110329958514120E-3
446.000000000000060E+0	997.534422104871200E-3
447.000000000000060E+0	999.158278078074890E-3
448.000000000000060E+0	999.166455303543750E-3
449.000000000000060E+0	999.216490257471500E-3
450.000000000000060E+0	998.946786543618010E-3
451.000000000000060E+0	999.410437134659600E-3
452.000000000000060E+0	999.422838625565470E-3
453.000000000000060E+0	999.694928547171570E-3
454.000000000000060E+0	999.666190427819120E-3
455.000000000000060E+0	999.780417920625330E-3
456.000000000000060E+0	997.873103196632470E-3
457.000000000000060E+0	997.317701713630100E-3
458.000000000000060E+0	998.383667130112620E-3
459.000000000000060E+0	998.217591978732720E-3
460.000000000000060E+0	997.352413973867980E-3
461.000000000000060E+0	996.648145390453650E-3
462.000000000000060E+0	994.733878964258580E-3
463.000000000000060E+0	995.834570194248370E-3
464.000000000000060E+0	997.633839968043890E-3
465.000000000000060E+0	996.483830003390360E-3
466.000000000000060E+0	996.652751635362710E-3
467.000000000000060E+0	997.188531603817710E-3
468.000000000000060E+0	999.064482399726890E-3
469.000000000000060E+0	999.574307971442640E-3
470.000000000000060E+0	998.849088376926430E-3
471.000000000000060E+0	998.071675873388190E-3
472.000000000000060E+0	998.117541739532710E-3
473.000000000000060E+0	998.658268691201440E-3
474.000000000000060E+0	998.877266825033190E-3
475.000000000000060E+0	998.324284325039830E-3
476.000000000000060E+0	996.808300758282750E-3
477.000000000000060E+0	997.093812389039160E-3
478.000000000000060E+0	998.778225378947340E-3
479.000000000000060E+0	998.451731529265030E-3
480.000000000000060E+0	994.657894762991820E-3
481.000000000000060E+0	997.755591810002730E-3
482.000000000000060E+0	999.080236273688360E-3
483.000000000000060E+0	997.177298108407830E-3
484.000000000000060E+0	997.458717996873360E-3
485.000000000000060E+0	998.897255160323020E-3
486.000000000000060E+0	993.192608255570540E-3
487.000000000000060E+0	991.846016137986730E-3
488.000000000000060E+0	993.914236687471360E-3
489.000000000000060E+0	996.284679339886740E-3
490.000000000000060E+0	994.400006969683560E-3
491.000000000000060E+0	996.600169159940430E-3
492.000000000000060E+0	992.545656051637470E-3
493.000000000000060E+0	997.044301100400210E-3
494.000000000000060E+0	994.603048108432700E-3
495.000000000000060E+0	988.500246729203780E-3
496.000000000000060E+0	988.820141122546680E-3
497.000000000000060E+0	995.469728875872820E-3
498.000000000000060E+0	994.520685293417420E-3
499.000000000000060E+0	994.947660062890480E-3
500.000000000000060E+0	985.137577815085370E-3
501.000000000000060E+0	998.082993408660130E-3
502.000000000000060E+0	998.453717775216740E-3
503.000000000000060E+0	997.287715936368560E-3
504.000000000000060E+0	994.652282551491850E-3
505.000000000000060E+0	994.200768912240410E-3
506.000000000000060E+0	992.011626749958690E-3
507.000000000000060E+0	993.653759276918900E-3
508.000000000000060E+0	990.153826184440920E-3
509.000000000000060E+0	990.666022775329110E-3
510.000000000000060E+0	989.515772465930250E-3
511.000000000000060E+0	991.662864782630770E-3
512.000000000000110E+0	994.020143519318890E-3
513.000000000000110E+0	994.551162848646200E-3
514.000000000000110E+0	988.067204627676280E-3
515.000000000000110E+0	993.779060993501770E-3
516.000000000000110E+0	992.765671915701640E-3
517.000000000000110E+0	997.213953924980020E-3
518.000000000000110E+0	990.114341642669870E-3
519.000000000000110E+0	991.745329438087130E-3
520.000000000000110E+0	988.475300854258500E-3
521.000000000000110E+0	990.863647637560180E-3
522.000000000000110E+0	995.163606783754370E-3
523.000000000000110E+0	984.742619079767340E-3
524.000000000000110E+0	982.764561977254150E-3
525.000000000000110E+0	989.230989643213430E-3
526.000000000000110E+0	987.207394213422070E-3
527.000000000000110E+0	990.560950219809280E-3
528.000000000000110E+0	996.336848729288400E-3
529.000000000000110E+0	996.224550690404830E-3
530.000000000000110E+0	998.386817103476320E-3
531.000000000000110E+0	998.241500148546510E-3
532.000000000000110E+0	998.659016397501540E-3
533.000000000000110E+0	998.826238616935200E-3
534.000000000000110E+0	997.417972775735520E-3
535.000000000000110E+0	998.562128051693090E-3
536.000000000000110E+0	999.125057164155450E-3
537.000000000000110E+0	997.672085373462080E-3
538.000000000000110E+0	996.658146082401440E-3
539.000000000000110E+0	997.297338825925310E-3
540.000000000000110E+0	998.800424797052890E-3
541.000000000000110E+0	996.003845528355300E-3
542.000000000000110E+0	995.831682866043180E-3
543.000000000000110E+0	994.405565492872620E-3
544.000000000000110E+0	997.455978228820260E-3
545.000000000000110E+0	996.668726171221820E-3
546.000000000000110E+0	982.320643256947900E-3
547.000000000000110E+0	995.235733930957660E-3
548.000000000000110E+0	996.879611842815590E-3
549.000000000000110E+0	999.309883950201040E-3
550.000000000000110E+0	998.535626975882490E-3
551.000000000000110E+0	998.855353603859020E-3
552.000000000000110E+0	999.138104445119750E-3
553.000000000000110E+0	997.438586675270520E-3
554.000000000000110E+0	999.729810033686330E-3
555.000000000000110E+0	999.747263801511020E-3
556.000000000000110E+0	999.175624341428040E-3
557.000000000000110E+0	999.474535814801500E-3
558.000000000000110E+0	999.906504017716750E-3
559.000000000000110E+0	999.800392214849950E-3
560.000000000000110E+0	999.643414266175310E-3
561.000000000000110E+0	999.824625139628660E-3
562.000000000000110E+0	998.947445232613140E-3
563.000000000000110E+0	998.791395115126930E-3
564.000000000000110E+0	999.498218737792880E-3
565.000000000000110E+0	998.335246888336410E-3
566.000000000000110E+0	999.672184714175960E-3
567.000000000000110E+0	998.263981413150980E-3
568.000000000000110E+0	998.453735477666910E-3
569.000000000000110E+0	996.755719701637900E-3
