Freq (Hz)	Coh_micro/hp
111.000000000000010E+0	1.000000000000000E+0
112.000000000000010E+0	1.000000000000000E+0
113.000000000000010E+0	999.999999999999780E-3
114.000000000000010E+0	999.999999999999670E-3
115.000000000000010E+0	1.000000000000000E+0
116.000000000000010E+0	1.000000000000000E+0
117.000000000000010E+0	1.000000000000000E+0
118.000000000000010E+0	999.999999999999780E-3
119.000000000000010E+0	1.000000000000000E+0
120.000000000000010E+0	1.000000000000000E+0
121.000000000000010E+0	1.000000000000000E+0
122.000000000000010E+0	999.999999999999780E-3
123.000000000000010E+0	1.000000000000000E+0
124.000000000000010E+0	1.000000000000000E+0
125.000000000000010E+0	1.000000000000000E+0
126.000000000000010E+0	1.000000000000000E+0
127.000000000000010E+0	999.999999999999890E-3
128.000000000000030E+0	1.000000000000000E+0
129.000000000000030E+0	999.999999999999890E-3
130.000000000000030E+0	999.999999999999560E-3
131.000000000000030E+0	999.999999999999670E-3
132.000000000000030E+0	1.000000000000000E+0
133.000000000000030E+0	999.999999999999890E-3
134.000000000000030E+0	1.000000000000000E+0
135.000000000000030E+0	1.000000000000000E+0
136.000000000000030E+0	999.999999999999780E-3
137.000000000000030E+0	1.000000000000000E+0
138.000000000000030E+0	999.999999999999890E-3
139.000000000000030E+0	1.000000000000000E+0
140.000000000000030E+0	1.000000000000000E+0
141.000000000000030E+0	999.999999999999780E-3
142.000000000000030E+0	1.000000000000000E+0
143.000000000000030E+0	1.000000000000000E+0
144.000000000000030E+0	999.999999999999890E-3
145.000000000000030E+0	999.999999999999780E-3
146.000000000000030E+0	1.000000000000000E+0
147.000000000000030E+0	1.000000000000000E+0
148.000000000000030E+0	999.999999999999670E-3
149.000000000000030E+0	1.000000000000000E+0
150.000000000000030E+0	1.000000000000000E+0
151.000000000000030E+0	999.999999999999670E-3
152.000000000000030E+0	1.000000000000000E+0
153.000000000000030E+0	1.000000000000000E+0
154.000000000000030E+0	1.000000000000000E+0
155.000000000000030E+0	1.000000000000000E+0
156.000000000000030E+0	1.000000000000000E+0
157.000000000000030E+0	999.999999999999780E-3
158.000000000000030E+0	999.999999999999890E-3
159.000000000000030E+0	999.999999999999890E-3
160.000000000000030E+0	1.000000000000000E+0
161.000000000000030E+0	999.999999999999330E-3
162.000000000000030E+0	999.999999999999560E-3
163.000000000000030E+0	1.000000000000000E+0
164.000000000000030E+0	1.000000000000000E+0
165.000000000000030E+0	999.999999999999670E-3
166.000000000000030E+0	1.000000000000000E+0
167.000000000000030E+0	1.000000000000000E+0
168.000000000000030E+0	1.000000000000000E+0
169.000000000000030E+0	999.999999999999670E-3
170.000000000000030E+0	999.999999999999670E-3
171.000000000000030E+0	1.000000000000000E+0
172.000000000000030E+0	1.000000000000000E+0
173.000000000000030E+0	1.000000000000000E+0
174.000000000000030E+0	999.999999999999780E-3
175.000000000000030E+0	999.999999999999780E-3
176.000000000000030E+0	1.000000000000000E+0
177.000000000000030E+0	999.999999999999670E-3
178.000000000000030E+0	999.999999999999780E-3
179.000000000000030E+0	1.000000000000000E+0
180.000000000000030E+0	1.000000000000000E+0
181.000000000000030E+0	999.999999999999780E-3
182.000000000000030E+0	1.000000000000000E+0
183.000000000000030E+0	1.000000000000000E+0
184.000000000000030E+0	1.000000000000000E+0
185.000000000000030E+0	999.999999999999560E-3
186.000000000000030E+0	1.000000000000000E+0
187.000000000000030E+0	1.000000000000000E+0
188.000000000000030E+0	1.000000000000000E+0
189.000000000000030E+0	999.999999999999890E-3
190.000000000000030E+0	999.999999999999780E-3
191.000000000000030E+0	999.999999999999780E-3
192.000000000000030E+0	1.000000000000000E+0
193.000000000000030E+0	999.999999999999560E-3
194.000000000000030E+0	999.999999999999670E-3
195.000000000000030E+0	1.000000000000000E+0
196.000000000000030E+0	1.000000000000000E+0
197.000000000000030E+0	1.000000000000000E+0
198.000000000000030E+0	1.000000000000000E+0
199.000000000000030E+0	999.999999999999670E-3
200.000000000000030E+0	1.000000000000000E+0
201.000000000000030E+0	1.000000000000000E+0
202.000000000000030E+0	999.999999999999670E-3
203.000000000000030E+0	999.999999999999440E-3
204.000000000000030E+0	1.000000000000000E+0
205.000000000000030E+0	1.000000000000000E+0
206.000000000000030E+0	1.000000000000000E+0
207.000000000000030E+0	999.999999999999780E-3
208.000000000000030E+0	1.000000000000000E+0
209.000000000000030E+0	999.999999999999780E-3
210.000000000000030E+0	1.000000000000000E+0
211.000000000000030E+0	1.000000000000000E+0
212.000000000000030E+0	999.999999999999780E-3
213.000000000000030E+0	1.000000000000000E+0
214.000000000000030E+0	1.000000000000000E+0
215.000000000000030E+0	999.999999999999890E-3
216.000000000000030E+0	1.000000000000000E+0
217.000000000000030E+0	999.999999999999890E-3
218.000000000000030E+0	1.000000000000000E+0
219.000000000000030E+0	1.000000000000000E+0
220.000000000000030E+0	1.000000000000000E+0
221.000000000000030E+0	999.999999999999890E-3
222.000000000000030E+0	1.000000000000000E+0
223.000000000000030E+0	1.000000000000000E+0
224.000000000000030E+0	999.999999999999670E-3
225.000000000000030E+0	1.000000000000000E+0
226.000000000000030E+0	1.000000000000000E+0
227.000000000000030E+0	999.999999999999670E-3
228.000000000000030E+0	999.999999999999670E-3
229.000000000000030E+0	1.000000000000000E+0
230.000000000000030E+0	1.000000000000000E+0
231.000000000000030E+0	1.000000000000000E+0
232.000000000000030E+0	1.000000000000000E+0
233.000000000000030E+0	1.000000000000000E+0
