Freq (Hz)	micro/hp_Real	micro/hp_Imag
75.000000000000014E+0	51.274118342424450E-3	11.286896070161772E-3
76.000000000000014E+0	-38.652026139289725E-3	-34.862892877774963E-3
77.000000000000014E+0	2.289942117368929E-3	-82.974538620100333E-3
78.000000000000014E+0	-16.256210332563893E-3	-3.970574614126123E-3
79.000000000000014E+0	-7.211122807002886E-3	-16.363096014170162E-3
80.000000000000014E+0	16.364551549875404E-3	16.261959093854323E-3
81.000000000000014E+0	54.556780204264556E-3	21.667962529190916E-3
82.000000000000014E+0	13.995895221228011E-3	-27.505582906365376E-3
83.000000000000014E+0	26.104887324479450E-3	-64.466895892501014E-3
84.000000000000014E+0	43.498861660684084E-3	-14.714585326672618E-3
85.000000000000014E+0	36.179946189188308E-3	35.449646911818240E-3
86.000000000000014E+0	-38.027571119562946E-3	21.881376433038422E-3
87.000000000000014E+0	-19.135194136613499E-3	13.766917769977871E-3
88.000000000000014E+0	-4.723989535815240E-3	-16.781566770843963E-3
89.000000000000014E+0	-13.292408351082835E-3	25.503625380266640E-3
90.000000000000014E+0	48.657828546433114E-3	-21.727839962920409E-3
91.000000000000014E+0	-138.263489090370030E-3	-49.391245476445758E-3
92.000000000000014E+0	-36.569242723390197E-3	37.780346038544362E-3
93.000000000000014E+0	-81.468730040564111E-3	20.803545065454985E-3
94.000000000000014E+0	-101.585527105524250E-3	-154.877290009126870E-3
95.000000000000014E+0	-66.643366593009012E-3	47.516149092237864E-3
96.000000000000014E+0	51.577651330474074E-3	73.757731977142471E-3
97.000000000000014E+0	1.920914293840226E-3	48.066479115151814E-3
98.000000000000014E+0	-63.183769661198680E-3	-25.548882745992266E-3
99.000000000000014E+0	39.406134224991410E-3	29.128825195619115E-3
100.000000000000010E+0	-26.599252047611759E-3	-116.632685958756810E-3
101.000000000000010E+0	44.961290644681649E-3	94.430336763385109E-3
102.000000000000010E+0	-28.002191783967737E-3	-20.703038942541798E-3
103.000000000000010E+0	-26.269404372335450E-3	-19.516624581026668E-3
104.000000000000010E+0	-7.518980765805800E-3	-70.844619897674571E-3
105.000000000000010E+0	-27.401479784560423E-3	-159.028876473222590E-3
