Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
1.002000000000000E+3	36.366023937202112E-6	2.372682460099737E-6	8.908478591362933E-6	65.021749763399601E-9
1.003000000000000E+3	41.155888211240128E-6	2.662506607609858E-6	9.799704496185796E-6	111.257752184093920E-9
1.004000000000000E+3	45.999165993084706E-6	2.962965378061121E-6	10.702947045978076E-6	159.745781384353890E-9
1.005000000000000E+3	50.357484096839844E-6	3.239099724865860E-6	11.511218538887553E-6	206.466010218383170E-9
1.006000000000000E+3	53.620201516008800E-6	3.424682934473434E-6	12.076996647541139E-6	252.308127837357020E-9
1.007000000000000E+3	55.658276551062800E-6	3.511416570153260E-6	12.319299638801899E-6	299.063601195133220E-9
1.008000000000000E+3	56.853992683395621E-6	3.540503357443801E-6	12.367709483296610E-6	335.429614481444590E-9
1.009000000000000E+3	57.627667759963571E-6	3.512069908212068E-6	12.395917268456241E-6	357.278719955201060E-9
1.010000000000000E+3	58.776445360505183E-6	3.498419779870476E-6	12.565794565114098E-6	376.516350790606350E-9
1.011000000000000E+3	61.353853324257616E-6	3.574377238832175E-6	13.094846981054432E-6	400.712354494813050E-9
1.012000000000000E+3	65.909433883569856E-6	3.759558780736789E-6	14.108059403597383E-6	432.375291897698040E-9
1.013000000000000E+3	72.828857444890604E-6	4.061774711661750E-6	15.629126248392883E-6	479.967089983622200E-9
1.014000000000000E+3	81.893062649738218E-6	4.444364886215270E-6	17.588089680927139E-6	541.889538252503280E-9
1.015000000000000E+3	92.049241184829919E-6	4.850512716379335E-6	19.763693223020542E-6	607.691291884608370E-9
1.016000000000000E+3	101.937869484096240E-6	5.229038148234856E-6	21.904330260615753E-6	667.603506005300500E-9
1.017000000000000E+3	110.098897418821210E-6	5.504710294976113E-6	23.763102769256900E-6	706.910565361225940E-9
1.018000000000000E+3	115.669627366898810E-6	5.623283829757622E-6	25.123470721951533E-6	722.809644642282460E-9
1.019000000000000E+3	118.894383577293370E-6	5.610798119315821E-6	26.027057885965661E-6	722.838663593636530E-9
1.020000000000000E+3	120.792654093671390E-6	5.522201566354157E-6	26.703476712689924E-6	706.967700123715200E-9
1.021000000000000E+3	123.265543417604510E-6	5.471551790288360E-6	27.521566147491521E-6	690.093927342238750E-9
1.022000000000000E+3	128.852188837238020E-6	5.566776638510773E-6	29.043312296931208E-6	694.062220840604200E-9
1.023000000000000E+3	139.585103651516930E-6	5.885084302794290E-6	31.782128150241769E-6	719.707148067979960E-9
1.024000000000000E+3	156.065680882180080E-6	6.426039401625287E-6	35.941260434455760E-6	763.485445520982020E-9
1.025000000000000E+3	177.197054372526150E-6	7.128790539518987E-6	41.416660048989563E-6	826.238316679607570E-9
1.026000000000000E+3	200.581215993173840E-6	7.868486874426494E-6	47.708773769645367E-6	895.039901431423430E-9
1.027000000000000E+3	222.556532494812790E-6	8.482278475311524E-6	53.850013243855388E-6	952.232354469745430E-9
1.028000000000000E+3	239.768387221548670E-6	8.895203036681909E-6	58.995960644321164E-6	984.283848239358490E-9
1.029000000000000E+3	251.123140256850530E-6	9.092678468618937E-6	62.807338859068271E-6	994.586193155744980E-9
1.030000000000000E+3	258.189705979701000E-6	9.141739028327395E-6	65.612395108891820E-6	1.000416220217316E-6
1.031000000000000E+3	265.743051321219170E-6	9.171383010315020E-6	68.618445513128192E-6	1.021269216894664E-6
1.032000000000000E+3	279.897206825173990E-6	9.392641851595703E-6	73.449363885652575E-6	1.083571642225224E-6
1.033000000000000E+3	306.107000431046060E-6	10.031510036173946E-6	81.718545360581475E-6	1.212368602653047E-6
1.034000000000000E+3	346.881070373228080E-6	11.100509175444709E-6	94.332901325601453E-6	1.427081676846559E-6
1.035000000000000E+3	399.886786539960130E-6	12.467464364759347E-6	110.718339984498730E-6	1.730623752699338E-6
1.036000000000000E+3	458.546706585685740E-6	13.963317592627486E-6	129.145416780942980E-6	2.105136366714253E-6
1.037000000000000E+3	513.257719044136550E-6	15.296685487151841E-6	147.087261468532140E-6	2.523888346832089E-6
1.038000000000000E+3	557.110158580129480E-6	16.252877609145186E-6	162.363794948711460E-6	2.943467820854860E-6
1.039000000000000E+3	588.944940568662230E-6	16.824396384401194E-6	174.381125221293600E-6	3.359987552104355E-6
1.040000000000000E+3	615.771326015485970E-6	17.247644807248390E-6	185.224317313026120E-6	3.817988792895414E-6
1.041000000000000E+3	652.829147470174370E-6	17.913137675425015E-6	199.593230852059340E-6	4.396486927145648E-6
1.042000000000000E+3	716.452351212177200E-6	19.235392865954569E-6	222.725966084910370E-6	5.261709540373733E-6
1.043000000000000E+3	819.993584001135080E-6	21.592920963931635E-6	259.488310708477390E-6	6.587193780629080E-6
1.044000000000000E+3	963.774936355950820E-6	24.952728942224223E-6	310.504792166235620E-6	8.486658294392972E-6
1.045000000000000E+3	1.132440772688632E-3	28.882596716458061E-6	370.963384097566290E-6	10.950649322799108E-6
1.046000000000000E+3	1.301573785918140E-3	32.771804311481710E-6	433.258562123990640E-6	13.819392203134694E-6
1.047000000000000E+3	1.446449898334115E-3	36.023524060692659E-6	489.010922771336240E-6	16.865853264098783E-6
1.048000000000000E+3	1.561834996155899E-3	38.550149965904544E-6	535.767666770098050E-6	19.976860246436141E-6
1.049000000000000E+3	1.667747799020501E-3	40.926205590550492E-6	580.145684749864460E-6	23.379026840968332E-6
1.050000000000000E+3	1.809891221769305E-3	44.219000469100891E-6	638.398096370394610E-6	27.756636449045433E-6
