Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
938.000000000000110E+0	999.979937128002040E-3	999.974724104082170E-3	999.992228708981080E-3
939.000000000000110E+0	999.991834378630480E-3	999.968202997902570E-3	999.988527318296020E-3
940.000000000000110E+0	999.987155742972030E-3	999.955310606289060E-3	999.988227063647430E-3
941.000000000000110E+0	999.986976492689420E-3	999.952363233979850E-3	999.975332386312310E-3
942.000000000000110E+0	999.982638284224070E-3	999.955740263992140E-3	999.972817385824000E-3
943.000000000000110E+0	999.986914573644970E-3	999.933985486152200E-3	999.983982516592480E-3
944.000000000000110E+0	999.973107382860160E-3	999.949663427971980E-3	999.982953972651020E-3
945.000000000000110E+0	999.973656725991590E-3	999.970035966434080E-3	999.972920908106630E-3
946.000000000000110E+0	999.964335286610770E-3	999.921686635312110E-3	999.970432753123920E-3
947.000000000000110E+0	999.955373437601100E-3	999.920644192564100E-3	999.970831910919180E-3
948.000000000000110E+0	999.946789368499790E-3	999.965050345690050E-3	999.974859220894910E-3
949.000000000000110E+0	999.981415955166870E-3	999.938402698019590E-3	999.982836066848010E-3
950.000000000000110E+0	999.977599105349220E-3	999.892331188916960E-3	999.981559725068860E-3
951.000000000000110E+0	999.972198420967520E-3	999.894857964702230E-3	999.969310536936160E-3
952.000000000000110E+0	999.976909065072640E-3	999.945754650853560E-3	999.967972483406410E-3
953.000000000000110E+0	999.988536458118800E-3	999.943062027943140E-3	999.977877645970130E-3
954.000000000000110E+0	999.986453055527140E-3	999.954373712628520E-3	999.982988805238500E-3
955.000000000000110E+0	999.972459260650260E-3	999.980296797182810E-3	999.987425714417340E-3
956.000000000000110E+0	999.974648784392900E-3	999.966425012912220E-3	999.985983340674460E-3
957.000000000000110E+0	999.985433726818250E-3	999.943256372152090E-3	999.991519988359440E-3
958.000000000000110E+0	999.985559302526310E-3	999.954318803429110E-3	999.993334909675900E-3
959.000000000000110E+0	999.979392262274060E-3	999.964206755012070E-3	999.991411653835870E-3
960.000000000000110E+0	999.981785927551160E-3	999.975163637899290E-3	999.993133979626860E-3
961.000000000000110E+0	999.972414312866650E-3	999.972180052751790E-3	999.993038249751390E-3
962.000000000000110E+0	999.972264327782410E-3	999.951746846000410E-3	999.992080869232520E-3
963.000000000000110E+0	999.966019152720100E-3	999.954721291077100E-3	999.990576615073510E-3
964.000000000000110E+0	999.974484296930480E-3	999.947864022798120E-3	999.990415089787920E-3
965.000000000000110E+0	999.981745195080100E-3	999.946109900544890E-3	999.994482060660110E-3
966.000000000000110E+0	999.982045807382260E-3	999.962570587138550E-3	999.987339465891910E-3
967.000000000000110E+0	999.979473146586640E-3	999.978894644833360E-3	999.990723221522710E-3
968.000000000000110E+0	999.979257804493040E-3	999.973674925191850E-3	999.990053242693300E-3
969.000000000000110E+0	999.980842163155410E-3	999.966946150276810E-3	999.992913523200520E-3
970.000000000000110E+0	999.980525281305760E-3	999.959213341946150E-3	999.989945935361390E-3
971.000000000000110E+0	999.981965222411560E-3	999.936709223998580E-3	999.985898778665060E-3
972.000000000000110E+0	999.983880538376500E-3	999.934048879344450E-3	999.991319602749450E-3
973.000000000000110E+0	999.986267054573610E-3	999.936258597616370E-3	999.996045568458340E-3
974.000000000000110E+0	999.987683987993420E-3	999.963538848990250E-3	999.988194746116220E-3
975.000000000000110E+0	999.993944178908520E-3	999.980655528261540E-3	999.989175666056380E-3
