Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
1.987000000000000E+3	203.588956574872910E-3	-4.390561766676495E+0	82.354213480029942E-3	-7.946890358244623E+0	489.925176198426180E-3	1.667547311546020E+0
1.988000000000000E+3	211.682143929810110E-3	-4.377996308519768E+0	86.531932754477112E-3	-7.908249868231244E+0	507.097362089576560E-3	1.675678066497797E+0
1.989000000000000E+3	219.802370572760780E-3	-4.366106708116419E+0	91.037732600879703E-3	-7.870450895275990E+0	524.551096390982300E-3	1.683108471186535E+0
1.990000000000000E+3	229.076455127482870E-3	-4.353952921933862E+0	95.657957071126440E-3	-7.838547715970466E+0	543.867229259371370E-3	1.690985009559913E+0
1.991000000000000E+3	238.464366732336900E-3	-4.347237242642817E+0	100.519545948370990E-3	-7.805032485077360E+0	563.165904033076760E-3	1.694943385506151E+0
1.992000000000000E+3	247.595323938480690E-3	-4.340304726876577E+0	105.905546469831700E-3	-7.780357264389897E+0	581.836921728350890E-3	1.700832823993867E+0
1.993000000000000E+3	257.227366650932270E-3	-4.335412523777159E+0	110.740696926305420E-3	-7.758845550024309E+0	602.527641428019180E-3	1.706593953001958E+0
1.994000000000000E+3	265.970781773063550E-3	-4.329967532385719E+0	115.746677404493900E-3	-7.734618937166578E+0	623.097426209673450E-3	1.711575872668168E+0
1.995000000000000E+3	276.004240484249930E-3	-4.321530437743807E+0	121.053183380223990E-3	-7.713002831601028E+0	645.834850023517930E-3	1.717546353490861E+0
1.996000000000000E+3	286.660890508218750E-3	-4.316353385810997E+0	126.542139428857390E-3	-7.690175195065104E+0	669.891443317515160E-3	1.720851702268969E+0
1.997000000000000E+3	297.953737583856850E-3	-4.311255812218548E+0	132.789062328319800E-3	-7.670386703422393E+0	695.044423809675570E-3	1.723660950663562E+0
1.998000000000000E+3	309.428678292349660E-3	-4.309788923556381E+0	139.093228388088940E-3	-7.654195246220291E+0	720.522861147717800E-3	1.723649069733779E+0
1.999000000000000E+3	320.893817765356030E-3	-4.305220921756264E+0	145.645882734924290E-3	-7.639688450895911E+0	745.597513320602530E-3	1.726343773391612E+0
2.000000000000000E+3	333.819373167510920E-3	-4.302852814958587E+0	152.085203924712700E-3	-7.626562409359966E+0	773.629911940756030E-3	1.729070079028435E+0
2.001000000000000E+3	346.202276996155860E-3	-4.299972549567939E+0	158.927526299167840E-3	-7.611112589562845E+0	802.550755047555130E-3	1.732454355622614E+0
2.002000000000000E+3	360.775300252405010E-3	-4.294765035197231E+0	166.322181375877980E-3	-7.597746981823732E+0	836.444526889254520E-3	1.736766629332203E+0
2.003000000000000E+3	376.420530716555510E-3	-4.293053690554042E+0	174.186128032378350E-3	-7.583878582092296E+0	872.941928366332890E-3	1.737428455994001E+0
2.004000000000000E+3	393.440171593689380E-3	-4.291098626145944E+0	182.987251357183240E-3	-7.572122296061446E+0	912.450562043660480E-3	1.738251949191035E+0
2.005000000000000E+3	412.263752975044860E-3	-4.293072521876409E+0	192.096906029608130E-3	-7.564748610419604E+0	956.563625880745390E-3	1.735511940872916E+0
2.006000000000000E+3	430.542888205771520E-3	-4.295959436059527E+0	201.188332734212830E-3	-7.555121246017027E+0	1.000086542263279E+0	1.730154934072869E+0
2.007000000000000E+3	451.191182728799100E-3	-4.296438882503075E+0	211.816608700659210E-3	-7.545036969229351E+0	1.046534924821547E+0	1.727609104473407E+0
2.008000000000000E+3	474.088986472367970E-3	-4.298829443462923E+0	223.351465244870260E-3	-7.538608245146507E+0	1.099391361161346E+0	1.724625679774109E+0
2.009000000000000E+3	499.242380950232270E-3	-4.302563078065816E+0	235.886962853351670E-3	-7.532818218354741E+0	1.157342353750755E+0	1.719763318915320E+0
2.010000000000000E+3	527.615228296261170E-3	-4.306374704919616E+0	249.878493777297180E-3	-7.529120876778665E+0	1.223164239643262E+0	1.715740203846460E+0
2.011000000000000E+3	559.194153544397830E-3	-4.314170247885858E+0	265.298684836912550E-3	-7.528264469131365E+0	1.297746959583358E+0	1.706971447294173E+0
2.012000000000000E+3	594.977002046247260E-3	-4.321975464097807E+0	282.224699942439320E-3	-7.529737814951331E+0	1.380843900205402E+0	1.697973553561498E+0
2.013000000000000E+3	635.131722623341940E-3	-4.335765613625838E+0	300.675613971395810E-3	-7.533353886297906E+0	1.475193221329887E+0	1.683752606257871E+0
2.014000000000000E+3	679.480104170609670E-3	-4.348748427697012E+0	321.652080986261630E-3	-7.537081272495024E+0	1.579785983971966E+0	1.669586027297204E+0
2.015000000000000E+3	732.996961599114430E-3	-4.365472590480580E+0	346.194480102322070E-3	-7.543569993894689E+0	1.705504684751703E+0	1.651747508077501E+0
2.016000000000000E+3	795.810100800375170E-3	-4.387311712656278E+0	375.538087748700570E-3	-7.554398235719148E+0	1.853642919457622E+0	1.628826951441033E+0
2.017000000000000E+3	870.245471457278260E-3	-4.416362155588839E+0	410.477248232440360E-3	-7.572506811723867E+0	2.028563989663619E+0	1.598108756369126E+0
2.018000000000000E+3	959.530366263847800E-3	-4.455694096400553E+0	452.076543865889800E-3	-7.601905190488417E+0	2.237776859035297E+0	1.557794015520376E+0
2.019000000000000E+3	1.062168242071666E+0	-4.506088299590760E+0	499.689013101905220E-3	-7.641724768009915E+0	2.478535315241699E+0	1.506051416682402E+0
2.020000000000000E+3	1.187595629715772E+0	-4.568166732029051E+0	556.963709295984270E-3	-7.693467593363183E+0	2.772087121974365E+0	1.443418224708136E+0
2.021000000000000E+3	1.339443558946855E+0	-4.651048213570498E+0	625.813530751765600E-3	-7.763687853942649E+0	3.129651650569532E+0	1.359974683108337E+0
2.022000000000000E+3	1.516821886145645E+0	-4.757422460842064E+0	707.214831019996160E-3	-7.856836002162710E+0	3.547805837432760E+0	1.252927655798345E+0
2.023000000000000E+3	1.731945580437205E+0	-4.896654150807207E+0	805.268124854063180E-3	-7.983963691204701E+0	4.055919606806976E+0	1.113257588379279E+0
2.024000000000000E+3	1.956814062050082E+0	-5.090786133310011E+0	906.442424067972930E-3	-8.164541342593660E+0	4.590854155467083E+0	918.427833002427920E-3
2.025000000000000E+3	2.116364625857730E+0	-5.338597548146645E+0	976.646682741450390E-3	-8.398237519054081E+0	4.974091753988287E+0	669.555464232418740E-3
2.026000000000000E+3	2.112507225415599E+0	-5.611035576073052E+0	971.002341233137670E-3	-8.654741934003603E+0	4.974787779899309E+0	395.716392949470810E-3
2.027000000000000E+3	1.974955886744412E+0	-5.857953997988563E+0	905.511209138524900E-3	-8.886113366345947E+0	4.658107933084739E+0	147.150249411598070E-3
2.028000000000000E+3	1.763785251143940E+0	-6.070197233321536E+0	805.492816935971410E-3	-9.082766186475309E+0	4.166355337516813E+0	-66.540590019476473E-3
2.029000000000000E+3	1.540117414137126E+0	-6.236951199510269E+0	700.659070996577200E-3	-9.232724186053245E+0	3.643694135101080E+0	-234.733641610950980E-3
2.030000000000000E+3	1.336358812607389E+0	-6.368706063264940E+0	605.513944785259550E-3	-9.347514399209768E+0	3.166554909197712E+0	-368.000463441230880E-3
2.031000000000000E+3	1.157214386150693E+0	-6.470864391848874E+0	521.766424792970310E-3	-9.431692008460217E+0	2.746397092057967E+0	-471.504860287796420E-3
2.032000000000000E+3	1.007175125083667E+0	-6.546304833394660E+0	451.930448370032820E-3	-9.488069794892107E+0	2.394716061044629E+0	-548.497679175860560E-3
2.033000000000000E+3	884.820804689641190E-3	-6.601767376251892E+0	395.036609822294380E-3	-9.523534298642703E+0	2.107204486135864E+0	-605.709265681411480E-3
2.034000000000000E+3	786.011866781982090E-3	-6.643130866259129E+0	349.141526234483520E-3	-9.543863107546628E+0	1.874870457065840E+0	-648.658685511324990E-3
2.035000000000000E+3	705.836071741925530E-3	-6.676133770835176E+0	312.025123865910250E-3	-9.554911290520931E+0	1.686525843553398E+0	-683.355643697091670E-3
2.036000000000000E+3	638.796157246025790E-3	-6.705140666060547E+0	280.842373897778500E-3	-9.561728110662363E+0	1.528823242291468E+0	-714.175386573589250E-3
2.037000000000000E+3	580.924883448003080E-3	-6.730693991421520E+0	253.661715708493000E-3	-9.563275651601538E+0	1.392467001097488E+0	-741.472899439761800E-3
2.038000000000000E+3	530.353345369965920E-3	-6.752785078722371E+0	230.019681786693800E-3	-9.559144271374219E+0	1.273304070272560E+0	-765.295739444031950E-3
2.039000000000000E+3	485.356391673932800E-3	-6.771982202926810E+0	208.890859908121060E-3	-9.549964345542000E+0	1.167144795371450E+0	-786.192644834565630E-3
2.040000000000000E+3	445.136284546168330E-3	-6.786124494610830E+0	190.414152336712940E-3	-9.531441889665018E+0	1.072327246400659E+0	-801.971303598091990E-3
