Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
1.002000000000000E+3	9.163532331641067E-6	1.517841098352256E-6	-17.958041875482624E-6	1.212028173852258E-6	849.847472147367260E-9	1.278882232176606E-6
1.003000000000000E+3	10.314635849849437E-6	1.781838296221844E-6	-20.005362226670373E-6	1.756995744325482E-6	1.244855703607757E-6	1.738565537133017E-6
1.004000000000000E+3	11.486729251599532E-6	2.083687763907275E-6	-22.063312880235242E-6	2.350089680044592E-6	1.625182772672066E-6	2.168302475444718E-6
1.005000000000000E+3	12.543939373732443E-6	2.398633511070257E-6	-23.891157490156996E-6	2.979011824747264E-6	1.963229905122266E-6	2.555893693280529E-6
1.006000000000000E+3	13.291243513976787E-6	2.638191645112021E-6	-25.198077193682603E-6	3.550547671067184E-6	2.226651459488132E-6	2.926074158931355E-6
1.007000000000000E+3	13.696493735029975E-6	2.798389650503245E-6	-25.880980745511804E-6	3.978983075427985E-6	2.451960539674608E-6	3.259708656322793E-6
1.008000000000000E+3	13.888214227726722E-6	2.898204041938107E-6	-26.173820354448006E-6	4.251727475212881E-6	2.619903610513309E-6	3.492820091008159E-6
1.009000000000000E+3	13.911765033225960E-6	2.975091136721430E-6	-26.357627962157356E-6	4.428865787077044E-6	2.693054367013154E-6	3.651089992001347E-6
1.010000000000000E+3	13.996548605713923E-6	3.116809040180920E-6	-26.781679580841179E-6	4.614991907175749E-6	2.756354296688009E-6	3.810467984348356E-6
1.011000000000000E+3	14.436435449550209E-6	3.297664289816069E-6	-27.910126815342097E-6	4.942915022816678E-6	2.873076559597486E-6	4.038923906622736E-6
1.012000000000000E+3	15.331792302535794E-6	3.564264537469216E-6	-29.997849394572548E-6	5.473888068965500E-6	3.011199183051547E-6	4.406678538920265E-6
1.013000000000000E+3	16.731267511026561E-6	3.981010423290599E-6	-33.167477283652971E-6	6.176217222064994E-6	3.207946581435295E-6	4.965444070218047E-6
1.014000000000000E+3	18.547724349405838E-6	4.461188728267487E-6	-37.298119870047036E-6	7.012609286008545E-6	3.487020931154473E-6	5.675145399792542E-6
1.015000000000000E+3	20.535835876395920E-6	4.972963536717402E-6	-41.917028197370673E-6	7.885373122869376E-6	3.773772528461940E-6	6.455932537600446E-6
1.016000000000000E+3	22.409528012347416E-6	5.551648864061670E-6	-46.451477543605265E-6	8.667172488527068E-6	4.008285433011651E-6	7.208753428521998E-6
1.017000000000000E+3	23.862273784149163E-6	6.051833329058119E-6	-50.298060287809127E-6	9.294124842021787E-6	4.123013791971680E-6	7.797928431067585E-6
1.018000000000000E+3	24.691127953766765E-6	6.384580007892807E-6	-53.033241953832219E-6	9.668602022227662E-6	4.071036351557293E-6	8.186312683593664E-6
1.019000000000000E+3	24.973943968293526E-6	6.585730395745100E-6	-54.760508948691281E-6	9.784579727264203E-6	3.898582030901829E-6	8.409811326538732E-6
1.020000000000000E+3	24.931574558265493E-6	6.740526210330384E-6	-55.942152167473853E-6	9.799203590718866E-6	3.639131351147176E-6	8.493416258240540E-6
1.021000000000000E+3	25.016972779174025E-6	6.970343834259820E-6	-57.407902853473923E-6	9.836425022858268E-6	3.356537981278311E-6	8.589940422878614E-6
1.022000000000000E+3	25.742276740346661E-6	7.389283629607785E-6	-60.341213861393720E-6	10.060038599451389E-6	3.127456193581498E-6	8.923990096520753E-6
1.023000000000000E+3	27.501484297097854E-6	8.069463006683059E-6	-65.749748714581622E-6	10.642028218185054E-6	2.926516885477384E-6	9.585140851713214E-6
1.024000000000000E+3	30.345354995006415E-6	9.056496780636895E-6	-73.998515324875158E-6	11.548825475881533E-6	2.697454765706269E-6	10.576374853207768E-6
1.025000000000000E+3	33.998959078276455E-6	10.355306847582040E-6	-84.726412823206597E-6	12.661111203768861E-6	2.370441260488360E-6	11.864758443494927E-6
1.026000000000000E+3	37.953401085753518E-6	11.737766900832995E-6	-96.834013039836722E-6	13.878340659957235E-6	1.872638968204790E-6	13.266486014740749E-6
1.027000000000000E+3	41.476312067696629E-6	12.940415114781699E-6	-108.446816188177300E-6	14.963123503961366E-6	1.204310959799429E-6	14.506764901933130E-6
1.028000000000000E+3	44.066558729924158E-6	13.815405587813825E-6	-117.897279988142560E-6	15.668723356454169E-6	353.045137201082440E-9	15.357279170054545E-6
1.029000000000000E+3	45.557046543133210E-6	14.417968613200994E-6	-124.568566632308110E-6	15.968043159798140E-6	-715.982145468201520E-9	15.786256714875250E-6
1.030000000000000E+3	46.252836800349449E-6	14.862865008190342E-6	-129.173953838268520E-6	15.952458873891595E-6	-1.939839683535818E-6	15.952491488126194E-6
1.031000000000000E+3	46.962690754354596E-6	15.220353074323654E-6	-134.103010192245400E-6	15.849863576365616E-6	-3.314157125163866E-6	16.136256018271446E-6
1.032000000000000E+3	48.747694273012872E-6	15.893153516532923E-6	-142.482418492062380E-6	16.030638911595045E-6	-4.937973222909758E-6	16.699510152575624E-6
1.033000000000000E+3	52.662596055181468E-6	17.243589825884763E-6	-157.268400400439760E-6	16.769680689570527E-6	-6.948498536000873E-6	17.966565428397483E-6
