Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
964.000000000000110E+0	583.669781398116980E-3	71.403625699853937E-3	302.757795790124520E-3	8.523482116437036E-3	644.234166813317800E-3	-39.869745214305669E-3
965.000000000000110E+0	583.808934756094190E-3	68.815547486496570E-3	302.661437863589790E-3	260.113771046143510E-6	641.961216434868140E-3	-45.496863963111402E-3
966.000000000000110E+0	582.884830668328410E-3	66.131031252479183E-3	301.889061668428380E-3	-7.871897718242921E-3	640.633056189701340E-3	-51.566429797567231E-3
967.000000000000110E+0	582.141297177422800E-3	63.862817806226810E-3	301.264275653258580E-3	-16.050328737396528E-3	639.311984419755450E-3	-58.994743243226060E-3
968.000000000000110E+0	582.280311326451080E-3	61.077591440089708E-3	302.119171899194020E-3	-25.241816770702172E-3	637.511311820523010E-3	-67.535304883178174E-3
969.000000000000110E+0	582.455531958550710E-3	57.192461229238115E-3	304.026247780490590E-3	-36.105964178890115E-3	635.873642392109970E-3	-76.823218141831684E-3
970.000000000000110E+0	582.609256569446950E-3	52.265966322147250E-3	305.930281270518800E-3	-49.432819166270681E-3	634.674744625427720E-3	-86.837944699379013E-3
971.000000000000110E+0	583.148014772304490E-3	46.767770365829367E-3	307.488317773144170E-3	-65.100360923165831E-3	633.647841702737470E-3	-98.056368013918455E-3
972.000000000000110E+0	583.513876404258890E-3	40.140477395734175E-3	308.828463580898660E-3	-82.453201182280431E-3	631.879479033477520E-3	-111.540306289316650E-3
973.000000000000110E+0	582.481275639096130E-3	32.245864729076638E-3	309.863307600570130E-3	-101.577519245795420E-3	629.464052377270100E-3	-126.448524789159220E-3
974.000000000000110E+0	580.708863012306290E-3	24.194800219868858E-3	310.297319867673730E-3	-122.540442137535230E-3	627.201118637702450E-3	-142.995616180793180E-3
975.000000000000110E+0	579.571951790880390E-3	15.780354299128708E-3	310.607013168056500E-3	-146.135781630904740E-3	623.525778300439980E-3	-162.126932800981780E-3
976.000000000000110E+0	578.663630704584820E-3	6.025563279381083E-3	310.381513752660430E-3	-174.152001875792910E-3	618.332471462560650E-3	-182.985176358923200E-3
977.000000000000110E+0	576.874139193099380E-3	-5.954768194412438E-3	307.412903486384110E-3	-206.862764953843180E-3	611.348979372226100E-3	-205.905844413642760E-3
978.000000000000110E+0	573.347427604711130E-3	-19.793619313692164E-3	300.615756804611780E-3	-243.458167616303710E-3	601.164713842955890E-3	-231.252254709939460E-3
979.000000000000110E+0	568.723721692326880E-3	-34.735893465401305E-3	289.738434070425600E-3	-284.255708331355880E-3	587.823917664217380E-3	-258.931351901656840E-3
980.000000000000110E+0	562.038035620384570E-3	-51.711815516418867E-3	273.084736166972650E-3	-329.542195691508170E-3	570.738459622401990E-3	-289.046403485376020E-3
981.000000000000110E+0	551.175445512661730E-3	-70.706223142895042E-3	248.578098466182060E-3	-379.137333393498810E-3	547.925981357187730E-3	-321.617906163921880E-3
982.000000000000110E+0	535.871360093275290E-3	-90.388778824722210E-3	213.364074857928270E-3	-432.207675542041700E-3	517.945191238031950E-3	-356.423114935913780E-3
983.000000000000110E+0	516.808743565448370E-3	-108.752865461929050E-3	164.981600241884440E-3	-486.250016289432040E-3	478.978300559182390E-3	-391.939011227601770E-3
984.000000000000110E+0	493.991803914146770E-3	-124.841909630349230E-3	100.912300952661600E-3	-537.853264448553640E-3	428.784663093062180E-3	-423.852172280987320E-3
985.000000000000110E+0	465.862136721895690E-3	-138.461058125853770E-3	19.002649652642072E-3	-580.212910773821200E-3	367.183634086247100E-3	-448.218016752587100E-3
986.000000000000110E+0	432.706283805425310E-3	-147.361092606386970E-3	-76.543409581870087E-3	-605.460342766620640E-3	295.270041552275990E-3	-460.079148001659280E-3
987.000000000000110E+0	397.755994264248510E-3	-149.720104002356800E-3	-178.592517263904740E-3	-609.004479566943590E-3	218.887191885738850E-3	-454.297836209767440E-3
988.000000000000110E+0	363.461588703225370E-3	-144.724379256282090E-3	-280.332684639530370E-3	-588.369694869996570E-3	145.506549531141670E-3	-431.943767327108040E-3
989.000000000000110E+0	332.091969970343070E-3	-130.862220894140760E-3	-372.443398845806070E-3	-544.885699276375200E-3	80.762287175760977E-3	-393.978650883405720E-3
990.000000000000110E+0	307.003125388666360E-3	-110.796815296010830E-3	-447.497279771894410E-3	-484.945429751995950E-3	30.142222348723543E-3	-344.185173714689490E-3
991.000000000000110E+0	288.122261873837770E-3	-91.481288970994640E-3	-504.456876635395400E-3	-415.349766300050220E-3	-6.197257817965412E-3	-290.158144902848300E-3
992.000000000000110E+0	273.137837942305560E-3	-73.167982655118008E-3	-541.785424595929820E-3	-341.931432054077060E-3	-28.382267111076775E-3	-236.048182966021200E-3
993.000000000000110E+0	263.280109626345680E-3	-54.007137203259448E-3	-560.891277163777400E-3	-272.838303807955870E-3	-37.834895438560279E-3	-184.932384290696310E-3
994.000000000000110E+0	257.171072297065370E-3	-36.427778150261832E-3	-567.936013672108440E-3	-211.072081287420890E-3	-39.265861938718984E-3	-139.548122681648760E-3
995.000000000000110E+0	252.476915700277080E-3	-20.248086342307719E-3	-565.890252442248550E-3	-157.377794196913140E-3	-35.859680009507795E-3	-100.722115015631400E-3
996.000000000000110E+0	250.040717877788860E-3	-5.511645431058775E-3	-558.275645893848590E-3	-113.161285802563610E-3	-28.146745143593919E-3	-68.206322713579057E-3
997.000000000000110E+0	249.367644283367130E-3	6.824874978514524E-3	-548.880731692221730E-3	-76.070610357127297E-3	-19.087644629356249E-3	-42.252958706781758E-3
998.000000000000110E+0	249.377615677415730E-3	17.474079776441123E-3	-538.098664668073540E-3	-44.393539600261302E-3	-9.948330491036763E-3	-20.902805337016158E-3
999.000000000000110E+0	249.723851443893000E-3	26.172347386812650E-3	-526.484158442693030E-3	-17.248078430900694E-3	-1.006564792236828E-3	-3.983719587251810E-3
1.000000000000000E+3	250.824053004064740E-3	33.307996406173435E-3	-514.538094443531600E-3	4.967458218123843E-3	7.202168783208055E-3	11.836708593691164E-3
1.001000000000000E+3	252.224403954941110E-3	38.857595459585580E-3	-503.332488662378670E-3	21.272385851362135E-3	15.139105150362417E-3	24.894161282733498E-3
1.002000000000000E+3	251.996454977718280E-3	41.740516883815679E-3	-493.818046514473810E-3	33.328877907861626E-3	23.402980389150889E-3	35.217679384322145E-3
1.003000000000000E+3	250.636343506425880E-3	43.297062716109516E-3	-486.095917204199980E-3	42.691976690287632E-3	30.269278339655835E-3	42.274075623944161E-3
1.004000000000000E+3	249.722659113411320E-3	45.299583351156705E-3	-479.652723957062320E-3	51.090555742721776E-3	35.343735685975389E-3	47.155255930606675E-3
1.005000000000000E+3	249.104731978423480E-3	47.633437956566917E-3	-474.436882975314560E-3	59.157999567915058E-3	39.005087526352164E-3	50.780021715413841E-3
1.006000000000000E+3	247.887648649022990E-3	49.203456614470314E-3	-469.944069740733830E-3	66.217704213086634E-3	41.540061849215174E-3	54.588382487729278E-3
1.007000000000000E+3	246.090997216466990E-3	50.279911999030820E-3	-465.002465576104470E-3	71.490217420777921E-3	44.063835423540969E-3	58.579762372505714E-3
1.008000000000000E+3	244.284476981056260E-3	50.977486879183881E-3	-460.371570782345750E-3	74.783674289625610E-3	46.089509523547172E-3	61.445911293284840E-3
1.009000000000000E+3	241.410139989237490E-3	51.626602812893753E-3	-457.380697858413400E-3	76.853566918953828E-3	46.738938233127691E-3	63.365995024083396E-3
1.010000000000000E+3	238.135875995654420E-3	53.029076810525579E-3	-455.658276291894700E-3	78.518572786938592E-3	46.909487437104720E-3	64.849101676101153E-3
1.011000000000000E+3	235.306826327280810E-3	53.750312605983494E-3	-454.907542185020270E-3	80.564640180098318E-3	46.844909918415910E-3	65.853806067592432E-3
