Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
578.000000000000110E+0	981.952163403187360E-3	204.599774822254750E-3	831.279773183025480E-3	4.725517493242175E-3	1.025065308325575E+0	146.353262371541700E-3
579.000000000000110E+0	912.196549293297410E-3	151.108010286514410E-3	657.360752063188780E-3	101.546281034407780E-3	998.333791123279020E-3	88.691405010560845E-3
580.000000000000110E+0	833.248987266717700E-3	65.214938956941748E-3	694.643893264616730E-3	-5.418732933835296E-3	978.024730342738850E-3	2.948351954701806E-3
581.000000000000110E+0	1.040746273945682E+0	104.627083127387490E-3	810.708053420598370E-3	103.353875792049970E-3	975.177716062485040E-3	41.780407798275535E-3
582.000000000000110E+0	947.096304028850810E-3	-31.030697314906316E-3	694.118161480709370E-3	76.526630309490209E-3	903.919393560387860E-3	24.327918543086746E-3
583.000000000000110E+0	939.594660773517500E-3	12.640548255649496E-3	800.478174157037700E-3	-43.361765612798392E-3	1.070978022697900E+0	1.100179021261028E-3
584.000000000000110E+0	969.720097885536040E-3	-8.956549350851526E-3	749.009020967772330E-3	71.722939668015115E-3	913.374572331088980E-3	34.116189722816229E-3
585.000000000000110E+0	971.180111698591310E-3	24.824218032102670E-3	702.313946389809480E-3	25.135666309797279E-3	1.068624302322368E+0	-47.560585092485792E-3
586.000000000000110E+0	966.927873614325530E-3	72.942133048824950E-3	835.164830166858380E-3	68.976428045321891E-3	974.756541519915310E-3	71.125634366694834E-3
587.000000000000110E+0	980.408292795450610E-3	94.092310538847965E-3	717.147248092928510E-3	85.544234602607974E-3	1.022090234403442E+0	25.794686474197390E-3
588.000000000000110E+0	891.860325382344830E-3	-61.929336691034648E-3	701.940333070179220E-3	-28.775469610624649E-3	938.444306430306960E-3	-6.851610846357692E-3
589.000000000000110E+0	968.039387591328680E-3	5.424073958654268E-3	801.166565578113720E-3	-253.889218405966900E-6	1.058585292632999E+0	19.645379693021082E-3
590.000000000000110E+0	989.946842160079220E-3	19.008506873972580E-3	747.643934426770130E-3	53.018204400423673E-3	945.995454613684170E-3	27.484920047473774E-3
591.000000000000110E+0	911.786552701512540E-3	77.122336414557471E-3	777.842036315918860E-3	19.139593121399616E-3	1.011999858247893E+0	5.257343686826838E-3
592.000000000000110E+0	951.541426974192970E-3	33.684952843386150E-3	766.133472932180810E-3	60.635732663771501E-3	935.855668873761930E-3	44.205896848569425E-3
593.000000000000110E+0	935.796838875893270E-3	24.658045908343779E-3	711.148383943405630E-3	26.037158726234359E-3	966.092049178102430E-3	3.841187880122807E-3
