Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
563.000000000000110E+0	52.256772778552004E-9	47.044616362685067E-9	28.320797571497329E-9	51.092916912316939E-9
564.000000000000110E+0	39.199902023460512E-9	36.777737413710743E-9	24.791647957893679E-9	40.078559300182560E-9
565.000000000000110E+0	42.780910824772731E-9	38.346199598103396E-9	22.074641012178751E-9	41.012643266488708E-9
566.000000000000110E+0	54.188375897221693E-9	51.382546696104817E-9	32.889610266047570E-9	56.901004082322757E-9
567.000000000000110E+0	35.165891694644838E-9	28.766402973409088E-9	19.758004152578383E-9	33.252462892638260E-9
568.000000000000110E+0	44.668308429687511E-9	42.875198997818327E-9	26.096705580549666E-9	44.429124316945356E-9
569.000000000000110E+0	46.594352785339587E-9	41.971606457262571E-9	24.775500123459399E-9	44.296392910161367E-9
570.000000000000110E+0	32.610367473476561E-9	28.537746814224660E-9	20.056452906879444E-9	32.552634749692096E-9
571.000000000000110E+0	27.196305348989395E-9	26.256367151632213E-9	16.058852902453424E-9	27.752490862972962E-9
572.000000000000110E+0	27.551788160031165E-9	25.307919235335427E-9	14.876080112887788E-9	24.540011791984667E-9
573.000000000000110E+0	17.239742950651922E-9	12.947024540150499E-9	10.111926902958606E-9	17.548183885989748E-9
574.000000000000110E+0	19.917015314094263E-9	19.124514206370434E-9	10.762001564136366E-9	17.938771854555340E-9
575.000000000000110E+0	9.268214376031119E-9	8.336347336171975E-9	4.821941432155245E-9	10.053817930948486E-9
576.000000000000110E+0	9.051338281115271E-9	7.266222145199912E-9	4.965625945814381E-9	9.844300991906000E-9
577.000000000000110E+0	10.791930697803249E-9	8.469007873206027E-9	5.560471061602143E-9	10.085292347393079E-9
578.000000000000110E+0	2.616562560917408E-9	2.484842148421867E-9	1.777141375837968E-9	2.727941876853103E-9
579.000000000000110E+0	8.977651884671423E-9	7.464899229064086E-9	3.876111911596917E-9	8.943614579272098E-9
580.000000000000110E+0	6.572383754263330E-9	4.551121816875179E-9	3.169149022642463E-9	6.275988087822990E-9
581.000000000000110E+0	5.162585094209243E-9	5.552139672969857E-9	3.385261858312104E-9	4.902458975500069E-9
582.000000000000110E+0	11.106168745736076E-9	9.932790079529289E-9	5.349398386587898E-9	9.071099459751009E-9
583.000000000000110E+0	6.794165081236122E-9	5.952976111148369E-9	4.349496280256091E-9	7.785813491057588E-9
584.000000000000110E+0	15.805961095721212E-9	14.860024257022708E-9	8.866432891944193E-9	13.185141924344609E-9
585.000000000000110E+0	15.005232168493235E-9	14.148070319285863E-9	7.398240585646641E-9	17.131530213010687E-9
586.000000000000110E+0	14.677249591494348E-9	13.714760454698359E-9	10.231983630919687E-9	13.942401700128143E-9
587.000000000000110E+0	24.313935777954735E-9	23.368850892162873E-9	12.504222304384471E-9	25.398955012791581E-9
588.000000000000110E+0	17.091710610952846E-9	13.593659411128042E-9	8.418235611509272E-9	15.050883332067772E-9
589.000000000000110E+0	11.851528666626213E-9	11.102335225123712E-9	7.603995556824684E-9	13.278204164768107E-9
590.000000000000110E+0	21.262544381672874E-9	20.836590848552215E-9	11.884515765955831E-9	19.022968533023488E-9
591.000000000000110E+0	12.106618930152255E-9	10.060669141552877E-9	7.322078806995498E-9	12.396166507112958E-9
592.000000000000110E+0	10.564581564819259E-9	9.552912818500455E-9	6.197946140991174E-9	9.251391988947259E-9
593.000000000000110E+0	18.655114681486473E-9	16.327615058987333E-9	9.433629246762121E-9	17.409398092303756E-9
594.000000000000110E+0	9.605058515524006E-9	6.599867321146396E-9	4.835366913157522E-9	7.775357042644737E-9
595.000000000000110E+0	7.226657442353679E-9	7.090286940504108E-9	3.898333323301382E-9	7.435739501005936E-9
596.000000000000110E+0	13.082134434254996E-9	10.661580202370632E-9	7.041490318849367E-9	13.352629530720287E-9
597.000000000000110E+0	6.980465271203444E-9	6.821458330024311E-9	4.059637470864886E-9	7.201585513028883E-9
598.000000000000110E+0	9.564137342673314E-9	9.029894339805177E-9	5.832087265647849E-9	11.218659985763431E-9
599.000000000000110E+0	73.081687164355528E-9	65.367114899221184E-9	42.019134725472050E-9	70.565159980778858E-9
600.000000000000110E+0	128.399438107462310E-9	114.544919980013900E-9	71.384720295875031E-9	122.205751118123960E-9
601.000000000000110E+0	25.468614365315775E-9	22.663783146783078E-9	13.187349521447327E-9	22.977389424141577E-9
602.000000000000110E+0	6.742647917195079E-9	5.747568245365564E-9	4.092873811426333E-9	9.048377397153738E-9
603.000000000000110E+0	20.482680283648791E-9	19.532425708659741E-9	11.258271801006415E-9	19.277346774278669E-9
604.000000000000110E+0	25.791972142535529E-9	23.171033931205106E-9	14.274221021482025E-9	23.529243748893698E-9
605.000000000000110E+0	9.951938272672570E-9	9.914816949723063E-9	5.810103896976930E-9	9.283517422859322E-9
606.000000000000110E+0	20.288552587393811E-9	20.069774151509052E-9	11.363901776586180E-9	19.808765287734535E-9
607.000000000000110E+0	22.980560822548783E-9	21.790196018042915E-9	14.328092698096685E-9	22.546070177555842E-9
608.000000000000110E+0	11.499292254694165E-9	11.129146729827574E-9	7.570457687685525E-9	11.710946021882943E-9
609.000000000000110E+0	21.023478889733068E-9	17.701370295132159E-9	12.153484738157642E-9	19.955713026990104E-9
610.000000000000110E+0	28.978049666762130E-9	23.971092911220554E-9	16.577347129623465E-9	27.587034688396453E-9
611.000000000000110E+0	15.268330595518158E-9	12.064362673503859E-9	7.498021895531298E-9	14.747366731047714E-9
612.000000000000110E+0	19.126057552158091E-9	16.060761983005003E-9	11.144488402876857E-9	19.138373675468269E-9
613.000000000000110E+0	21.488709593102857E-9	16.190316996650299E-9	11.549589323281267E-9	22.174273784620726E-9
614.000000000000110E+0	17.513431301653669E-9	15.600414418464525E-9	10.019259936384132E-9	16.977210040984584E-9
615.000000000000110E+0	24.040594498960983E-9	18.207957483939122E-9	13.240380429266722E-9	26.445293904898744E-9
616.000000000000110E+0	16.990210972745566E-9	13.352394254123815E-9	10.252121694280457E-9	19.315141545255688E-9
617.000000000000110E+0	25.114758397418200E-9	21.737880034878713E-9	14.190481847132291E-9	24.744058644090108E-9
618.000000000000110E+0	14.027748201057703E-9	11.094774053430215E-9	7.123286087057372E-9	12.020291822746464E-9
619.000000000000110E+0	19.664421670955492E-9	17.928355263962959E-9	11.909955899094928E-9	20.217441083605308E-9
620.000000000000110E+0	26.299415222888547E-9	26.290854911132579E-9	16.246880206221687E-9	26.397353863621503E-9
621.000000000000110E+0	30.342813526403890E-9	28.638158139698545E-9	16.238043039792595E-9	31.877514204114869E-9
622.000000000000110E+0	28.739317714790757E-9	24.220315181460886E-9	16.480614603671471E-9	28.940317444243169E-9
623.000000000000110E+0	27.164809972966442E-9	25.126278890666995E-9	14.477550221697812E-9	25.533403915512782E-9
624.000000000000110E+0	61.198972387362509E-9	54.811726041340025E-9	36.021195060534170E-9	61.530595776761807E-9
625.000000000000110E+0	35.009484767459007E-9	27.676488855611636E-9	17.072557063196557E-9	30.869759754865423E-9
626.000000000000110E+0	83.736296063793430E-9	79.132821690578534E-9	51.033973661921692E-9	83.075643196937937E-9
627.000000000000110E+0	44.394362885973986E-9	39.269374789758061E-9	25.229988783663072E-9	42.651092975964920E-9
628.000000000000110E+0	59.745073490890569E-9	49.492727165087457E-9	31.720796884892446E-9	56.223948423028832E-9
629.000000000000110E+0	79.381678796747525E-9	69.195163843789725E-9	47.628384294060681E-9	80.874365427016083E-9
