Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
705.000000000000110E+0	995.078024860008290E-3	998.783404669294380E-3	997.024644521910420E-3
706.000000000000110E+0	995.022116022544640E-3	997.900335812587080E-3	996.790510358764650E-3
707.000000000000110E+0	994.401544395107080E-3	995.572886496775670E-3	995.155313972255980E-3
708.000000000000110E+0	992.151935129085950E-3	997.683435979988430E-3	994.498404812960480E-3
709.000000000000110E+0	994.131464321035160E-3	996.947524633064910E-3	994.184277793954240E-3
710.000000000000110E+0	993.141681785531530E-3	996.621651850912890E-3	994.169864252970380E-3
711.000000000000110E+0	995.541833805490990E-3	995.829842418103460E-3	996.696508618735600E-3
712.000000000000110E+0	995.722784450909670E-3	996.870294357011580E-3	997.487408476107840E-3
713.000000000000110E+0	996.324439971049910E-3	996.478099554411910E-3	998.457651444466190E-3
714.000000000000110E+0	995.634716720353310E-3	998.128532202770420E-3	997.154503183811270E-3
715.000000000000110E+0	993.365041380140480E-3	998.697224444697110E-3	997.029987170486080E-3
716.000000000000110E+0	989.431250186267870E-3	996.377586342794500E-3	994.222441965766810E-3
717.000000000000110E+0	995.317062995273450E-3	996.637091000880600E-3	996.125280599065130E-3
718.000000000000110E+0	997.121691295359320E-3	998.281584986126740E-3	997.272799489935410E-3
719.000000000000110E+0	995.402372045216090E-3	995.932985161579580E-3	998.115934380112810E-3
720.000000000000110E+0	995.786862848089370E-3	997.124926603511820E-3	998.209822421873390E-3
721.000000000000110E+0	996.194932384775630E-3	998.473807548703740E-3	997.582896208248690E-3
722.000000000000110E+0	997.503172695043960E-3	997.633466364556080E-3	997.537533691583040E-3
723.000000000000110E+0	996.523732611340530E-3	996.303767462078600E-3	997.869291702713770E-3
724.000000000000110E+0	994.578103241530510E-3	996.886416942177940E-3	995.796893245406210E-3
725.000000000000110E+0	996.669878960210310E-3	997.596066520277440E-3	995.165922050142430E-3
726.000000000000110E+0	995.161212787224250E-3	998.076709388641460E-3	997.417130999465380E-3
727.000000000000110E+0	996.220856084921830E-3	997.789976091124410E-3	994.850305448515050E-3
728.000000000000110E+0	996.795597917365490E-3	997.599200981009630E-3	995.015410319608490E-3
729.000000000000110E+0	995.157241691908560E-3	997.457851928451160E-3	997.492241105324640E-3
730.000000000000110E+0	995.748672803861700E-3	997.559174642436600E-3	997.997728261071030E-3
731.000000000000110E+0	995.678651745104610E-3	996.632854756312800E-3	998.041414231867100E-3
732.000000000000110E+0	993.318952357386320E-3	997.810833429857440E-3	997.230044087474840E-3
733.000000000000110E+0	996.978748502069360E-3	997.932428591579600E-3	998.490460113644510E-3
734.000000000000110E+0	997.591719260626170E-3	998.128336334068280E-3	997.812083699063160E-3
735.000000000000110E+0	997.728012514510710E-3	998.490392310481420E-3	997.150155668574460E-3
736.000000000000110E+0	997.904001720435470E-3	998.499627710483510E-3	997.609054889924130E-3
737.000000000000110E+0	997.302168116751540E-3	998.026392617681450E-3	998.102850321708200E-3
738.000000000000110E+0	996.211677076449860E-3	997.592102042475950E-3	998.261139179224320E-3
739.000000000000110E+0	994.589416839239510E-3	996.014169076970820E-3	997.320076303881200E-3
740.000000000000110E+0	995.702277717477990E-3	994.950324872278750E-3	997.102522752735920E-3
741.000000000000110E+0	996.240193305170220E-3	996.714453478940940E-3	997.380439374724980E-3
742.000000000000110E+0	995.721767568756190E-3	996.576413451207950E-3	995.763416587416410E-3
743.000000000000110E+0	997.889254646407650E-3	995.878393799825340E-3	997.013151706816480E-3
744.000000000000110E+0	998.970721057553690E-3	995.611044346635170E-3	996.659745250665030E-3
745.000000000000110E+0	997.927508384576220E-3	998.374033692349120E-3	996.564324385999070E-3
746.000000000000110E+0	997.674465226653040E-3	998.870925674800740E-3	997.903704775258800E-3
747.000000000000110E+0	996.741396613869070E-3	998.206062664830470E-3	998.683707147430710E-3
748.000000000000110E+0	996.999984113638440E-3	997.847473086975740E-3	997.695618372506200E-3
749.000000000000110E+0	997.128659449715400E-3	997.087335339622790E-3	998.830329906069120E-3
750.000000000000110E+0	996.341403275193600E-3	996.092981591931710E-3	998.478270675407290E-3
751.000000000000110E+0	997.204001158016330E-3	995.261748147232890E-3	998.099050331774260E-3
752.000000000000110E+0	998.146002471259620E-3	995.342242104658710E-3	998.448980031236500E-3
753.000000000000110E+0	996.171977183776150E-3	997.159563803471040E-3	997.874654301056820E-3
754.000000000000110E+0	995.248711015627510E-3	997.518348704462320E-3	998.259408114424370E-3
755.000000000000110E+0	995.604318953074110E-3	996.182687481028010E-3	997.961490648073600E-3
