Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
1.069000000000000E+3	3.859767120465789E-6	249.413321798185340E-9	1.645255757727328E-6	434.490866547837290E-9
1.070000000000000E+3	8.799922999314074E-6	687.019287437427220E-9	3.784200789414943E-6	1.187840356485633E-6
1.071000000000000E+3	10.049132392006312E-6	902.208895771378710E-9	4.352655301854101E-6	1.554335260846035E-6
1.072000000000000E+3	6.437309921730976E-6	701.167193249027220E-9	2.797193258878122E-6	1.195480174979545E-6
1.073000000000000E+3	3.083739415949046E-6	481.048262233653910E-9	1.349494270204590E-6	796.926874582478960E-9
1.074000000000000E+3	4.411686153351273E-6	934.724247905330090E-9	1.948837585878736E-6	1.534123287076386E-6
1.075000000000000E+3	2.256871069718003E-6	696.374049141606870E-9	1.007036782773827E-6	1.113635253890442E-6
1.076000000000000E+3	3.053502064641883E-6	1.467323061073969E-6	1.374898280755459E-6	2.240159838917124E-6
1.077000000000000E+3	3.736427697689533E-6	2.341305834311758E-6	1.689880611376572E-6	3.481327374542135E-6
1.078000000000000E+3	3.728805643880747E-6	2.447237599401286E-6	1.668422874816043E-6	3.484949373904991E-6
1.079000000000000E+3	3.809558257462097E-6	2.395820406120033E-6	1.683381437564739E-6	3.261134647310464E-6
1.080000000000000E+3	2.093337696119490E-6	1.073089654085019E-6	912.613952843491140E-9	1.382342248397338E-6
1.081000000000000E+3	1.002189896672343E-6	322.076621412016690E-9	434.208207762869350E-9	386.115771452247650E-9
1.082000000000000E+3	704.711656091108600E-9	145.968218916002970E-9	309.033397931224900E-9	158.090530473647930E-9
1.083000000000000E+3	1.092443716078462E-6	151.249051455439800E-9	481.200866302459170E-9	152.957875103813080E-9
1.084000000000000E+3	1.428434517141692E-6	135.863759226454180E-9	627.253866621728380E-9	126.078190724399890E-9
1.085000000000000E+3	2.504089193099151E-6	173.774986226872940E-9	1.096339130126918E-6	145.411944144118570E-9
1.086000000000000E+3	1.422681885585385E-6	83.564745580750176E-9	622.983910225276970E-9	62.603015535909007E-9
1.087000000000000E+3	2.198673053223058E-6	84.355255978941218E-9	975.265995529864000E-9	55.758165074467317E-9
1.088000000000000E+3	2.159991539415893E-6	73.429806874368329E-9	961.499126960758590E-9	45.310320286190260E-9
1.089000000000000E+3	624.587729514306310E-9	18.152646471788600E-9	278.878605657560450E-9	9.616273622105726E-9
1.090000000000000E+3	876.407472598381970E-9	19.206719411768842E-9	390.169302918434880E-9	8.685756195320142E-9
1.091000000000000E+3	717.460123098243210E-9	14.912807009886794E-9	311.783038601183610E-9	6.386473720227491E-9
1.092000000000000E+3	323.696616425512320E-9	4.912046614466544E-9	141.603565973553900E-9	2.026626100437010E-9
1.093000000000000E+3	508.635188496915630E-9	6.986285625188755E-9	224.882885095862340E-9	1.971199372710330E-9
1.094000000000000E+3	1.444948804823163E-6	17.496461040293451E-9	640.726762164660820E-9	3.360002912322949E-9
1.095000000000000E+3	3.113200497742303E-6	30.483706097500509E-9	1.374529641728067E-6	4.574694849881276E-9
