Freq (Hz)	Coh_mic1/mic2	Coh_mic3/mic2	Coh_mic4/mic2
1.205000000000000E+3	955.251933518876940E-3	955.947123636131550E-3	711.356434182459640E-3
1.206000000000000E+3	983.627811620643720E-3	983.609012973857500E-3	878.125076431135580E-3
1.207000000000000E+3	988.375567022831580E-3	988.102708717325750E-3	927.730689612934480E-3
1.208000000000000E+3	986.730410665436430E-3	986.074179309064270E-3	917.231594085008210E-3
1.209000000000000E+3	986.465588897995180E-3	987.796162023471420E-3	913.163141615698450E-3
1.210000000000000E+3	983.526929213933590E-3	983.726242458623610E-3	887.538581922627910E-3
1.211000000000000E+3	972.088643314240940E-3	973.338464359936430E-3	758.749199221262600E-3
1.212000000000000E+3	977.972271056088640E-3	979.322008311716120E-3	787.421013986425060E-3
1.213000000000000E+3	956.638584876786210E-3	957.396480153191010E-3	667.558152093331140E-3
1.214000000000000E+3	977.471706714752590E-3	977.274050274594570E-3	919.974965652521900E-3
1.215000000000000E+3	988.231570117955590E-3	988.093963414367390E-3	927.364910823243460E-3
1.216000000000000E+3	995.538214821594660E-3	995.253928085565680E-3	976.278916072503390E-3
1.217000000000000E+3	994.588883195772880E-3	994.206316373865580E-3	967.081473794715760E-3
1.218000000000000E+3	994.066043538676340E-3	994.179027966260450E-3	939.073408451029490E-3
1.219000000000000E+3	991.144479306900640E-3	991.144253863651240E-3	918.707289833171740E-3
1.220000000000000E+3	994.540173287008720E-3	994.646319221082380E-3	952.304133236167470E-3
1.221000000000000E+3	992.997098405764220E-3	992.606457992640690E-3	960.699671828527890E-3
1.222000000000000E+3	987.590494279909640E-3	986.543610482876860E-3	939.448838950643680E-3
1.223000000000000E+3	987.795162424585870E-3	986.957017309520900E-3	954.478009940099680E-3
1.224000000000000E+3	987.271295491145780E-3	987.074203662102410E-3	914.668204052166420E-3
1.225000000000000E+3	989.836701236452070E-3	989.561649141320610E-3	945.759530055116150E-3
1.226000000000000E+3	995.546180681791130E-3	995.542450463896560E-3	973.667774474514470E-3
1.227000000000000E+3	994.814101748461410E-3	995.017913277272070E-3	973.033519997246080E-3
1.228000000000000E+3	990.316924948167140E-3	990.285165514771640E-3	948.974043658155520E-3
1.229000000000000E+3	976.402267198087090E-3	976.277090517029820E-3	903.857115681980790E-3
1.230000000000000E+3	987.588037847625940E-3	987.845479124953020E-3	964.173699194061480E-3
1.231000000000000E+3	997.562524900586390E-3	997.659617009166280E-3	995.020339926380060E-3
1.232000000000000E+3	996.486361736053210E-3	996.484749760854880E-3	986.544719984994930E-3
1.233000000000000E+3	993.717450283220560E-3	993.305474122045390E-3	972.987634647149100E-3
1.234000000000000E+3	991.544144715172600E-3	991.554856703684710E-3	980.912786218539500E-3
1.235000000000000E+3	995.996848862398590E-3	995.990799799952750E-3	987.913452683892520E-3
1.236000000000000E+3	997.663515927152520E-3	997.490346656408340E-3	994.935801634602490E-3
1.237000000000000E+3	996.712056621857020E-3	996.335467201636680E-3	995.297695471014880E-3
1.238000000000000E+3	995.689451972595060E-3	995.498144408965560E-3	983.420446244311130E-3
1.239000000000000E+3	994.333348200903580E-3	994.720571917997680E-3	988.406384833491300E-3
1.240000000000000E+3	996.629730248875910E-3	996.453338971023060E-3	992.958773349402750E-3
1.241000000000000E+3	998.668067817322090E-3	998.674817752266630E-3	994.545968320273090E-3
1.242000000000000E+3	999.526465478287270E-3	999.538517954953960E-3	998.408366476634560E-3
1.243000000000000E+3	997.065719670246930E-3	997.593656327803500E-3	991.403636452288460E-3
1.244000000000000E+3	989.049995466195320E-3	989.196178470360010E-3	979.312154813186790E-3
1.245000000000000E+3	995.020440843267680E-3	995.263814917085150E-3	988.255904252215990E-3
1.246000000000000E+3	998.681434251928010E-3	998.694272503571010E-3	997.761669530994540E-3
1.247000000000000E+3	998.801957380179410E-3	998.620037894612730E-3	998.064334604095270E-3
1.248000000000000E+3	997.954875716068450E-3	997.506419568503170E-3	995.957124043336920E-3
1.249000000000000E+3	991.614445882983200E-3	990.330166633263340E-3	986.166778434661270E-3
1.250000000000000E+3	995.145559900065590E-3	995.012076792037400E-3	994.476188682964280E-3
1.251000000000000E+3	991.686477268538870E-3	991.883781255347930E-3	988.133821590835510E-3
1.252000000000000E+3	983.647464269571950E-3	984.770013365441680E-3	974.803397088777060E-3
1.253000000000000E+3	982.490110254593100E-3	980.221020508800110E-3	966.430057210499130E-3
1.254000000000000E+3	988.123993235250800E-3	986.834373479488100E-3	983.536680381019600E-3
1.255000000000000E+3	985.117332619440790E-3	984.720524735014480E-3	979.226157096658720E-3
1.256000000000000E+3	983.809038981587890E-3	982.776787760341160E-3	960.582514216144270E-3
1.257000000000000E+3	992.538439997995740E-3	991.850048905662200E-3	992.776023498128990E-3
1.258000000000000E+3	996.193450391029240E-3	996.834656492829320E-3	996.342224820231820E-3
1.259000000000000E+3	983.427745979986060E-3	986.501099545436740E-3	977.580706077993300E-3
1.260000000000000E+3	974.732992394652610E-3	977.886638259727440E-3	975.227936212878730E-3
1.261000000000000E+3	974.552215920394870E-3	977.356573978773730E-3	975.796169125885510E-3
1.262000000000000E+3	971.947279004724770E-3	971.282556208982960E-3	968.557690258805230E-3
1.263000000000000E+3	919.483726199016530E-3	921.663775710399370E-3	942.060615531775450E-3
1.264000000000000E+3	964.322568583815380E-3	965.309384100490270E-3	967.929274334303310E-3
1.265000000000000E+3	973.661158671485620E-3	977.703907062784650E-3	985.204002799103030E-3
1.266000000000000E+3	971.963114804899830E-3	975.791288451602790E-3	978.769986742783810E-3
1.267000000000000E+3	944.859949072669240E-3	951.398367827017590E-3	959.339190472290770E-3
1.268000000000000E+3	912.846569515737950E-3	920.007268871228970E-3	944.168876101062590E-3
1.269000000000000E+3	964.110664362477720E-3	965.129244451237270E-3	973.445715970842400E-3
1.270000000000000E+3	811.657100408543890E-3	811.210203123786550E-3	893.146875830215010E-3
1.271000000000000E+3	942.340745713747150E-3	943.005307307299030E-3	975.786692879901380E-3
1.272000000000000E+3	950.234529085796090E-3	954.231308239551490E-3	977.453678462053550E-3
1.273000000000000E+3	965.291550466737980E-3	968.285882154328650E-3	985.667631321829330E-3
1.274000000000000E+3	978.446214287215790E-3	981.129623310650680E-3	991.228741208970310E-3
1.275000000000000E+3	977.369861473673660E-3	978.770204828118610E-3	990.092839721330330E-3
1.276000000000000E+3	915.070229424033380E-3	920.412852555553830E-3	950.486819057550720E-3
1.277000000000000E+3	969.817182899431750E-3	974.596660498078250E-3	984.501613057626180E-3
