Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
917.000000000000110E+0	832.364132200619670E-3	63.883087351498016E-3	644.839828501079240E-3	46.037793474922005E-3	867.284101254933830E-3	-6.274876361196614E+0
918.000000000000110E+0	830.141518329648330E-3	62.941453340620040E-3	643.536903719591710E-3	46.083783654394431E-3	867.922108898994460E-3	-6.274327734637040E+0
919.000000000000110E+0	827.795091368204390E-3	63.127984230525458E-3	642.016303049050330E-3	45.721268827700549E-3	867.014829863305030E-3	-6.274462771835350E+0
920.000000000000110E+0	826.923134234473390E-3	63.503814730525271E-3	641.050207099440050E-3	46.591028872195794E-3	866.444481024080890E-3	-6.273050465367062E+0
921.000000000000110E+0	825.876143824128110E-3	63.085542280275325E-3	640.813965718459390E-3	45.741130220985776E-3	866.777975393492660E-3	-6.271828122075902E+0
922.000000000000110E+0	824.797887338420960E-3	62.403452455549180E-3	639.454305109354640E-3	44.397768837645499E-3	866.850877468291370E-3	-6.271433257219321E+0
923.000000000000110E+0	823.331498225753580E-3	62.095369961322831E-3	638.122387297183070E-3	43.883392215019884E-3	867.451847270397260E-3	-6.270259920025344E+0
924.000000000000110E+0	822.468722225840000E-3	62.455872108248656E-3	636.748984812630200E-3	44.643366043763510E-3	868.369071859621750E-3	-6.270764871567809E+0
925.000000000000110E+0	821.790511998364060E-3	62.756886993276764E-3	636.419125401981640E-3	45.613483199500648E-3	868.010999558450180E-3	-6.270880338502042E+0
926.000000000000110E+0	821.334413158433920E-3	62.375147742885502E-3	636.182471266298230E-3	45.416661489198963E-3	867.718693677361320E-3	-6.270766881053500E+0
927.000000000000110E+0	820.613295755565300E-3	61.695050240067495E-3	635.259404898827820E-3	44.536453740319358E-3	866.696493971385370E-3	-6.269911612169634E+0
928.000000000000110E+0	820.046176521548760E-3	59.616378177116083E-3	634.353856415912460E-3	43.692873528016138E-3	866.683488772483690E-3	-6.268939941356478E+0
929.000000000000110E+0	818.174307929228960E-3	57.607188626148387E-3	632.972525967735900E-3	42.462095993432793E-3	865.927026245676410E-3	-6.267840540893965E+0
930.000000000000110E+0	816.163517556482980E-3	55.987934604114040E-3	631.582360667852670E-3	41.274410996477807E-3	866.847142266121250E-3	-6.265647563056048E+0
931.000000000000110E+0	812.673721375868240E-3	55.255064389460290E-3	629.256206250074170E-3	40.742726049113540E-3	868.600546680833420E-3	-6.265519594994875E+0
932.000000000000110E+0	810.326833754738020E-3	57.112755174533111E-3	627.819591571359580E-3	41.799868478661621E-3	869.523750386154040E-3	-6.266265218403095E+0
933.000000000000110E+0	809.672464104148610E-3	57.052574527764223E-3	627.088878497184310E-3	41.392264496086927E-3	869.483659743080730E-3	-6.267207073227208E+0
934.000000000000110E+0	808.134877475399140E-3	56.349790884566181E-3	625.230981953273310E-3	40.092140304651552E-3	868.933271839857360E-3	-6.266763805643857E+0
935.000000000000110E+0	806.891797963949720E-3	55.183561305113406E-3	623.227025941675890E-3	40.753475996569886E-3	869.259990951839590E-3	-6.266218498931765E+0
