Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
976.000000000000110E+0	321.960985772015160E-6	182.356885626953390E-6	137.358324063359940E-6	258.424081661536360E-6
977.000000000000110E+0	322.059287568901070E-6	181.705608148490650E-6	139.213880022124110E-6	259.775155786725170E-6
978.000000000000110E+0	311.073439166008340E-6	174.154239920210640E-6	136.016646045314720E-6	252.180891432697580E-6
979.000000000000110E+0	288.992200173270060E-6	159.951108638996350E-6	127.454567714173190E-6	235.003532086442740E-6
980.000000000000110E+0	257.265357514485910E-6	140.303438921656710E-6	114.208480539494750E-6	209.166606701860700E-6
981.000000000000110E+0	219.734696495174980E-6	117.867026546053060E-6	97.858603576697381E-6	178.101015477854250E-6
982.000000000000110E+0	181.382318692375830E-6	95.293545096938423E-6	80.691784183463069E-6	146.385603803724050E-6
983.000000000000110E+0	146.357467453939500E-6	74.902855339750141E-6	64.710216858040160E-6	117.270374053260390E-6
984.000000000000110E+0	117.135717656414720E-6	58.114125868006901E-6	51.151409257890224E-6	92.897961787437590E-6
985.000000000000110E+0	94.142891790657373E-6	45.220319280064495E-6	40.315037665120754E-6	73.432383037627140E-6
986.000000000000110E+0	76.542525778325649E-6	35.664937000051526E-6	31.965878581169212E-6	58.310065934383010E-6
987.000000000000110E+0	63.152644707894256E-6	28.862307572175281E-6	25.656456812228526E-6	46.623415815015101E-6
988.000000000000110E+0	52.951093763969057E-6	23.688239050190766E-6	20.628515821905964E-6	37.341776210367771E-6
989.000000000000110E+0	44.892143949815368E-6	19.730215624050420E-6	16.428556574130739E-6	29.753446342497577E-6
990.000000000000110E+0	38.134083303540198E-6	16.641940539202194E-6	12.893505207575476E-6	23.238362269065606E-6
991.000000000000110E+0	32.511349568675873E-6	14.254681197823714E-6	9.869121118627958E-6	17.706443812507689E-6
992.000000000000110E+0	27.914625163171706E-6	12.383376994288883E-6	7.250038738782976E-6	13.057714990206095E-6
993.000000000000110E+0	24.168865903731906E-6	10.895534297678473E-6	5.095347640409745E-6	9.243992693788346E-6
994.000000000000110E+0	21.253395547682524E-6	9.770221434792609E-6	3.397352685425153E-6	6.287232751195112E-6
995.000000000000110E+0	19.281225318666927E-6	9.032088422727274E-6	2.130298808665845E-6	4.184527617327243E-6
996.000000000000110E+0	18.163442356423378E-6	8.695279736422374E-6	1.280155089646930E-6	2.856346328491908E-6
997.000000000000110E+0	17.733403282060840E-6	8.686372556945869E-6	788.511360791728550E-9	2.155547654341954E-6
998.000000000000110E+0	17.824935374100509E-6	8.910722059730344E-6	563.582295115973770E-9	1.906294404478846E-6
999.000000000000110E+0	18.345928587668294E-6	9.332564268164171E-6	525.153968302025650E-9	1.976015879668201E-6
1.000000000000000E+3	19.311209341303229E-6	10.006326753763411E-6	621.863280027012860E-9	2.242538566797488E-6
1.001000000000000E+3	20.736991320183384E-6	10.936025714740235E-6	828.456057602747100E-9	2.657615864580111E-6
1.002000000000000E+3	22.940076706962146E-6	12.299080451765401E-6	1.106132846136147E-6	3.276867602661497E-6
1.003000000000000E+3	25.821937170725940E-6	13.760830903712136E-6	1.431389689796883E-6	4.137124608562618E-6
1.004000000000000E+3	28.612315240344621E-6	14.884338063314825E-6	1.851691142786347E-6	5.046949748247195E-6
1.005000000000000E+3	30.905581437925370E-6	15.762877204739134E-6	2.350091196228919E-6	5.935851345678560E-6
1.006000000000000E+3	32.547150140934541E-6	16.393468620340978E-6	2.849687097794099E-6	6.720222731573298E-6
1.007000000000000E+3	33.422214115447031E-6	16.687256034028273E-6	3.290944982923509E-6	7.314163282109895E-6
1.008000000000000E+3	33.649496527881557E-6	16.719945666000782E-6	3.650847611285364E-6	7.814125604943528E-6
1.009000000000000E+3	33.778944589498648E-6	16.624899958681862E-6	3.970147288204363E-6	8.252415533407511E-6
1.010000000000000E+3	34.108832743616948E-6	16.638410691246397E-6	4.317049543068524E-6	8.776462278778839E-6
1.011000000000000E+3	34.739226615915466E-6	16.781483513489755E-6	4.677240298291110E-6	9.374061075710358E-6
1.012000000000000E+3	36.417032245417789E-6	17.415979409620369E-6	5.106971600216693E-6	10.159831460688960E-6
1.013000000000000E+3	39.431889377624006E-6	18.622728942099494E-6	5.681193191255798E-6	11.312485699757212E-6
1.014000000000000E+3	43.192979217402153E-6	20.056559321690409E-6	6.340828900200688E-6	12.718680241989089E-6
1.015000000000000E+3	46.861469523734905E-6	21.394565229802028E-6	7.017650242808341E-6	14.203479541597474E-6
1.016000000000000E+3	50.209065772363711E-6	22.396678226113797E-6	7.596901898446075E-6	15.629745687982078E-6
1.017000000000000E+3	52.871952556147562E-6	23.011011509500811E-6	8.000015231416654E-6	16.817057047476394E-6
1.018000000000000E+3	54.182019502461099E-6	23.116197881166108E-6	8.250100825136794E-6	17.622763611400862E-6
1.019000000000000E+3	54.386444026427935E-6	22.639392282459884E-6	8.317721075869630E-6	17.963684502070785E-6
1.020000000000000E+3	53.979761081197616E-6	22.036164478874026E-6	8.269472325166656E-6	18.021298416489879E-6
1.021000000000000E+3	53.942123258246931E-6	21.707408208171456E-6	8.212725695165036E-6	18.085362189194754E-6
1.022000000000000E+3	54.978158866066455E-6	21.792957479356703E-6	8.282715150024865E-6	18.346960669756232E-6
1.023000000000000E+3	57.480963023395307E-6	22.450909849384951E-6	8.490615849095749E-6	19.051528288056951E-6
1.024000000000000E+3	61.687738398998745E-6	23.709741535797728E-6	8.866225244722575E-6	20.186719674867896E-6
1.025000000000000E+3	66.987708404684713E-6	25.419682983349457E-6	9.353046031107621E-6	21.637600718938100E-6
1.026000000000000E+3	72.854526464817112E-6	27.142398908604583E-6	9.767080271774174E-6	23.251305983891031E-6
1.027000000000000E+3	78.135786888779027E-6	28.420903963362771E-6	10.006343346874073E-6	24.562529870191160E-6
1.028000000000000E+3	81.726848857784719E-6	29.247810702996223E-6	10.012775615523151E-6	25.195627866322798E-6
1.029000000000000E+3	83.542306466611319E-6	29.336022874872683E-6	9.798985209121082E-6	25.266486666766421E-6
1.030000000000000E+3	84.047328077550116E-6	28.923599752823899E-6	9.409708886113032E-6	24.841749787355072E-6
1.031000000000000E+3	84.600574791921236E-6	28.525103154426680E-6	9.017746867546665E-6	24.370908693331781E-6
1.032000000000000E+3	86.684511445548875E-6	28.581820846639015E-6	8.785106404191666E-6	24.275597102911979E-6
1.033000000000000E+3	91.302060031745946E-6	29.441155047854894E-6	8.823246142064281E-6	24.730918337787801E-6
1.034000000000000E+3	98.658540739382839E-6	31.062546762633048E-6	9.116199179043383E-6	25.834659358705581E-6
1.035000000000000E+3	107.804116624686050E-6	33.251081892923999E-6	9.566967208242350E-6	27.280948480766807E-6
1.036000000000000E+3	117.274546575826090E-6	35.449045031969065E-6	9.956721761699971E-6	28.645719551905999E-6
1.037000000000000E+3	125.264493446949380E-6	37.045012463088608E-6	10.184151524814249E-6	29.481554895672805E-6
1.038000000000000E+3	130.545992605174140E-6	37.750887288834077E-6	10.196814520266249E-6	29.517177575918426E-6
1.039000000000000E+3	133.162724530613550E-6	37.649120875011712E-6	10.024633340484921E-6	28.841694254602284E-6
1.040000000000000E+3	134.468735705086860E-6	37.154214739057100E-6	9.856952055801988E-6	27.845280528777222E-6
1.041000000000000E+3	136.628889007613120E-6	36.898940825738820E-6	9.854446844861417E-6	27.026845758520616E-6
1.042000000000000E+3	142.472082010943490E-6	37.527577075076488E-6	10.150782581344560E-6	26.853932591278269E-6
1.043000000000000E+3	153.496105409326970E-6	39.434011997850815E-6	10.860866043798779E-6	27.384355821602560E-6
1.044000000000000E+3	169.052674587667920E-6	42.121877814432070E-6	11.925815817691587E-6	28.487316514046093E-6
1.045000000000000E+3	186.841286509248550E-6	45.066396966134692E-6	13.287025368397058E-6	29.660784691866366E-6
1.046000000000000E+3	203.049569474432580E-6	47.490112034301759E-6	14.811356252946245E-6	30.287441736718259E-6
1.047000000000000E+3	214.719926416229530E-6	48.682031708614188E-6	16.238109401421674E-6	30.217082254589278E-6
1.048000000000000E+3	222.476496577582810E-6	48.733813441041057E-6	17.523223847854113E-6	29.500091276341959E-6
1.049000000000000E+3	229.165613921894800E-6	48.181842468571676E-6	19.023543507283549E-6	28.548249701610956E-6
1.050000000000000E+3	239.138814354551090E-6	48.158991383335887E-6	21.336630547595996E-6	27.963673915548735E-6
1.051000000000000E+3	256.838079418946310E-6	49.372051321786408E-6	25.048540796902846E-6	28.066816275702852E-6
1.052000000000000E+3	284.210615345325820E-6	52.229988946703524E-6	30.639891048715921E-6	28.984858712658488E-6
1.053000000000000E+3	318.903928231524790E-6	56.053791760966916E-6	38.205245982844043E-6	30.498160559965204E-6
1.054000000000000E+3	355.021897488664890E-6	59.640139171554094E-6	47.501944359814873E-6	32.072139414499904E-6
1.055000000000000E+3	385.114124611376920E-6	61.931506086714813E-6	57.983528477708904E-6	33.342709788255935E-6
1.056000000000000E+3	404.830516808307320E-6	62.294847972290459E-6	68.809967649462184E-6	34.129056573336942E-6
1.057000000000000E+3	415.337051841659540E-6	61.136574478256272E-6	79.737930974184949E-6	34.766240656979810E-6
1.058000000000000E+3	424.300594170426520E-6	59.665460783064765E-6	91.907578927513160E-6	35.938516018131525E-6
1.059000000000000E+3	440.111405159734300E-6	59.196193063852144E-6	107.745212651138760E-6	38.522256343103531E-6
1.060000000000000E+3	467.133622820209090E-6	60.093095805669640E-6	129.122609267342860E-6	43.371454972760044E-6
1.061000000000000E+3	501.117246613627670E-6	61.657684968878651E-6	156.247556113168650E-6	50.562915114677173E-6
1.062000000000000E+3	528.265892708340500E-6	62.576405025449491E-6	185.366142313168800E-6	59.165574406668206E-6
1.063000000000000E+3	536.388134607479620E-6	61.301029950336808E-6	211.114786751911330E-6	67.988957964656101E-6
1.064000000000000E+3	519.762757502848640E-6	57.273017761223291E-6	229.307570305070250E-6	76.017731426230524E-6
1.065000000000000E+3	483.391873003350720E-6	51.396692563843853E-6	239.311846458322700E-6	82.973709332879292E-6
1.066000000000000E+3	441.310933020287810E-6	45.485781655617906E-6	245.046048909790510E-6	89.881440154315748E-6
1.067000000000000E+3	407.081508919591750E-6	40.874224494891659E-6	252.702522984907760E-6	99.094829847287116E-6
1.068000000000000E+3	383.857741850735340E-6	37.609125076273122E-6	265.764713704983390E-6	112.633912133655390E-6
1.069000000000000E+3	364.513899753304910E-6	34.563438229839869E-6	281.248721732267760E-6	130.178157130692330E-6
1.070000000000000E+3	339.855369063119820E-6	30.940118217614427E-6	291.964214612500210E-6	149.125027531626720E-6
1.071000000000000E+3	306.023252997180380E-6	26.454871243249621E-6	291.945816828336030E-6	167.037441101951220E-6
1.072000000000000E+3	265.383118137037160E-6	21.227696069226277E-6	280.918295248197970E-6	183.799588309096970E-6
1.073000000000000E+3	224.827232227292440E-6	15.807585674416869E-6	264.243010549923180E-6	203.167416534366730E-6
1.074000000000000E+3	191.455153034312940E-6	10.953499002191115E-6	249.379601614830750E-6	232.211089677373940E-6
1.075000000000000E+3	168.098813269205060E-6	7.877225368406094E-6	241.233524511578770E-6	282.071463108004690E-6
1.076000000000000E+3	153.358004151209220E-6	9.651145060641865E-6	238.662058821730340E-6	362.755868617287230E-6
1.077000000000000E+3	146.878368434175580E-6	24.832131569387372E-6	237.069762407809540E-6	463.358699637560050E-6
1.078000000000000E+3	152.542716774703070E-6	64.003928544098873E-6	236.550806509024070E-6	521.274352224932660E-6
1.079000000000000E+3	166.604796204747630E-6	116.874196178913640E-6	241.319930471439740E-6	459.705947985479370E-6
1.080000000000000E+3	173.635687448465530E-6	150.206381952385880E-6	248.630715305469540E-6	310.236898560266750E-6
1.081000000000000E+3	167.854557230615760E-6	153.533758367108850E-6	253.381755641774420E-6	177.827765640114870E-6
1.082000000000000E+3	158.255746418768100E-6	144.617025886440110E-6	258.624983908384880E-6	102.793581602717810E-6
1.083000000000000E+3	151.676309951369860E-6	136.933148044432720E-6	268.572522218953210E-6	67.214687060088412E-6
1.084000000000000E+3	146.785903656121180E-6	131.561586418905390E-6	280.182605196873000E-6	50.695196827291927E-6
1.085000000000000E+3	140.257655213683760E-6	125.347762067939780E-6	286.427124519561880E-6	42.961701880849777E-6
1.086000000000000E+3	130.500423260303030E-6	116.784118155571570E-6	282.905926141070160E-6	39.101497353714010E-6
1.087000000000000E+3	119.097515887533580E-6	107.400765471716360E-6	272.501100931108820E-6	36.858354645022467E-6
1.088000000000000E+3	109.543316382331780E-6	99.923490394159293E-6	263.522651537567520E-6	35.872640409743232E-6
1.089000000000000E+3	104.275385863547330E-6	96.640327598233463E-6	262.768339794848750E-6	36.557370658304535E-6
1.090000000000000E+3	103.055455500230900E-6	97.411540925172879E-6	271.173660993994710E-6	38.779957814157661E-6
1.091000000000000E+3	103.632261129462700E-6	99.527547870391887E-6	283.066612348486320E-6	41.734519273156013E-6
1.092000000000000E+3	103.208196821658400E-6	99.947646255623313E-6	290.116219044762460E-6	44.112318423007234E-6
1.093000000000000E+3	100.607447953844400E-6	97.464306455318181E-6	288.293633035000570E-6	44.941409321903577E-6
1.094000000000000E+3	96.925151579559706E-6	93.392885047828824E-6	281.068746092787690E-6	44.635157076302962E-6
1.095000000000000E+3	94.558275686320559E-6	90.614140669156672E-6	277.080563121968730E-6	44.504831406026801E-6
1.096000000000000E+3	95.609044327293015E-6	91.162508290880677E-6	283.407160935017600E-6	45.793847034092484E-6
1.097000000000000E+3	99.750593223837903E-6	94.392720919203119E-6	299.351555574201930E-6	48.636907945514894E-6
1.098000000000000E+3	104.056062798720850E-6	97.722663619386220E-6	316.365940216277210E-6	51.650627222635553E-6
1.099000000000000E+3	105.473113484629990E-6	98.626067497583437E-6	324.630655472766840E-6	53.148539870451627E-6
1.100000000000000E+3	103.573410020447230E-6	96.312227337951167E-6	321.615946018894270E-6	52.660968649940464E-6
1.101000000000000E+3	100.851538105972220E-6	93.213845032586931E-6	315.564086693907480E-6	51.652608779738818E-6
1.102000000000000E+3	100.901787126186810E-6	92.386975604152036E-6	317.496842079882670E-6	51.983515201997716E-6
