Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
1.010000000000000E+3	999.966342015022660E-3	999.779188944404650E-3	999.914212296526550E-3
1.011000000000000E+3	999.970424278278760E-3	999.844450974879280E-3	999.862469511157980E-3
1.012000000000000E+3	999.971451208414570E-3	999.897734047571320E-3	999.833305450410820E-3
1.013000000000000E+3	999.979268918152700E-3	999.904508853385330E-3	999.867650159701800E-3
1.014000000000000E+3	999.982505108420790E-3	999.909186460076760E-3	999.916196873730340E-3
1.015000000000000E+3	999.991436539119150E-3	999.923209472002420E-3	999.930339585494040E-3
1.016000000000000E+3	999.991819631576350E-3	999.890927465255320E-3	999.937742158926060E-3
1.017000000000000E+3	999.992912038357270E-3	999.893921678631340E-3	999.946013755932390E-3
1.018000000000000E+3	999.993582239132710E-3	999.930497609146760E-3	999.950089565585620E-3
1.019000000000000E+3	999.992306169775410E-3	999.940042274298220E-3	999.950148195447810E-3
1.020000000000000E+3	999.988006851825210E-3	999.944860738021020E-3	999.936030609472890E-3
1.021000000000000E+3	999.986582241099930E-3	999.946928973060140E-3	999.917162923915750E-3
1.022000000000000E+3	999.984908358727890E-3	999.936716001525670E-3	999.931755146794890E-3
1.023000000000000E+3	999.978083269496330E-3	999.937970312732460E-3	999.914152852772850E-3
1.024000000000000E+3	999.981757755428970E-3	999.936967151091370E-3	999.928280463567960E-3
1.025000000000000E+3	999.987165019122440E-3	999.941426815089680E-3	999.953028671921370E-3
1.026000000000000E+3	999.990731829837550E-3	999.937376574595580E-3	999.965220621800150E-3
1.027000000000000E+3	999.987833641507780E-3	999.951794959461510E-3	999.970208296366850E-3
1.028000000000000E+3	999.991354226616220E-3	999.955530918048340E-3	999.978412481484560E-3
1.029000000000000E+3	999.988707591263680E-3	999.961726109381500E-3	999.973759289632060E-3
1.030000000000000E+3	999.980796457834550E-3	999.965773595093980E-3	999.968559565004970E-3
1.031000000000000E+3	999.977053182463440E-3	999.953092561237430E-3	999.962862621886720E-3
1.032000000000000E+3	999.985633679743800E-3	999.937872563763100E-3	999.951457427160850E-3
1.033000000000000E+3	999.989292825377740E-3	999.947414063068200E-3	999.963801340301830E-3
1.034000000000000E+3	999.982266286950190E-3	999.924897443127740E-3	999.979586931840080E-3
1.035000000000000E+3	999.982529014447060E-3	999.922917845339490E-3	999.975022051024730E-3
1.036000000000000E+3	999.983642982767870E-3	999.917410374082220E-3	999.968132790584720E-3
1.037000000000000E+3	999.978132907518250E-3	999.885815265161290E-3	999.966622206795440E-3
1.038000000000000E+3	999.982437102195360E-3	999.883564056491480E-3	999.972090891132150E-3
1.039000000000000E+3	999.989816185628430E-3	999.911887828480840E-3	999.967801914972700E-3
1.040000000000000E+3	999.992131462852600E-3	999.933366189206580E-3	999.967894902871410E-3
1.041000000000000E+3	999.993275867891440E-3	999.929328479222670E-3	999.967950895543580E-3
1.042000000000000E+3	999.995207579664420E-3	999.938701591718160E-3	999.969180047867610E-3
1.043000000000000E+3	999.994047949221860E-3	999.944925275450090E-3	999.970703297995420E-3
1.044000000000000E+3	999.995154327154130E-3	999.961087393313800E-3	999.972074693427640E-3
1.045000000000000E+3	999.994896564098120E-3	999.966361305380750E-3	999.970229603005860E-3
1.046000000000000E+3	999.994446559873350E-3	999.963875340277090E-3	999.974974599746490E-3
1.047000000000000E+3	999.991494853905930E-3	999.940182951699400E-3	999.968624855193330E-3
1.048000000000000E+3	999.990798345738450E-3	999.931803186580810E-3	999.957666081131570E-3
1.049000000000000E+3	999.995142404617840E-3	999.943128691063500E-3	999.947280324981260E-3
1.050000000000000E+3	999.995028257594340E-3	999.961392671244180E-3	999.929613438830910E-3
1.051000000000000E+3	999.993069295212260E-3	999.963527299128410E-3	999.923895372832110E-3
1.052000000000000E+3	999.990391221305060E-3	999.955259140939970E-3	999.942788558954910E-3
1.053000000000000E+3	999.990562730472040E-3	999.955332356477710E-3	999.937909829267450E-3
1.054000000000000E+3	999.984617984400860E-3	999.954840043783540E-3	999.923316772994730E-3
1.055000000000000E+3	999.990654061889250E-3	999.967642790515980E-3	999.916266049624360E-3
1.056000000000000E+3	999.992580706646320E-3	999.974622056539090E-3	999.910934191528100E-3
1.057000000000000E+3	999.995414221804050E-3	999.978450926841680E-3	999.904652938632730E-3
1.058000000000000E+3	999.991738323268040E-3	999.982723077775140E-3	999.922783330009280E-3
1.059000000000000E+3	999.988206919893210E-3	999.987551583322640E-3	999.926905322751860E-3
1.060000000000000E+3	999.985422966493180E-3	999.986424724321310E-3	999.920383466540000E-3
1.061000000000000E+3	999.981620983564250E-3	999.981780187411570E-3	999.925477993590990E-3
1.062000000000000E+3	999.981706775016520E-3	999.976682642060520E-3	999.919424845921670E-3
1.063000000000000E+3	999.982168390859960E-3	999.980666057637580E-3	999.911263670261400E-3
1.064000000000000E+3	999.977405795662190E-3	999.983581551246560E-3	999.920096948170080E-3
1.065000000000000E+3	999.970440087009860E-3	999.985717927989740E-3	999.931902004691620E-3
1.066000000000000E+3	999.962744296863160E-3	999.988077703110380E-3	999.925486844469690E-3
1.067000000000000E+3	999.967610055837450E-3	999.990948307821870E-3	999.921096823633950E-3
1.068000000000000E+3	999.955959905968310E-3	999.992213605429560E-3	999.932789680644700E-3
1.069000000000000E+3	999.930638135843370E-3	999.989219954956930E-3	999.933939284895160E-3
1.070000000000000E+3	999.887688842758360E-3	999.986077660788950E-3	999.930876304347400E-3
1.071000000000000E+3	999.844340153788870E-3	999.985125371350420E-3	999.927481982600840E-3
1.072000000000000E+3	999.778281713758380E-3	999.985366126561640E-3	999.920290909078860E-3
1.073000000000000E+3	999.661187055027160E-3	999.983674843284100E-3	999.907127959356660E-3
1.074000000000000E+3	999.400869207260460E-3	999.982122951198040E-3	999.900217059858100E-3
1.075000000000000E+3	998.765772527074100E-3	999.981424979453750E-3	999.895395068973070E-3
1.076000000000000E+3	998.097491997240180E-3	999.981567082150140E-3	999.871369764583910E-3
1.077000000000000E+3	998.408849223723080E-3	999.984719444037440E-3	999.830369446809920E-3
1.078000000000000E+3	999.226191987783280E-3	999.988838016570790E-3	999.844550539530810E-3
1.079000000000000E+3	999.714822937442400E-3	999.987532950520560E-3	999.900658162589440E-3
1.080000000000000E+3	999.875541364829150E-3	999.989708165930470E-3	999.926783058079470E-3
1.081000000000000E+3	999.914397066625440E-3	999.991347763641290E-3	999.917704612458770E-3
1.082000000000000E+3	999.939022872470830E-3	999.987195649317480E-3	999.884409129736640E-3
1.083000000000000E+3	999.954885313765080E-3	999.984152922889340E-3	999.873450681496910E-3
1.084000000000000E+3	999.968416246587500E-3	999.983572801000030E-3	999.897196927450720E-3
1.085000000000000E+3	999.963646886701810E-3	999.982216647041340E-3	999.894803471545470E-3
1.086000000000000E+3	999.948626225367730E-3	999.979897608806680E-3	999.891153170680890E-3
1.087000000000000E+3	999.930182590131110E-3	999.974929249822450E-3	999.900474686277850E-3
1.088000000000000E+3	999.920559956459120E-3	999.971900346552140E-3	999.913524261771600E-3
1.089000000000000E+3	999.917596237427040E-3	999.970839496489570E-3	999.928171545661600E-3
1.090000000000000E+3	999.916788743857140E-3	999.968001611147070E-3	999.926538804800980E-3
1.091000000000000E+3	999.912412396050660E-3	999.967357643144820E-3	999.921436368098270E-3
1.092000000000000E+3	999.900555868111220E-3	999.963031703601790E-3	999.929070355221050E-3
1.093000000000000E+3	999.908260637669580E-3	999.965563891090590E-3	999.936618149524060E-3
1.094000000000000E+3	999.920652103516660E-3	999.968822748598330E-3	999.920611682525220E-3
1.095000000000000E+3	999.920530184876920E-3	999.972980190418250E-3	999.930473633449780E-3
1.096000000000000E+3	999.924372164867400E-3	999.980906261121790E-3	999.954245246147290E-3
1.097000000000000E+3	999.935301969894110E-3	999.984126316929460E-3	999.960313391675240E-3
1.098000000000000E+3	999.945407842139700E-3	999.987005491425380E-3	999.960253106312870E-3
1.099000000000000E+3	999.949807181410910E-3	999.988693962376550E-3	999.951885220582200E-3
1.100000000000000E+3	999.942331966538920E-3	999.986672084573370E-3	999.951844498318200E-3
1.101000000000000E+3	999.935591381529100E-3	999.983490170008200E-3	999.959393928802400E-3
1.102000000000000E+3	999.949264826789250E-3	999.986823968995960E-3	999.954266856071360E-3
1.103000000000000E+3	999.960905368999950E-3	999.988057390531310E-3	999.945573843880610E-3
1.104000000000000E+3	999.960956477683130E-3	999.985987399027780E-3	999.931259770328480E-3
1.105000000000000E+3	999.957689664273230E-3	999.984733960772030E-3	999.934880949522100E-3
1.106000000000000E+3	999.949808559316030E-3	999.983460593618870E-3	999.943965584758620E-3
1.107000000000000E+3	999.950446932056370E-3	999.983566364918250E-3	999.943544572609700E-3
1.108000000000000E+3	999.955563753041620E-3	999.984368497151890E-3	999.933108202705760E-3
1.109000000000000E+3	999.939721553122720E-3	999.982986546793410E-3	999.922562090650000E-3
1.110000000000000E+3	999.937859798259890E-3	999.980358227476000E-3	999.885278408572330E-3
1.111000000000000E+3	999.947560335616710E-3	999.975447052508070E-3	999.881063342854200E-3
1.112000000000000E+3	999.910379153716390E-3	999.959054581401550E-3	999.792836305868460E-3
1.113000000000000E+3	999.908693751696000E-3	999.966755218938070E-3	999.806067790518390E-3
1.114000000000000E+3	999.931029806540140E-3	999.979259239688670E-3	999.869009044707100E-3
1.115000000000000E+3	999.937078637309850E-3	999.983836882491370E-3	999.908126650097100E-3
1.116000000000000E+3	999.932370022964870E-3	999.984064171303030E-3	999.935934874918500E-3
1.117000000000000E+3	999.922669956820660E-3	999.979468572774750E-3	999.926746794026040E-3
1.118000000000000E+3	999.910179120593430E-3	999.974856196437890E-3	999.911961762033340E-3
