Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
947.000000000000110E+0	775.342452855374290E-3	44.311724682924880E-3	606.686323985878630E-3	26.225035892702388E-3	875.920633406165660E-3	10.910570453485808E-3
948.000000000000110E+0	772.356723272779160E-3	45.644737278500394E-3	606.178918013487780E-3	25.430230061894005E-3	877.781645902975250E-3	10.399363496886978E-3
949.000000000000110E+0	770.062689215265550E-3	47.375349558330462E-3	605.738987666731840E-3	24.838340018483084E-3	878.894725817766400E-3	8.231359132034934E-3
950.000000000000110E+0	767.104417506021320E-3	48.578684927720391E-3	604.723899874168640E-3	24.074764462507378E-3	878.750256236306430E-3	6.355832625425076E-3
951.000000000000110E+0	764.337650082378970E-3	51.198086990766001E-3	604.002761967263100E-3	24.588160149829015E-3	878.741872675192990E-3	5.151457775609276E-3
952.000000000000110E+0	762.532803049922440E-3	53.534025633105803E-3	604.281699047344740E-3	24.605362449363798E-3	879.312317357825890E-3	3.653857999736800E-3
953.000000000000110E+0	761.315112982439260E-3	55.639094267077277E-3	604.353044771934080E-3	24.454984094760490E-3	879.801829605782010E-3	1.861384651540894E-3
954.000000000000110E+0	760.011274268386550E-3	56.839868629772243E-3	604.613899822807220E-3	24.446189233860018E-3	880.303830089449460E-3	36.813599648143919E-6
955.000000000000110E+0	758.629807762203680E-3	58.331072001324161E-3	605.228106136327270E-3	24.631397179241649E-3	880.665836542543490E-3	-1.700333724343640E-3
956.000000000000110E+0	757.323224469938050E-3	59.509112811309377E-3	606.497215596884630E-3	24.184927510413873E-3	881.237004010106630E-3	-3.148385662844299E-3
957.000000000000110E+0	755.839551720488560E-3	60.827103540680078E-3	607.487572333168300E-3	22.779957875436296E-3	882.531010754271210E-3	-5.020541949858856E-3
958.000000000000110E+0	753.602578593509760E-3	62.040607636520945E-3	607.657534637864200E-3	21.252475649139152E-3	883.228340868150610E-3	-7.865980595519533E-3
959.000000000000110E+0	751.304762764651080E-3	64.597552896615340E-3	607.775147915918470E-3	20.194285411288267E-3	883.564115978898830E-3	-10.281777317584081E-3
960.000000000000110E+0	750.088614593904860E-3	67.416742168403557E-3	607.903758367722700E-3	19.452799704958289E-3	884.017537909353000E-3	-13.354835703155732E-3
961.000000000000110E+0	749.714690885645910E-3	70.122801600767698E-3	608.772351070340440E-3	19.075257569930077E-3	883.482897522920640E-3	-16.050808698799140E-3
962.000000000000110E+0	749.608263121306910E-3	72.123828538185483E-3	609.954086124095850E-3	18.302961276951947E-3	883.489004443080320E-3	-17.749951413485971E-3
963.000000000000110E+0	750.004773365860910E-3	74.056198481876334E-3	611.888797412852850E-3	17.548993163962093E-3	884.446671618741690E-3	-19.672092579158282E-3
964.000000000000110E+0	750.547139711947200E-3	74.485276678831605E-3	614.499785078159390E-3	15.292781506451091E-3	885.726591196698390E-3	-22.721314282449074E-3
965.000000000000110E+0	750.265294980545500E-3	74.966634296382756E-3	616.875452068538890E-3	11.909576550963917E-3	886.391543421297890E-3	-26.407354842382252E-3
966.000000000000110E+0	749.763750284411780E-3	75.037577786487231E-3	618.791847920482030E-3	7.682237891135746E-3	887.179272479106770E-3	-30.050590967840435E-3
967.000000000000110E+0	747.945813898844180E-3	76.078413518179608E-3	620.604346992664200E-3	3.480821786626479E-3	888.347602218573670E-3	-34.858278668456685E-3
