Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
938.000000000000110E+0	903.701182957878160E-3	894.072899591995980E-3	887.429845730167480E-3
939.000000000000110E+0	862.681842002067320E-3	898.158712117984040E-3	828.579660000141600E-3
940.000000000000110E+0	838.007209995084050E-3	919.963460488614550E-3	748.438309938863730E-3
941.000000000000110E+0	762.880158393094090E-3	935.782481230762240E-3	747.632934084533680E-3
942.000000000000110E+0	494.748998122492120E-3	857.660332833228840E-3	408.728767542371470E-3
943.000000000000110E+0	691.332588898999840E-3	834.930258069853880E-3	577.070853225756690E-3
944.000000000000110E+0	618.604835780516280E-3	670.693330658457710E-3	622.294473773239880E-3
945.000000000000110E+0	403.757447753875840E-3	708.610617463909630E-3	394.973340657385650E-3
946.000000000000110E+0	468.090979460102200E-3	497.201956098127890E-3	328.744519355808670E-3
947.000000000000110E+0	152.998706412330460E-3	827.642834659586770E-3	333.999523830963210E-3
948.000000000000110E+0	761.530659593488760E-3	703.276971733557410E-3	330.987411359794870E-3
949.000000000000110E+0	646.948595820566630E-3	731.566164989529870E-3	471.248615251702860E-3
950.000000000000110E+0	291.662732275710880E-3	710.223539623219930E-3	301.217359124455350E-3
951.000000000000110E+0	522.765163027042460E-3	775.537369314133080E-3	232.570328305748590E-3
952.000000000000110E+0	599.264882299490930E-3	688.923970121952610E-3	364.480237980735370E-3
953.000000000000110E+0	801.864122499766800E-3	787.879562642890500E-3	695.234473635764520E-3
954.000000000000110E+0	376.998855508083930E-3	911.112871698814720E-3	620.918943161291480E-3
955.000000000000110E+0	641.778379306481180E-3	841.664453222687790E-3	397.300593983321900E-3
956.000000000000110E+0	727.339573962107910E-3	844.606913897297030E-3	666.748411631635450E-3
957.000000000000110E+0	793.608022769322850E-3	854.759527676011490E-3	781.271064262132660E-3
958.000000000000110E+0	422.637470646896880E-3	834.030874014276450E-3	621.947068179784620E-3
959.000000000000110E+0	709.454877595155130E-3	819.023397381079100E-3	648.647233639117360E-3
960.000000000000110E+0	689.254293405126670E-3	816.965645326911180E-3	613.736777254264450E-3
961.000000000000110E+0	747.107662493088690E-3	833.645745300402030E-3	524.120012068491900E-3
962.000000000000110E+0	563.450161780219010E-3	899.626744100571750E-3	461.125746453298900E-3
963.000000000000110E+0	527.352992951934720E-3	782.835666755699160E-3	246.050325357908000E-3
964.000000000000110E+0	464.172578491939160E-3	897.012701347861260E-3	366.284465003815900E-3
965.000000000000110E+0	584.114298036718880E-3	569.776899120069010E-3	318.034676188452990E-3
966.000000000000110E+0	278.130987050696440E-3	554.096600766533660E-3	183.927490370035390E-3
967.000000000000110E+0	209.658138552381720E-3	620.394158343942630E-3	242.391377137122190E-3
968.000000000000110E+0	336.221680283858510E-3	336.723614030818630E-3	273.144022873394120E-3
969.000000000000110E+0	250.541341747463180E-3	175.236523266022260E-3	143.079945053662450E-3
970.000000000000110E+0	181.191010343186660E-3	580.228847432803340E-3	109.282896744429040E-3
