Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
1.986000000000000E+3	14.813200542310723E-3	30.321712189600100E-3	75.184151010153868E-3	-172.452387883927080E-3	20.464914935118712E-3	44.082303548085823E-3
1.987000000000000E+3	14.245535690063456E-3	31.028420976672352E-3	77.101792063037688E-3	-173.974410005213830E-3	20.897128508240530E-3	45.321279214769729E-3
1.988000000000000E+3	13.670887980748695E-3	31.827740323839372E-3	78.950309964747653E-3	-175.352318437309280E-3	21.316021309104656E-3	46.531326345958517E-3
1.989000000000000E+3	13.130276700172057E-3	32.552770070095563E-3	80.852950735450707E-3	-176.660230998010260E-3	21.609179531347181E-3	47.626306937373034E-3
1.990000000000000E+3	12.650218422504033E-3	33.202672398919886E-3	82.715878524901976E-3	-177.961662345316180E-3	22.038142981496641E-3	48.697869788264028E-3
1.991000000000000E+3	12.263588856531782E-3	33.978268687970811E-3	84.556599224990703E-3	-179.235151278618390E-3	22.375402729940961E-3	49.831945341429387E-3
1.992000000000000E+3	11.741051678995364E-3	34.663792298669754E-3	86.308603716255761E-3	-180.569727625314090E-3	22.659313900735910E-3	50.932631340923636E-3
1.993000000000000E+3	11.412634704219739E-3	35.296435427171716E-3	88.048840957307528E-3	-181.827668980739990E-3	22.942765740043572E-3	51.945692241809366E-3
1.994000000000000E+3	11.060695947243716E-3	36.041564511223215E-3	89.761421434214964E-3	-183.039238575207400E-3	23.213817174026041E-3	53.143356013752009E-3
1.995000000000000E+3	10.654397607013791E-3	36.702108330070024E-3	91.442810998469251E-3	-184.178068101285760E-3	23.367955183288762E-3	54.229809993084604E-3
1.996000000000000E+3	10.362346481186611E-3	37.373124775705549E-3	93.140398047710821E-3	-185.347111428776750E-3	23.742936024690166E-3	55.495664367806230E-3
1.997000000000000E+3	9.996482672826474E-3	38.165681637009265E-3	94.859255735680492E-3	-186.513151010795270E-3	24.097511797322505E-3	57.079249322467163E-3
1.998000000000000E+3	9.574230989029518E-3	38.881345112053003E-3	96.558681517313824E-3	-187.738564307992630E-3	24.363977109039103E-3	58.641654526607453E-3
1.999000000000000E+3	9.262380993616249E-3	39.601063971229207E-3	98.245269973933763E-3	-188.933945923652480E-3	24.983071064684174E-3	60.175236427582483E-3
2.000000000000000E+3	9.018948422157861E-3	40.471518861911422E-3	99.905072522959173E-3	-190.137636371629360E-3	25.768039663425585E-3	61.926046161857540E-3
2.001000000000000E+3	8.766539568598540E-3	41.399506555198924E-3	101.550063893996500E-3	-191.318040339731380E-3	26.683681880474274E-3	63.688563090447056E-3
2.002000000000000E+3	8.492978506274444E-3	42.389621379605301E-3	103.137538142766230E-3	-192.562652866760640E-3	27.673134377653914E-3	65.492734785349824E-3
2.003000000000000E+3	8.262397618561398E-3	43.232133097675401E-3	104.793988739284000E-3	-193.884897225046590E-3	28.745909749520748E-3	67.074849219692367E-3
2.004000000000000E+3	8.281244171892164E-3	44.119946760563779E-3	106.364880333348830E-3	-195.207276679585480E-3	30.136375935406520E-3	68.551160878878595E-3
2.005000000000000E+3	8.326383310038248E-3	45.191726733087884E-3	107.833645805950730E-3	-196.587435549946570E-3	31.852032759955372E-3	70.261410099995356E-3
2.006000000000000E+3	8.298676233663699E-3	46.256620904254288E-3	109.188528944475840E-3	-198.006152125874360E-3	33.172537921404753E-3	72.075974257050188E-3
2.007000000000000E+3	8.289855544460148E-3	47.335060724207886E-3	110.532434473778320E-3	-199.498450937039500E-3	34.673994701174618E-3	73.640625776165092E-3
2.008000000000000E+3	8.318588509989759E-3	48.476188253395815E-3	111.848051161617580E-3	-200.968601834673990E-3	36.424119306391202E-3	75.375081515197395E-3
2.009000000000000E+3	8.484864111786151E-3	49.587643975158732E-3	113.112077354238270E-3	-202.509543379324390E-3	38.310787226460703E-3	77.227120487625922E-3
2.010000000000000E+3	8.726296503038852E-3	50.879204894958660E-3	114.358212635752910E-3	-204.102619045474910E-3	40.237297170058979E-3	79.057047512647985E-3
2.011000000000000E+3	9.066986134003179E-3	52.223897391537336E-3	115.480047827940470E-3	-205.770269661557650E-3	42.549933155965849E-3	80.922493244311458E-3
2.012000000000000E+3	9.475244502202803E-3	53.682241081900867E-3	116.626021580584330E-3	-207.521828204751510E-3	44.976575095944930E-3	82.916188408365538E-3
2.013000000000000E+3	9.983915810363229E-3	55.048998053923957E-3	117.685178726751290E-3	-209.161134147718500E-3	47.397259061580037E-3	84.678019876236688E-3
2.014000000000000E+3	10.731917656154312E-3	56.679477969157857E-3	118.725049622512260E-3	-210.898120705118320E-3	50.399416764845113E-3	86.674192533708311E-3
2.015000000000000E+3	11.629698527272256E-3	58.451428015850328E-3	119.693969929079020E-3	-212.595359088997600E-3	53.638522996244858E-3	88.955974092296095E-3
2.016000000000000E+3	12.598370648129634E-3	60.301972592960724E-3	120.635173683169050E-3	-214.415546948265280E-3	56.946646046423632E-3	91.271281981623001E-3
2.017000000000000E+3	13.969368920682946E-3	62.053101180266093E-3	121.512622498577080E-3	-216.305174198330400E-3	61.037536940742605E-3	93.410238928017308E-3
2.018000000000000E+3	15.607752207849716E-3	64.018346369968629E-3	122.276819548148720E-3	-218.251621415494780E-3	65.519613798039791E-3	95.877101563980119E-3
2.019000000000000E+3	17.443131020315323E-3	65.681259985864354E-3	122.827227339645680E-3	-220.161934272999020E-3	70.560285100341194E-3	97.720191153795016E-3
2.020000000000000E+3	19.706333749949491E-3	67.332551740741445E-3	123.145673612384860E-3	-222.183064468458150E-3	76.242824793295971E-3	99.712998317117038E-3
2.021000000000000E+3	22.299279580707689E-3	68.923239430633665E-3	123.288608019824980E-3	-224.167231655654250E-3	82.522870389201808E-3	101.159172825688300E-3
2.022000000000000E+3	25.313346496092074E-3	70.713329223721144E-3	123.081970105840030E-3	-226.274389098488070E-3	90.104499366006965E-3	102.893029022709720E-3
2.023000000000000E+3	28.598631459792218E-3	72.222397680510697E-3	122.667705970457730E-3	-228.341870029458050E-3	97.949880358683863E-3	103.872706389261200E-3
2.024000000000000E+3	32.631216471281262E-3	73.569391460352018E-3	121.671329909746660E-3	-230.395051155450970E-3	107.604583175055530E-3	104.187898470589110E-3
