Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
998.000000000000110E+0	8.356508032823839E-9	214.053199369177420E-12	3.222329921592326E-9	135.481381235043440E-12
999.000000000000110E+0	8.656140293409867E-9	122.174615229286640E-12	3.185911771162864E-9	151.774685936765620E-12
1.000000000000000E+3	12.601838322912326E-9	235.928604249912850E-12	4.789620980560698E-9	183.231540429268670E-12
1.001000000000000E+3	4.148018840683984E-9	113.137506459718180E-12	1.724167567454617E-9	263.995723378281750E-12
1.002000000000000E+3	3.170854403334158E-9	281.095531287199310E-12	1.341104488164380E-9	206.674437924988820E-12
1.003000000000000E+3	3.540194332407728E-9	228.014674328344860E-12	1.142197063129356E-9	106.418586234806490E-12
1.004000000000000E+3	5.686183971473721E-9	313.590929413646930E-12	2.428056022825823E-9	172.093314410195930E-12
1.005000000000000E+3	7.975798806662645E-9	357.006666523580320E-12	3.815441078088332E-9	130.598055425985730E-12
1.006000000000000E+3	14.834689753054281E-9	253.946464439287720E-12	5.243800998329409E-9	256.736074876164570E-12
1.007000000000000E+3	22.004192738015563E-9	717.308915436803370E-12	7.726203032337737E-9	252.977784121720150E-12
1.008000000000000E+3	27.098947227705094E-9	371.690581727945490E-12	10.167800143397878E-9	289.364673220540180E-12
1.009000000000000E+3	30.164372507861954E-9	526.725621013635110E-12	12.020740660994626E-9	186.656210497798330E-12
1.010000000000000E+3	29.502508071283197E-9	454.520121771059100E-12	11.104086959254293E-9	429.637775980057020E-12
1.011000000000000E+3	30.584732467039269E-9	437.124053593166990E-12	10.984954667932956E-9	261.437512835330610E-12
1.012000000000000E+3	26.087257945972404E-9	420.524775335001510E-12	9.806750667449094E-9	292.353371623299920E-12
1.013000000000000E+3	21.657153546351573E-9	373.517051581822250E-12	8.874766447983076E-9	428.570686650890840E-12
1.014000000000000E+3	21.920688278490472E-9	288.471267633294410E-12	7.801842154633882E-9	273.290285991909000E-12
1.015000000000000E+3	26.707411997312412E-9	337.477362032934370E-12	10.497280982224724E-9	381.832259552564050E-12
1.016000000000000E+3	44.346567783114429E-9	523.868384710529910E-12	14.612617779047206E-9	550.284344291374640E-12
1.017000000000000E+3	68.727202617494584E-9	642.456722170572010E-12	25.372591582232657E-9	591.188601355752820E-12
1.018000000000000E+3	98.718242329291577E-9	791.584910203401150E-12	34.731164204641321E-9	961.087750829809120E-12
1.019000000000000E+3	124.069727027222410E-9	898.631669148112660E-12	47.882739076913588E-9	1.171875521741628E-9
