Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
944.000000000000110E+0	354.601147389940920E-3	38.264755705548310E+0	432.295047492665010E-3	8.950728602460293E+0	285.479538649437650E-3	925.956239318581510E-3
945.000000000000110E+0	290.298693219303020E-3	38.256657242000642E+0	599.375764815148870E-3	8.871766875270342E+0	252.869653597136810E-3	883.632496590305850E-3
946.000000000000110E+0	581.473028751203990E-3	38.098534668838845E+0	514.988941194496230E-3	9.171854298226734E+0	435.607457014238810E-3	715.327605731641110E-3
947.000000000000110E+0	487.789740349923560E-3	38.766343707228714E+0	638.599067080154900E-3	8.872497610708233E+0	583.108949428506000E-3	1.486138260141541E+0
948.000000000000110E+0	360.400218054961470E-3	38.388309887637043E+0	413.577254572466300E-3	9.079883369391240E+0	408.963028658617000E-3	625.429641760369750E-3
949.000000000000110E+0	323.785094290303390E-3	38.029837547854726E+0	458.911307669194020E-3	9.006150155692552E+0	351.050591749424600E-3	978.659869594988630E-3
950.000000000000110E+0	358.713703635589520E-3	38.312656936347160E+0	527.158155810413480E-3	9.102321015511407E+0	397.172181356891970E-3	766.733862688071310E-3
951.000000000000110E+0	408.220274111269100E-3	38.097971991414568E+0	513.273001902154410E-3	8.973027278714360E+0	394.144278823676640E-3	1.215458401453764E+0
952.000000000000110E+0	277.972042157596240E-3	38.415772791123246E+0	531.055494561524340E-3	9.210893539301665E+0	301.776720416648100E-3	588.189002705905350E-3
953.000000000000110E+0	343.732572517647880E-3	38.030468545417122E+0	420.889244691103230E-3	8.973598961245038E+0	300.669218866159720E-3	595.827670449773470E-3
954.000000000000110E+0	248.171343296338640E-3	38.131103175164966E+0	470.710682918699390E-3	9.072454589284671E+0	176.966264800670010E-3	1.275977398445417E+0
955.000000000000110E+0	340.517442411821970E-3	38.309621513854218E+0	500.365496330212430E-3	9.149559595977445E+0	234.246306022308480E-3	1.061308733391030E+0
956.000000000000110E+0	289.185422660613920E-3	38.211976212912333E+0	483.936283836814200E-3	8.973816876214451E+0	249.339514762509900E-3	848.229737745958670E-3
957.000000000000110E+0	275.685376889822700E-3	38.213103451994925E+0	466.090262613142350E-3	9.165709100503960E+0	215.819044593438200E-3	1.055557309283104E+0
958.000000000000110E+0	241.929966568141610E-3	37.852769801971526E+0	479.525394034570840E-3	9.042745398046582E+0	201.093355686855100E-3	826.252146694626880E-3
959.000000000000110E+0	269.256105276011630E-3	38.218710617886153E+0	519.008254953582600E-3	9.158701729616718E+0	180.169628809640330E-3	864.972292606215110E-3
960.000000000000110E+0	309.889864801538520E-3	38.256934037087490E+0	482.975078412549890E-3	8.963102787219835E+0	222.138099788590780E-3	1.056289665680450E+0
961.000000000000110E+0	331.016992491321100E-3	37.975702401764089E+0	437.919581444601860E-3	9.245457942837387E+0	214.133723746556870E-3	908.824397268114370E-3
962.000000000000110E+0	278.941714108628390E-3	38.532584084128963E+0	522.188057100770210E-3	9.212820774839514E+0	229.549780458338100E-3	1.113082959107112E+0
963.000000000000110E+0	354.177397308600150E-3	38.184193653525973E+0	484.305024359188260E-3	9.004467338421611E+0	358.985053909634870E-3	849.695311553969380E-3
964.000000000000110E+0	365.813794750032450E-3	37.482520726710618E+0	479.356642152483030E-3	8.891393699832928E+0	327.100606771881190E-3	430.591661783215060E-3
965.000000000000110E+0	412.018622199752490E-3	38.446079254879720E+0	523.386003594235150E-3	9.391363987643395E+0	369.623558235293580E-3	1.428344877239832E+0
966.000000000000110E+0	501.296321591158560E-3	38.427321031714094E+0	520.661158569951100E-3	9.034758242443202E+0	552.078032881406890E-3	342.539889454421430E-3
967.000000000000110E+0	424.276976064817180E-3	37.660312630692481E+0	492.647695355299510E-3	9.233722521247959E+0	400.985815157375190E-3	1.286080230440974E+0
968.000000000000110E+0	468.970823239200250E-3	38.147350648340172E+0	644.533182580739110E-3	8.669592659497775E+0	537.394142981750480E-3	278.042727183284540E-3
969.000000000000110E+0	773.972254343127110E-3	37.258714095973090E+0	786.205980166139180E-3	9.409126273364647E+0	716.768132207991630E-3	547.222887808819450E-3
970.000000000000110E+0	668.786738217542200E-3	37.912346423854956E+0	551.455768327456350E-3	9.525499654166921E+0	725.555370960443420E-3	-299.234714868294280E-3
971.000000000000110E+0	439.193891812581780E-3	37.877045762639277E+0	547.683521816971550E-3	9.548536376888608E+0	2.541294372467986E+0	2.513613455353460E+0
972.000000000000110E+0	380.297862692621450E-3	37.413764066823838E+0	480.710854977695060E-3	9.363214502801913E+0	613.287109554915390E-3	105.094939699462510E-3
973.000000000000110E+0	494.456133240408820E-3	38.024011732921423E+0	680.716324353919490E-3	9.472763510949747E+0	1.526417597418755E+0	1.164280885906743E+0
974.000000000000110E+0	489.761495765410780E-3	38.172223211874474E+0	684.062429680110220E-3	9.197761088915238E+0	530.089359577603610E-3	1.336319673451541E+0
975.000000000000110E+0	303.555102544327990E-3	38.019944335128393E+0	458.026052737425140E-3	9.323601308320283E+0	358.926074135643920E-3	1.186577648330538E+0
976.000000000000110E+0	448.280894314490750E-3	37.697736397004398E+0	634.825621531818210E-3	9.230771166778958E+0	614.822077546938960E-3	798.996182705532520E-3
977.000000000000110E+0	349.380970977506090E-3	38.427598958566342E+0	578.075241438358310E-3	9.027358032255881E+0	722.448685471441810E-3	735.825550825794150E-3
978.000000000000110E+0	365.547300385104250E-3	37.881572636962794E+0	485.496743743066890E-3	9.169014003402024E+0	306.345511265633250E-3	808.415000023748110E-3
979.000000000000110E+0	451.606401459704650E-3	37.765498445644305E+0	424.771006378017010E-3	9.872926728605421E+0	288.776638063838740E-3	-378.242759805979540E-3
980.000000000000110E+0	286.093895446049520E-3	37.290494571502393E+0	609.583249884604880E-3	9.525250155641238E+0	480.383744984662080E-3	-858.616840021608870E-3
981.000000000000110E+0	419.898147025729810E-3	37.484561001277164E+0	665.341381550237030E-3	9.651863710375473E+0	949.900017496037580E-3	-2.069075852064346E+0
982.000000000000110E+0	622.814192953333070E-3	37.968836738396014E+0	601.213134345206070E-3	9.943765079379844E+0	341.592916208329930E-3	-1.533179333917067E+0
983.000000000000110E+0	495.345389212662130E-3	36.887644893142870E+0	877.151662183831340E-3	9.439706448145408E+0	331.754459477161200E-3	-3.718074196522688E+0
984.000000000000110E+0	758.416547410410090E-3	39.096146321379287E+0	794.090210956424850E-3	9.209624560988424E+0	1.063056207241584E+0	-3.893409814837410E+0
985.000000000000110E+0	508.823044974989310E-3	38.304083524261216E+0	692.866358273330320E-3	9.108271272405361E+0	926.571120007944280E-3	-5.674652216867287E+0
986.000000000000110E+0	452.948682618298240E-3	37.681656240541322E+0	655.487506389531680E-3	9.511372818127816E+0	503.906915230956320E-3	-4.433053631925938E+0
