Freq (Hz)	micro/hp_Real	micro/hp_Imag
188.000000000000030E+0	636.038277867551350E-6	-3.436201910928832E-3
189.000000000000030E+0	-701.300844497484280E-6	-3.971790278393306E-3
190.000000000000030E+0	-1.892069796234092E-3	-4.348206427969238E-3
191.000000000000030E+0	-3.264546357187726E-3	-3.604801489281432E-3
192.000000000000030E+0	-4.028008866149273E-3	-2.540042074918279E-3
193.000000000000030E+0	-3.659991275494697E-3	-1.158776363315271E-3
194.000000000000030E+0	-3.208181389018840E-3	-372.980433595536830E-6
195.000000000000030E+0	-2.704670470935157E-3	-31.481545378045505E-6
196.000000000000030E+0	-2.441486853720132E-3	299.615999363118830E-6
197.000000000000030E+0	-1.580176690431265E-3	482.068057674939850E-6
198.000000000000030E+0	-1.010688670622976E-3	338.859503537730020E-6
199.000000000000030E+0	-701.161392471724560E-6	-52.195739374016972E-6
200.000000000000030E+0	-733.638535522283200E-6	-713.765698627911590E-6
201.000000000000030E+0	-967.658605531689280E-6	-901.422126694359240E-6
202.000000000000030E+0	-981.625064767451680E-6	-794.190269446951690E-6
203.000000000000030E+0	-1.304597672179610E-3	-511.989623750559360E-6
204.000000000000030E+0	-824.879229734672520E-6	166.889301559854570E-6
205.000000000000030E+0	-711.583164354116590E-6	-189.911494891040200E-9
206.000000000000030E+0	-218.722279573508060E-6	630.379467830573790E-6
207.000000000000030E+0	466.555962134703780E-6	-502.934500759878030E-6
208.000000000000030E+0	276.921943398836870E-6	-1.037400522658162E-3
209.000000000000030E+0	357.587885194411240E-6	-1.185412569604313E-3
210.000000000000030E+0	591.635241784777610E-6	-1.499564531238547E-3
211.000000000000030E+0	497.747562563621000E-6	-1.937025460994545E-3
212.000000000000030E+0	517.087929048871530E-6	-2.417343673766094E-3
213.000000000000030E+0	36.504321792390052E-6	-2.293614536225106E-3
214.000000000000030E+0	-47.358598785618036E-6	-2.191886634233740E-3
215.000000000000030E+0	-188.829455426331770E-6	-2.627337827459004E-3
216.000000000000030E+0	-734.334322001642910E-6	-2.537239976715409E-3
217.000000000000030E+0	-770.717687747292470E-6	-2.980154254191792E-3
218.000000000000030E+0	-1.081647822739862E-3	-3.192445653313065E-3
219.000000000000030E+0	-1.623881059875901E-3	-3.384096256517086E-3
220.000000000000030E+0	-1.734315766220399E-3	-3.329902790560633E-3
221.000000000000030E+0	-1.824710515088472E-3	-2.954070835386265E-3
222.000000000000030E+0	-1.833921592839341E-3	-2.997979877116223E-3
223.000000000000030E+0	-2.299026088578358E-3	-2.954211752657875E-3
224.000000000000030E+0	-2.339394560480874E-3	-2.801521163120098E-3
225.000000000000030E+0	-2.760599746019866E-3	-2.411816911412798E-3
226.000000000000030E+0	-3.055843922298164E-3	-2.471527343171265E-3
227.000000000000030E+0	-3.197080879608407E-3	-2.936478620165012E-3
228.000000000000030E+0	-3.230982358208050E-3	-3.235098457589241E-3
229.000000000000030E+0	-3.805571375477675E-3	-3.341681123511989E-3
230.000000000000030E+0	-4.082238433776345E-3	-3.849344340677246E-3
231.000000000000030E+0	-4.907446659303889E-3	-3.039833692047401E-3
232.000000000000030E+0	-6.728039282434426E-3	-2.080498809857589E-3
233.000000000000030E+0	-7.184584479261435E-3	-1.008666603025878E-3
234.000000000000030E+0	-7.871703608569999E-3	590.982833696463410E-6
235.000000000000030E+0	-8.211717554479404E-3	1.773603778181363E-3
236.000000000000030E+0	-7.929656536210489E-3	3.739438498945376E-3
237.000000000000030E+0	-6.112275315807791E-3	4.875021195477019E-3
238.000000000000030E+0	-4.216221421829176E-3	6.051849513590107E-3
239.000000000000030E+0	-2.450529706603972E-3	5.160603417499562E-3
240.000000000000030E+0	-16.399596258246434E-6	6.470496315414932E-3
241.000000000000030E+0	164.014659156090370E-6	5.736620596411353E-3
242.000000000000030E+0	1.276341775892402E-3	5.063434119565526E-3
243.000000000000030E+0	1.903355069906103E-3	5.222599901309650E-3
244.000000000000030E+0	1.753629018886425E-3	3.699651654746487E-3
